# Wed Apr  2 18:55:41 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.0070156 2 0 0.000574713 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 3 0.41066 3 0 0.0810112 
5000 3 1.24897 3 0 0.332088 
6000 3 1.30835 3 0 0.363114 
7000 4 1.35142 4 0.00344729 0.377478 
8000 4 1.35825 4 0.00718391 0.374425 
9000 4 1.51313 4 0.0379201 0.437518 
10000 4 1.4787 4 0.0623384 0.422005 
11000 4 1.43089 4 0.041942 0.394714 
12000 4 1.31354 4 0.0310256 0.352198 
13000 4 1.38077 4 0.0160873 0.375754 
14000 4 1.53074 4 0.0402183 0.447573 
15000 4 1.35966 4 0.016954 0.368678 
16000 3 1.31993 3 0 0.369721 
17000 3 1.17363 3 0 0.299339 
18000 3 1.35939 3 0 0.392816 
19000 3 1.30885 3 0 0.364368 
20000 4 1.25126 4 0.0011491 0.331227 
21000 4 1.36546 4 0.00574548 0.388107 
22000 4 1.36505 4 0.0054582 0.384947 
23000 4 1.41927 4 0.00948003 0.405343 
24000 4 1.32037 4 0.000287274 0.370583 
25000 3 1.31793 3 0 0.369434 
26000 4 1.53647 4 0.0571675 0.449871 
27000 4 1.43122 4 0.0384947 0.393852 
28000 4 1.5737 4 0.0741166 0.488078 
29000 4 1.45733 4 0.0574548 0.412238 
30000 4 1.62584 4 0.117782 0.534904 
31000 4 1.61068 4 0.103131 0.523413 
32000 4 1.62068 4 0.0775639 0.503016 
33000 4 1.67497 4 0.0654984 0.542373 
34000 4 1.6135 4 0.0637748 0.494685 
35000 4 1.64046 4 0.062913 0.530882 
36000 4 1.66198 4 0.088193 0.5395 
37000 4 1.7043 4 0.0591784 0.574835 
38000 4 1.54096 4 0.0169492 0.476013 
39000 4 1.38472 4 0.0316001 0.37202 
40000 4 1.61254 4 0.0611893 0.49526 
41000 4 1.55243 4 0.0617639 0.460213 
42000 4 1.59006 4 0.0318874 0.491525 
43000 4 1.53025 4 0.0103419 0.488365 
44000 3 1.45542 3 0 0.465671 
45000 4 1.35957 4 0.00373456 0.38667 
46000 3 1.32048 3 0 0.374425 
47000 4 1.37855 4 0.000861821 0.408791 
48000 3 1.35956 3 0 0.397587 
49000 3 1.41298 3 0 0.439529 
50000 3 1.42345 3 0 0.435794 
51000 4 1.36213 4 0.00143637 0.389831 
52000 3 1.40222 3 0 0.421143 
53000 4 1.44724 4 0.00948003 0.427176 
54000 4 1.53418 4 0.0109164 0.484056 
55000 4 1.42898 4 0.0215455 0.399023 
56000 4 1.58046 4 0.0287274 0.487791 
57000 4 1.61296 4 0.0433783 0.501005 
58000 4 1.60408 4 0.0341856 0.501867 
59000 3 1.4125 3 0 0.427751 
60000 3 1.47337 3 0 0.475438 
61000 3 1.36271 3 0 0.398736 
62000 4 1.40512 4 0.000574548 0.423442 
63000 4 1.40728 4 0.000574548 0.424878 
64000 3 1.37502 3 0 0.412812 
65000 3 1.47979 3 0 0.481184 
66000 3 1.36273 3 0 0.399023 
67000 4 1.34938 4 0.000574548 0.385234 
68000 3 1.41869 3 0 0.43206 
69000 3 1.39628 3 0 0.416667 
70000 4 1.32373 4 0.000574548 0.369147 
71000 4 1.31113 4 0.00258546 0.359379 
72000 3 1.32154 3 0 0.373743 
73000 4 1.29504 4 0.000574548 0.359954 
74000 3 1.33979 3 0 0.389256 
75000 3 1.39933 3 0 0.419994 
76000 3 1.35032 3 0 0.389543 
77000 3 1.315 3 0 0.372307 
78000 3 1.34876 3 0 0.399885 
79000 4 1.39258 4 0.000861821 0.412525 
80000 3 1.35017 3 0 0.399023 
81000 3 1.38057 3 0 0.40678 
82000 4 1.3051 4 0.0011491 0.360529 
83000 4 1.39345 4 0.0117782 0.40678 
84000 3 1.30317 3 0 0.368572 
85000 4 1.53907 4 0.0361965 0.462798 
86000 4 1.3661 4 0.000574548 0.411089 
87000 3 1.39431 3 0 0.421431 
88000 4 1.34897 4 0.000287274 0.389543 
89000 4 1.43775 4 0.00287274 0.432922 
90000 4 1.72597 4 0.0930767 0.572824 
91000 4 1.56964 4 0.0700948 0.480609 
92000 4 1.54723 4 0.0505602 0.457914 
93000 4 1.51166 4 0.0413674 0.435794 
94000 4 1.36473 4 0.00402183 0.38466 
95000 3 1.31451 3 0 0.36886 
96000 4 1.40131 4 0.0166619 0.38667 
97000 4 1.4286 4 0.00632002 0.417409 
98000 3 1.32326 3 0 0.372307 
99000 4 1.298 4 0.000574548 0.357656 
100000 4 1.53704 4 0.0324619 0.455042 
