# Wed Apr 16 19:11:47 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.0234561 2 0 0.00229819 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 2 0.286336 2 0 0.0499856 
10000 2 0.584735 2 0 0.14019 
11000 2 0.626026 2 0 0.156564 
12000 2 0.620523 2 0 0.15431 
13000 2 0.601873 2 0 0.146839 
14000 2 0.771633 2 0 0.226372 
15000 2 0.651244 2 0 0.167193 
16000 2 0.568729 2 0 0.134157 
17000 2 0.643196 2 0 0.163746 
18000 2 0.623928 2 0 0.155702 
19000 2 0.549185 2 0 0.127011 
20000 2 0.654561 2 0 0.16863 
21000 2 0.602602 2 0 0.147126 
22000 2 0.547483 2 0 0.1264 
23000 2 0.517082 2 0 0.115771 
24000 2 0.741043 2 0 0.20977 
25000 2 0.624629 2 0 0.15599 
26000 2 0.683471 2 0 0.181557 
27000 2 0.669546 2 0 0.175237 
28000 2 0.593685 2 0 0.143637 
29000 2 0.609732 2 0 0.149957 
30000 2 0.584735 2 0 0.14019 
31000 2 0.641165 2 0 0.162884 
32000 2 0.546681 2 0 0.126113 
33000 2 0.564955 2 0 0.132759 
34000 2 0.604676 2 0 0.147946 
35000 2 0.56563 2 0 0.133008 
36000 2 0.64522 2 0 0.164608 
37000 2 0.566406 2 0 0.133295 
38000 2 0.570273 2 0 0.134731 
39000 2 0.612709 2 0 0.151149 
40000 2 0.649911 2 0 0.166619 
41000 2 0.546681 2 0 0.126113 
42000 2 0.564177 2 0 0.132471 
43000 2 0.532063 2 0 0.120942 
44000 2 0.653899 2 0 0.168342 
45000 2 0.643872 2 0 0.164033 
46000 2 0.679712 2 0 0.179833 
47000 2 0.702438 2 0 0.190463 
48000 2 0.63089 2 0 0.158575 
49000 2 0.640486 2 0 0.162597 
50000 4 0.956481 4 0.0479885 0.25 
51000 4 1.29914 4 0.0551566 0.343005 
52000 4 1.38591 4 0.0258546 0.37403 
53000 4 1.29955 4 0.00430911 0.347601 
54000 4 1.27716 4 0.0232692 0.324332 
55000 4 1.35396 4 0.0318874 0.35823 
56000 4 1.39315 4 0.0327492 0.376041 
57000 4 1.46596 4 0.0571675 0.413962 
58000 4 1.59945 4 0.12439 0.525136 
59000 4 1.58383 4 0.0792876 0.483194 
60000 4 1.61126 4 0.0735421 0.495835 
61000 4 1.54756 4 0.0422292 0.466245 
62000 4 1.61946 4 0.0491238 0.503016 
63000 4 1.63123 4 0.0586038 0.505889 
64000 4 1.58203 4 0.0594657 0.475725 
65000 4 1.569 4 0.0735632 0.472989 
66000 4 1.56428 4 0.0729675 0.468831 
67000 4 1.4863 4 0.0189601 0.434358 
68000 4 1.55096 4 0.0249928 0.476013 
69000 4 1.56873 4 0.0798621 0.474864 
70000 4 1.61146 4 0.105142 0.512496 
71000 4 1.66455 4 0.0953749 0.534904 
72000 4 1.47416 4 0.066073 0.421431 
73000 4 1.58032 4 0.0413674 0.477736 
74000 4 1.44832 4 0.0229885 0.408333 
75000 4 1.50095 4 0.0588911 0.431485 
76000 4 1.36223 4 0.00976731 0.37518 
77000 4 1.43274 4 0.0393565 0.395863 
78000 4 1.43246 4 0.0591784 0.406492 
79000 4 1.40089 4 0.0502729 0.389543 
80000 4 1.28965 4 0.0186728 0.345303 
81000 4 1.21703 4 0.0011491 0.316863 
82000 4 1.1869 4 0.000287274 0.310256 
83000 3 1.24002 3 0 0.331514 
84000 3 1.24704 3 0 0.341856 
85000 4 1.20117 4 0.00344729 0.302787 
