# Wed Apr  9 15:42:51 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.00701383 2 0 0.000574548 
4000 2 0.0594176 2 0 0.00689457 
5000 2 0.0594176 2 0 0.00689457 
6000 2 0.065522 2 0 0.00775639 
7000 2 0.0100164 2 0 0.000861821 
8000 2 0.0510307 2 0 0.00574548 
9000 4 0.213534 4 0.0149382 0.0416547 
10000 4 0.701357 4 0.0189655 0.150575 
11000 4 1.0225 4 0.109451 0.314565 
12000 4 1.27618 4 0.0137891 0.32979 
13000 4 1.54602 4 0.0261419 0.468544 
14000 3 1.33546 3 0 0.379201 
15000 3 1.29626 3 0 0.356794 
16000 3 1.39125 3 0 0.413962 
17000 4 1.318 4 0.000574713 0.366667 
18000 4 1.32516 4 0.000287439 0.371084 
19000 4 1.43363 4 0.00114943 0.436782 
20000 3 1.31807 3 0 0.368572 
21000 4 1.33053 4 0.0011491 0.371732 
22000 4 1.34286 4 0.000574548 0.382361 
23000 3 1.36937 3 0 0.399023 
24000 3 1.38 3 0 0.407067 
25000 3 1.33881 3 0 0.381212 
26000 4 1.30165 4 0.000287274 0.35823 
27000 3 1.27 3 0 0.343005 
28000 3 1.33843 3 0 0.38046 
29000 3 1.3428 3 0 0.384195 
30000 3 1.32439 3 0 0.372594 
31000 3 1.31481 3 0 0.367423 
32000 4 1.325 4 0.000287356 0.371552 
33000 3 1.27728 3 0 0.346452 
34000 3 1.32849 3 0 0.375467 
35000 4 1.31608 4 0.000287274 0.365987 
36000 3 1.34403 3 0 0.391841 
37000 4 1.40711 4 0.00402183 0.410801 
38000 4 1.3473 4 0.00287274 0.380925 
39000 3 1.32577 3 0 0.373456 
40000 4 1.31878 4 0.0247126 0.342816 
41000 4 1.36359 4 0.00804367 0.375754 
42000 4 1.45432 4 0.0439529 0.409652 
43000 4 1.43683 4 0.0468256 0.401609 
44000 4 1.40766 4 0.0603275 0.389543 
45000 4 1.41634 4 0.054582 0.396725 
46000 4 1.37329 4 0.0344729 0.368572 
47000 4 1.28901 4 0.0238437 0.330078 
48000 4 1.10673 4 0.00373456 0.261994 
49000 4 1.10418 4 0.000574548 0.268314 
50000 4 1.20472 4 0.0155128 0.296467 
51000 4 1.24834 4 0.0462511 0.318012 
52000 4 1.29633 4 0.0169492 0.334674 
53000 4 1.27703 4 0.00603275 0.333525 
54000 4 1.25022 4 0.0275783 0.312554 
55000 4 1.2042 4 0.0163746 0.295317 
56000 4 1.19998 4 0.000862069 0.306034 
57000 3 1.18692 3 0 0.304797 
58000 3 1.225 3 0 0.320598 
59000 4 1.2111 4 0.00172364 0.31083 
60000 3 1.25233 3 0 0.333812 
61000 3 1.2357 3 0 0.325481 
62000 3 1.23863 3 0 0.326918 
63000 4 1.1196 4 0.000287274 0.27291 
64000 3 1.24664 3 0 0.330939 
65000 4 1.27578 4 0.00143637 0.340994 
66000 4 1.13241 4 0.000861821 0.276645 
67000 3 1.1431 3 0 0.283252 
68000 3 1.10095 3 0 0.265728 
69000 4 1.27589 4 0.00574548 0.334674 
70000 4 1.36864 4 0.0192473 0.367998 
71000 4 1.36945 4 0.0158001 0.372881 
72000 4 1.38726 4 0.00746912 0.397587 
73000 3 1.37458 3 0 0.40678 
74000 4 1.34337 4 0.000574548 0.384372 
75000 4 1.33768 4 0.000574548 0.380638 
76000 4 1.37086 4 0.000574548 0.400747 
77000 3 1.32778 3 0 0.377011 
78000 3 1.35001 3 0 0.391267 
79000 4 1.34458 4 0.000287274 0.385809 
80000 3 1.39126 3 0 0.420402 
81000 3 1.30256 3 0 0.361965 
