# Tue Mar 25 19:23:23 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 2 0.0070156 2 0 0.000574713 
9000 2 0.0183127 2 0 0.00172414 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 2 0.00379425 2 0 0.000287274 
13000 2 0.0510307 2 0 0.00574548 
14000 2 0.217729 2 0 0.0347601 
15000 2 0.53616 2 0 0.122379 
16000 2 0.677822 2 0 0.178972 
17000 2 0.674655 2 0 0.177535 
18000 2 0.678453 2 0 0.179259 
19000 2 0.729786 2 0 0.203964 
20000 2 0.586237 2 0 0.140764 
21000 2 0.592203 2 0 0.143062 
22000 2 0.670187 2 0 0.175524 
23000 2 0.620414 2 0 0.154266 
24000 2 0.549083 2 0 0.126975 
25000 2 0.549083 2 0 0.126975 
26000 2 0.532885 2 0 0.12123 
27000 2 0.644546 2 0 0.164321 
28000 2 0.567181 2 0 0.133582 
29000 2 0.57869 2 0 0.137891 
30000 2 0.621822 2 0 0.154841 
31000 2 0.593685 2 0 0.143637 
32000 2 0.58172 2 0 0.139041 
33000 2 0.632961 2 0 0.159437 
34000 2 0.589228 2 0 0.141913 
35000 2 0.57869 2 0 0.137891 
36000 2 0.568833 2 0 0.134195 
37000 2 0.57258 2 0 0.135593 
38000 2 0.606849 2 0 0.148808 
39000 2 0.463416 2 0 0.0982476 
40000 2 0.528766 2 0 0.119793 
41000 2 0.464334 2 0 0.0985349 
42000 2 0.54427 2 0 0.125251 
43000 2 0.416709 2 0 0.0841712 
44000 2 0.616876 2 0 0.15283 
45000 2 0.583983 2 0 0.139902 
46000 2 0.341136 2 0 0.0634875 
47000 2 0.57258 2 0 0.135593 
48000 2 0.485974 2 0 0.105429 
49000 2 0.587734 2 0 0.141339 
50000 2 0.601766 2 0 0.146797 
51000 2 0.793393 2 0 0.239012 
52000 2 0.77265 2 0 0.226946 
53000 2 0.723534 2 0 0.200804 
54000 2 0.813886 2 0 0.251652 
55000 2 0.721813 2 0 0.199943 
56000 2 0.665032 2 0 0.173226 
57000 2 0.736506 2 0 0.207412 
58000 2 0.716611 2 0 0.197357 
59000 2 0.770613 2 0 0.225797 
60000 2 0.759737 2 0 0.219764 
61000 2 0.764435 2 0 0.22235 
62000 2 0.64522 2 0 0.164608 
63000 2 0.618294 2 0 0.153404 
64000 2 0.658512 2 0 0.170353 
65000 2 0.678566 2 0 0.17931 
66000 2 0.702438 2 0 0.190463 
67000 2 0.65654 2 0 0.169492 
68000 2 0.717772 2 0 0.197932 
69000 2 0.684095 2 0 0.181844 
70000 2 0.775181 2 0 0.228383 
71000 2 0.775181 2 0 0.228383 
72000 2 0.668903 2 0 0.17495 
73000 2 0.670941 2 0 0.175862 
74000 2 0.655221 2 0 0.168917 
75000 2 0.631581 2 0 0.158862 
76000 2 0.641843 2 0 0.163172 
77000 2 0.704234 2 0 0.191324 
78000 2 0.647236 2 0 0.16547 
79000 2 0.749634 2 0 0.214306 
80000 2 0.677822 2 0 0.178972 
81000 2 0.686582 2 0 0.182993 
82000 2 0.73595 2 0 0.207124 
83000 2 0.682222 2 0 0.180982 
84000 2 0.694576 2 0 0.186728 
85000 2 0.654561 2 0 0.16863 
86000 2 0.713694 2 0 0.195921 
87000 2 0.704234 2 0 0.191324 
88000 2 0.692131 2 0 0.185579 
89000 2 0.746506 2 0 0.212644 
90000 2 0.704831 2 0 0.191612 
91000 2 0.773158 2 0 0.227234 
92000 2 0.676558 2 0 0.178397 
93000 2 0.692131 2 0 0.185579 
94000 2 0.634337 2 0 0.160011 
95000 2 0.752852 2 0 0.21603 
96000 2 0.710169 2 0 0.194197 
97000 2 0.657199 2 0 0.169779 
98000 2 0.665032 2 0 0.173226 
99000 2 0.678453 2 0 0.179259 
100000 2 0.640486 2 0 0.162597 
