# Wed Mar 26 02:04:39 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 1 0 1 0 0 
17000 1 0 1 0 0 
18000 1 0 1 0 0 
19000 1 0 1 0 0 
20000 1 0 1 0 0 
21000 2 0.165576 2 0 0.0244183 
22000 2 0.336658 2 0 0.0623384 
23000 2 0.275249 2 0 0.0474002 
24000 2 0.359816 2 0 0.0683712 
25000 2 0.789047 2 0 0.236426 
26000 2 0.758686 2 0 0.21919 
27000 2 0.775685 2 0 0.22867 
28000 2 0.790017 2 0 0.237001 
29000 2 0.765989 2 0 0.223212 
30000 2 0.813434 2 0 0.251365 
31000 2 0.785629 2 0 0.234415 
32000 2 0.796261 2 0 0.240735 
33000 2 0.792432 2 0 0.238437 
34000 2 0.758159 2 0 0.218903 
35000 2 0.847229 2 0 0.274059 
36000 2 0.813434 2 0 0.251365 
37000 2 0.831991 2 0 0.263506 
38000 2 0.82367 2 0 0.257972 
39000 2 0.863662 2 0 0.286125 
40000 2 0.802395 2 0 0.24447 
41000 2 0.856747 2 0 0.280954 
42000 2 0.793873 2 0 0.239299 
43000 2 0.833578 2 0 0.264579 
44000 2 0.828993 2 0 0.261494 
45000 2 0.799578 2 0 0.242746 
46000 2 0.82845 2 0 0.261132 
47000 2 0.752317 2 0 0.215743 
48000 2 0.761947 2 0 0.220977 
49000 2 0.782674 2 0 0.232692 
50000 2 0.774171 2 0 0.227808 
51000 2 0.767021 2 0 0.223786 
52000 2 0.800989 2 0 0.243608 
53000 2 0.826287 2 0 0.259695 
54000 2 0.8075 2 0 0.24763 
55000 2 0.8075 2 0 0.24763 
56000 2 0.839034 2 0 0.268314 
57000 2 0.860612 2 0 0.283826 
58000 2 0.78856 2 0 0.236139 
59000 2 0.837784 2 0 0.267452 
60000 2 0.840279 2 0 0.269176 
61000 2 0.776189 2 0 0.228957 
62000 2 0.840279 2 0 0.269176 
63000 2 0.871125 2 0 0.29187 
64000 2 0.790501 2 0 0.237288 
65000 2 0.82059 2 0 0.255961 
66000 2 0.76959 2 0 0.225223 
67000 2 0.84398 2 0 0.271761 
68000 2 0.797212 2 0 0.24131 
69000 2 0.763396 2 0 0.221775 
70000 2 0.742141 2 0 0.210345 
71000 2 0.754451 2 0 0.216892 
72000 2 0.793873 2 0 0.239299 
73000 2 0.744214 2 0 0.211433 
74000 2 0.817925 2 0 0.254237 
75000 2 0.756574 2 0 0.218041 
76000 2 0.721813 2 0 0.199943 
77000 2 0.780691 2 0 0.231543 
78000 2 0.742574 2 0 0.210572 
79000 2 0.744214 2 0 0.211433 
80000 2 0.793873 2 0 0.239299 
81000 2 0.761309 2 0 0.220626 
82000 2 0.77265 2 0 0.226946 
83000 2 0.748555 2 0 0.213732 
84000 2 0.775685 2 0 0.22867 
85000 2 0.767536 2 0 0.224074 
86000 2 0.765989 2 0 0.223212 
87000 2 0.806578 2 0 0.247055 
88000 2 0.775296 2 0 0.228448 
89000 2 0.794466 2 0 0.239655 
90000 2 0.74639 2 0 0.212583 
91000 2 0.785744 2 0 0.234483 
92000 2 0.731591 2 0 0.204885 
93000 2 0.765989 2 0 0.223212 
94000 2 0.762354 2 0 0.221201 
95000 2 0.721238 2 0 0.199655 
96000 2 0.753919 2 0 0.216604 
97000 2 0.748555 2 0 0.213732 
98000 2 0.742689 2 0 0.210632 
99000 2 0.761832 2 0 0.220914 
100000 2 0.722387 2 0 0.20023 
