# Sat Mar 29 10:47:47 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 2 0.00701383 2 0 0.000574548 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 2 0.0886711 2 0 0.0112037 
14000 2 0.571812 2 0 0.135306 
15000 2 0.631581 2 0 0.158862 
16000 2 0.724106 2 0 0.201092 
17000 2 0.695794 2 0 0.187302 
18000 2 0.655221 2 0 0.168917 
19000 2 0.742026 2 0 0.210284 
20000 2 0.705427 2 0 0.191899 
21000 2 0.713694 2 0 0.195921 
22000 2 0.67529 2 0 0.177822 
23000 2 0.621822 2 0 0.154841 
24000 2 0.609732 2 0 0.149957 
25000 2 0.651244 2 0 0.167193 
26000 3 0.6178 3 0.00143637 0.149957 
27000 2 0.719508 2 0 0.198793 
28000 2 0.69943 2 0 0.189026 
29000 2 0.677822 2 0 0.178972 
30000 2 0.576511 2 0 0.137069 
31000 2 0.688439 2 0 0.183855 
32000 2 0.65731 2 0 0.169828 
33000 2 0.64252 2 0 0.163459 
34000 2 0.668903 2 0 0.17495 
35000 2 0.605401 2 0 0.148233 
36000 2 0.577169 2 0 0.137317 
37000 2 0.607571 2 0 0.149095 
38000 2 0.547483 2 0 0.1264 
39000 2 0.353286 2 0 0.0666475 
40000 2 0.519605 2 0 0.116633 
41000 2 0.328744 2 0 0.0603275 
42000 2 0.487744 2 0 0.106004 
43000 2 0.517082 2 0 0.115771 
44000 2 0.238008 2 0 0.0390692 
45000 2 0.143661 2 0 0.0203964 
46000 1 0 1 0 0 
47000 1 0 1 0 0 
48000 1 0 1 0 0 
49000 1 0 1 0 0 
50000 1 0 1 0 0 
51000 1 0 1 0 0 
52000 1 0 1 0 0 
53000 1 0 1 0 0 
54000 1 0 1 0 0 
55000 1 0 1 0 0 
56000 1 0 1 0 0 
57000 1 0 1 0 0 
58000 1 0 1 0 0 
59000 1 0 1 0 0 
60000 1 0 1 0 0 
61000 1 0 1 0 0 
62000 1 0 1 0 0 
63000 1 0 1 0 0 
64000 1 0 1 0 0 
65000 1 0 1 0 0 
66000 1 0 1 0 0 
67000 1 0 1 0 0 
68000 1 0 1 0 0 
69000 1 0 1 0 0 
70000 1 0 1 0 0 
71000 1 0 1 0 0 
72000 1 0 1 0 0 
73000 1 0 1 0 0 
74000 1 0 1 0 0 
75000 1 0 1 0 0 
76000 1 0 1 0 0 
77000 1 0 1 0 0 
78000 1 0 1 0 0 
79000 1 0 1 0 0 
80000 1 0 1 0 0 
81000 1 0 1 0 0 
82000 1 0 1 0 0 
83000 1 0 1 0 0 
84000 1 0 1 0 0 
85000 1 0 1 0 0 
86000 1 0 1 0 0 
87000 1 0 1 0 0 
88000 1 0 1 0 0 
89000 1 0 1 0 0 
90000 1 0 1 0 0 
91000 1 0 1 0 0 
92000 1 0 1 0 0 
93000 1 0 1 0 0 
94000 1 0 1 0 0 
95000 1 0 1 0 0 
96000 1 0 1 0 0 
97000 1 0 1 0 0 
98000 1 0 1 0 0 
99000 1 0 1 0 0 
100000 1 0 1 0 0 
