# Avida tasks data
# Sat Mar 29 10:52:40 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Nand

0 0 
1000 0 
2000 0 
3000 0 
4000 0 
5000 0 
6000 0 
7000 0 
8000 0 
9000 0 
10000 0 
11000 0 
12000 0 
13000 0 
14000 0 
15000 0 
16000 0 
17000 0 
18000 0 
19000 2 
20000 0 
21000 0 
22000 0 
23000 0 
24000 853 
25000 1530 
26000 1632 
27000 1637 
28000 1390 
29000 1365 
30000 1652 
31000 1231 
32000 1420 
33000 1445 
34000 1441 
35000 1376 
36000 1223 
37000 1289 
38000 1296 
39000 1155 
40000 1135 
41000 1179 
42000 1257 
43000 1301 
44000 1283 
45000 1401 
46000 1420 
47000 1375 
48000 1136 
49000 1396 
50000 1340 
51000 1362 
52000 1184 
53000 1264 
54000 1228 
55000 1404 
56000 1327 
57000 1410 
58000 1242 
59000 1321 
60000 1255 
61000 1157 
62000 1159 
63000 1239 
64000 1137 
65000 1277 
66000 1341 
67000 1383 
68000 1282 
69000 1422 
70000 1387 
71000 1217 
72000 1323 
73000 1140 
74000 1264 
75000 1254 
76000 1267 
77000 1453 
78000 1356 
79000 1442 
80000 1537 
81000 1401 
82000 1450 
83000 1388 
84000 1432 
85000 1428 
86000 1445 
87000 1243 
88000 1502 
89000 1482 
90000 1456 
91000 1351 
92000 1424 
93000 1329 
94000 1282 
95000 1389 
96000 1519 
97000 1531 
98000 1350 
99000 1380 
100000 1361 
