# Sat Mar 29 10:54:39 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 2 0.0128781 2 0 0.0011491 
10000 2 0.00701383 2 0 0.000574548 
11000 2 0.00701383 2 0 0.000574548 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 1 0 1 0 0 
17000 1 0 1 0 0 
18000 1 0 1 0 0 
19000 1 0 1 0 0 
20000 1 0 1 0 0 
21000 2 0.639236 2 0 0.162069 
22000 2 0.726955 2 0 0.202528 
23000 2 0.697616 2 0 0.188164 
24000 2 0.770613 2 0 0.225797 
25000 2 0.731029 2 0 0.204598 
26000 3 0.75865 3 0 0.211433 
27000 3 0.747746 3 0 0.210284 
28000 3 0.998291 3 0 0.278656 
29000 3 1.26271 3 0 0.345016 
30000 3 1.26584 3 0 0.352586 
31000 3 1.13041 3 0 0.301063 
32000 3 1.19395 3 0 0.309681 
33000 3 1.26419 3 0 0.341856 
34000 3 1.22763 3 0 0.327492 
35000 3 1.32114 3 0 0.374318 
36000 3 1.3919 3 0 0.415111 
37000 3 1.3558 3 0 0.391267 
38000 3 1.36652 3 0 0.399138 
39000 3 1.35529 3 0 0.392703 
40000 3 1.313 3 0 0.367136 
41000 3 1.35023 3 0 0.387245 
42000 3 1.31809 3 0 0.372594 
43000 3 1.30085 3 0 0.359667 
44000 3 1.29657 3 0 0.359379 
45000 3 1.33242 3 0 0.381787 
46000 3 1.32502 3 0 0.373456 
47000 3 1.31703 3 0 0.371158 
48000 3 1.34927 3 0 0.388969 
49000 3 1.33892 3 0 0.381212 
50000 3 1.38647 3 0 0.413387 
51000 3 1.32728 3 0 0.37403 
52000 3 1.34312 3 0 0.38351 
53000 3 1.34894 3 0 0.387245 
54000 3 1.31443 3 0 0.36771 
55000 3 1.31465 3 0 0.36771 
56000 3 1.32938 3 0 0.376329 
57000 3 1.42527 3 0 0.437231 
58000 3 1.36633 3 0 0.397874 
59000 3 1.45282 3 0 0.458202 
60000 3 1.41142 3 0 0.427463 
61000 3 1.36614 3 0 0.397012 
62000 3 1.31917 3 0 0.369434 
63000 3 1.35449 3 0 0.389831 
64000 3 1.39423 3 0 0.415398 
65000 3 1.35776 3 0 0.393103 
66000 3 1.40006 3 0 0.420282 
67000 3 1.31033 3 0 0.365987 
68000 3 1.39978 3 0 0.421431 
69000 3 1.38987 3 0 0.4131 
70000 3 1.40247 3 0 0.424303 
71000 3 1.43281 3 0 0.442402 
72000 3 1.37384 3 0 0.401896 
73000 3 1.42539 3 0 0.438093 
74000 3 1.31221 3 0 0.365412 
75000 3 1.42895 3 0 0.439529 
76000 3 1.33912 3 0 0.380638 
77000 3 1.36787 3 0 0.398161 
78000 3 1.37304 3 0 0.401321 
79000 3 1.43799 3 0 0.44786 
80000 3 1.45583 3 0 0.461936 
81000 3 1.43612 3 0 0.444987 
82000 3 1.36976 3 0 0.399598 
83000 3 1.37212 3 0 0.402183 
84000 3 1.35389 3 0 0.389543 
85000 3 1.36397 3 0 0.395863 
86000 3 1.32752 3 0 0.374605 
87000 3 1.43633 3 0 0.446136 
88000 3 1.40562 3 0 0.423154 
89000 3 1.40511 3 0 0.42258 
90000 3 1.41239 3 0 0.429187 
91000 3 1.34214 3 0 0.383223 
92000 3 1.42031 3 0 0.433496 
93000 3 1.34873 3 0 0.386383 
94000 3 1.34689 3 0 0.385234 
95000 3 1.32624 3 0 0.373169 
96000 3 1.37879 3 0 0.405056 
97000 3 1.32775 3 0 0.37403 
98000 3 1.29756 3 0 0.359379 
99000 3 1.2936 3 0 0.356794 
100000 3 1.25455 3 0 0.340517 
