# Sat Mar 29 10:57:33 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 2 0.040066 2 0 0.00430911 
15000 1 0 1 0 0 
16000 2 0.289986 2 0 0.0508475 
17000 2 0.633649 2 0 0.159724 
18000 2 0.579449 2 0 0.138179 
19000 3 0.633145 3 0 0.156322 
20000 3 0.656617 3 0 0.155128 
21000 3 1.29332 3 0 0.35507 
22000 3 1.21486 3 0 0.315805 
23000 3 1.26007 3 0 0.339845 
24000 3 1.24369 3 0 0.332088 
25000 3 1.26954 3 0 0.343867 
26000 3 1.26903 3 0 0.343579 
27000 4 1.32149 4 0.000574548 0.371732 
28000 4 1.31374 4 0.000574548 0.365125 
29000 3 1.38515 3 0 0.409365 
30000 4 1.38212 4 0.000287274 0.406492 
31000 3 1.40683 3 0 0.426314 
32000 4 1.44146 4 0.00114943 0.448276 
33000 3 1.45817 3 0 0.465096 
34000 4 1.39635 4 0.00833094 0.395001 
35000 4 1.59539 4 0.0657857 0.503016 
36000 4 1.46528 4 0.020971 0.427751 
37000 4 1.41358 4 0.00143637 0.421431 
38000 3 1.34129 3 0 0.385521 
39000 3 1.36061 3 0 0.410632 
40000 3 1.3662 3 0 0.411089 
41000 4 1.43603 4 0.00258546 0.442976 
42000 3 1.46288 3 0 0.469693 
43000 3 1.47863 3 0 0.500144 
44000 4 1.42665 4 0.000861821 0.434071 
45000 3 1.45743 3 0 0.46954 
46000 3 1.50313 3 0 0.505602 
47000 4 1.3592 4 0.000287274 0.391267 
48000 4 1.49024 4 0.00287274 0.473714 
49000 4 1.5096 4 0.000287274 0.508187 
50000 3 1.42796 3 0 0.442976 
51000 4 1.41434 4 0.00517093 0.412238 
52000 3 1.42666 3 0 0.438667 
53000 4 1.46377 4 0.000287356 0.464655 
54000 3 1.38322 3 0 0.410227 
55000 4 1.40739 4 0.0011491 0.419707 
56000 3 1.37839 3 0 0.407067 
57000 3 1.43705 3 0 0.448147 
58000 3 1.46967 3 0 0.47314 
59000 4 1.46357 4 0.00143637 0.458202 
60000 3 1.4441 3 0 0.451882 
61000 3 1.36225 3 0 0.394714 
62000 4 1.33862 4 0.000287356 0.37931 
63000 4 1.47957 4 0.0120655 0.442402 
64000 4 1.39366 4 0.000574548 0.411951 
65000 4 1.33431 4 0.000574548 0.376041 
66000 4 1.43544 4 0.00201092 0.435507 
67000 3 1.45829 3 0 0.463085 
68000 3 1.47999 3 0 0.481184 
69000 4 1.42729 4 0.00402183 0.425452 
70000 3 1.43592 3 0 0.444987 
71000 3 1.38099 3 0 0.407067 
72000 4 1.41324 4 0.000574548 0.424878 
73000 4 1.37511 4 0.000861821 0.399598 
74000 4 1.51735 4 0.000287274 0.519104 
75000 3 1.40425 3 0 0.430049 
76000 3 1.44625 3 0 0.455329 
77000 3 1.43143 3 0 0.44154 
78000 4 1.4623 4 0.00833094 0.437518 
79000 4 1.40403 4 0.000574548 0.418558 
80000 4 1.50713 4 0.00948003 0.469118 
81000 3 1.35821 3 0 0.392129 
82000 3 1.33706 3 0 0.380638 
83000 3 1.38567 3 0 0.412238 
84000 3 1.3942 3 0 0.415398 
85000 3 1.35337 3 0 0.392991 
86000 3 1.38518 3 0 0.413625 
87000 3 1.43957 3 0 0.447573 
88000 3 1.46529 3 0 0.468831 
89000 3 1.44879 3 0 0.458202 
90000 3 1.42359 3 0 0.435794 
91000 3 1.4264 3 0 0.438093 
92000 3 1.42876 3 0 0.441827 
93000 3 1.37699 3 0 0.404023 
94000 3 1.41862 3 0 0.43206 
95000 3 1.47845 3 0 0.480609 
96000 4 1.46606 4 0.000287274 0.471991 
97000 3 1.46174 3 0 0.465384 
98000 3 1.41177 3 0 0.427176 
99000 3 1.41695 3 0 0.430911 
100000 3 1.46364 3 0 0.467107 
