# Sun Mar 30 14:12:13 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 1 0 1 0 0 
17000 1 0 1 0 0 
18000 1 0 1 0 0 
19000 1 0 1 0 0 
20000 1 0 1 0 0 
21000 1 0 1 0 0 
22000 1 0 1 0 0 
23000 1 0 1 0 0 
24000 1 0 1 0 0 
25000 1 0 1 0 0 
26000 1 0 1 0 0 
27000 1 0 1 0 0 
28000 1 0 1 0 0 
29000 1 0 1 0 0 
30000 1 0 1 0 0 
31000 1 0 1 0 0 
32000 1 0 1 0 0 
33000 1 0 1 0 0 
34000 1 0 1 0 0 
35000 1 0 1 0 0 
36000 1 0 1 0 0 
37000 1 0 1 0 0 
38000 1 0 1 0 0 
39000 1 0 1 0 0 
40000 1 0 1 0 0 
41000 1 0 1 0 0 
42000 1 0 1 0 0 
43000 1 0 1 0 0 
44000 1 0 1 0 0 
45000 1 0 1 0 0 
46000 1 0 1 0 0 
47000 1 0 1 0 0 
48000 2 0.424574 2 0 0.0864694 
49000 2 0.610559 2 0 0.150287 
50000 3 0.682776 3 0.000574548 0.179259 
51000 3 0.65363 3 0 0.166906 
52000 2 0.671468 2 0 0.176099 
53000 2 0.599574 2 0 0.145935 
54000 2 0.687202 2 0 0.183281 
55000 2 0.719045 2 0 0.198563 
56000 2 0.64522 2 0 0.164608 
57000 2 0.668903 2 0 0.17495 
58000 2 0.623227 2 0 0.155415 
59000 2 0.651909 2 0 0.167481 
60000 2 0.698221 2 0 0.188452 
61000 2 0.672107 2 0 0.176386 
62000 2 0.690288 2 0 0.184717 
63000 2 0.73035 2 0 0.204252 
64000 2 0.679712 2 0 0.179833 
65000 2 0.676671 2 0 0.178448 
66000 2 0.683471 2 0 0.181557 
67000 2 0.684718 2 0 0.182132 
68000 2 0.697009 2 0 0.187877 
69000 2 0.679083 2 0 0.179546 
70000 2 0.66113 2 0 0.171502 
71000 2 0.6703 2 0 0.175575 
72000 2 0.631581 2 0 0.158862 
73000 2 0.672107 2 0 0.176386 
74000 2 0.664384 2 0 0.172939 
75000 2 0.676558 2 0 0.178397 
76000 2 0.657856 2 0 0.170066 
77000 2 0.666971 2 0 0.174088 
78000 2 0.688439 2 0 0.183855 
79000 2 0.650578 2 0 0.166906 
80000 2 0.655221 2 0 0.168917 
81000 2 0.690288 2 0 0.184717 
82000 2 0.713109 2 0 0.195633 
83000 2 0.731476 2 0 0.204826 
84000 2 0.721238 2 0 0.199655 
85000 2 0.704831 2 0 0.191612 
86000 2 0.693355 2 0 0.186153 
87000 2 0.71893 2 0 0.198506 
88000 2 0.70075 2 0 0.189655 
89000 2 0.697009 2 0 0.187877 
90000 2 0.701838 2 0 0.190175 
91000 2 0.700033 2 0 0.189313 
92000 2 0.694576 2 0 0.186728 
93000 2 0.660477 2 0 0.171215 
94000 2 0.757631 2 0 0.218615 
95000 2 0.692743 2 0 0.185866 
96000 2 0.704234 2 0 0.191324 
97000 2 0.650578 2 0 0.166906 
98000 2 0.68782 2 0 0.183568 
99000 2 0.696402 2 0 0.18759 
100000 2 0.682847 2 0 0.18127 
