# Sun Mar 30 14:09:20 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 2 0.0259546 2 0 0.00258621 
12000 2 0.0209119 2 0 0.00201092 
13000 2 0.679083 2 0 0.179546 
14000 2 0.712752 2 0 0.195458 
15000 2 0.758686 2 0 0.21919 
16000 2 0.759212 2 0 0.219477 
17000 2 0.803329 2 0 0.245045 
18000 2 0.760786 2 0 0.220339 
19000 3 0.885162 3 0 0.279517 
20000 3 1.43241 3 0 0.442114 
21000 3 1.4128 3 0 0.428038 
22000 3 1.39361 3 0 0.415111 
23000 3 1.37789 3 0 0.404769 
24000 4 1.4716 4 0.00775639 0.443263 
25000 3 1.42418 3 0 0.436369 
26000 3 1.36159 3 0 0.395001 
27000 3 1.40977 3 0 0.42574 
28000 3 1.40057 3 0 0.41942 
29000 3 1.39276 3 0 0.414249 
30000 4 1.42423 4 0.00488365 0.41942 
31000 3 1.42228 3 0 0.434645 
32000 4 1.41202 4 0.00344729 0.413962 
33000 3 1.39881 3 0 0.418271 
34000 3 1.35879 3 0 0.393278 
35000 3 1.39635 3 0 0.416547 
36000 3 1.30888 3 0 0.363689 
37000 4 1.39051 4 0.00143637 0.406492 
38000 4 1.3634 4 0.0011491 0.390405 
39000 3 1.42241 3 0 0.435507 
40000 3 1.42031 3 0 0.434071 
41000 3 1.37297 3 0 0.401896 
42000 3 1.39609 3 0 0.416667 
43000 3 1.38044 3 0 0.406205 
44000 3 1.35761 3 0 0.392129 
45000 3 1.30417 3 0 0.360816 
46000 4 1.37968 4 0.0066092 0.387644 
47000 4 1.42099 4 0.00919276 0.407067 
48000 4 1.49688 4 0.0180982 0.443263 
49000 4 1.38377 4 0.00229819 0.399311 
50000 4 1.47912 4 0.0247055 0.424591 
51000 4 1.53658 4 0.0361965 0.453893 
52000 4 1.36696 4 0.000574548 0.395576 
53000 4 1.34196 4 0.000574713 0.379598 
54000 4 1.43025 4 0.00229819 0.430336 
55000 3 1.37449 3 0 0.402758 
56000 4 1.38499 4 0.00373456 0.395863 
57000 4 1.34174 4 0.000574548 0.379489 
58000 3 1.3647 3 0 0.396151 
59000 4 1.37023 4 0.000287274 0.397874 
60000 4 1.46648 4 0.0224074 0.418558 
61000 4 1.33344 4 0.000574548 0.375467 
62000 3 1.33592 3 0 0.378914 
63000 3 1.34186 3 0 0.382361 
64000 4 1.29134 4 0.00316001 0.347314 
65000 4 1.30711 4 0.00287274 0.354783 
66000 4 1.37874 4 0.0066073 0.386383 
67000 4 1.30635 4 0.000287356 0.360632 
68000 4 1.36103 4 0.000574548 0.39098 
69000 4 1.32631 4 0.00201092 0.366274 
70000 4 1.36567 4 0.000574548 0.39414 
71000 4 1.46102 4 0.0206837 0.417122 
72000 4 1.57891 4 0.0654984 0.479747 
73000 4 1.39436 4 0.00919276 0.39098 
74000 4 1.38757 4 0.00143637 0.404194 
75000 3 1.3628 3 0 0.395289 
76000 4 1.38769 4 0.00143637 0.404481 
77000 3 1.4004 3 0 0.41942 
78000 3 1.39245 3 0 0.413962 
79000 3 1.36475 3 0 0.397012 
80000 3 1.35493 3 0 0.390118 
81000 3 1.36756 3 0 0.398161 
82000 4 1.41277 4 0.000574713 0.424425 
83000 4 1.41147 4 0.0103419 0.399311 
84000 3 1.40231 3 0 0.421143 
85000 3 1.40102 3 0 0.419707 
86000 4 1.41107 4 0.00316001 0.413962 
87000 3 1.40892 3 0 0.425165 
88000 4 1.36185 4 0.000861821 0.392703 
89000 3 1.34189 3 0 0.383223 
90000 3 1.3713 3 0 0.400747 
91000 4 1.41357 4 0.0091954 0.402299 
92000 4 1.34246 4 0.000861821 0.38035 
93000 4 1.41105 4 0.0054582 0.407929 
94000 4 1.32672 4 0.00143637 0.36886 
95000 4 1.39335 4 0.000287274 0.412812 
96000 3 1.33022 3 0 0.375467 
97000 3 1.36943 3 0 0.399598 
98000 4 1.43818 4 0.011491 0.413674 
99000 4 1.50879 4 0.0226946 0.444413 
100000 4 1.42485 4 0.0238506 0.394253 
