# Wed Apr 16 11:53:15 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.469815 2 0 0.100259 
5000 3 0.694613 3 0 0.185292 
6000 2 0.73035 2 0 0.204252 
7000 2 0.692131 2 0 0.185579 
8000 3 0.732869 3 0 0.19391 
9000 2 0.626724 2 0 0.156851 
10000 2 0.626026 2 0 0.156564 
11000 3 0.636376 3 0 0.158575 
12000 2 0.647906 2 0 0.165757 
13000 2 0.549083 2 0 0.126975 
14000 2 0.559381 2 0 0.13071 
15000 3 0.817329 3 0 0.191324 
16000 2 0.558595 2 0 0.130422 
17000 3 0.684445 3 0 0.153117 
18000 2 0.488627 2 0 0.106291 
19000 2 0.558595 2 0 0.130422 
20000 2 0.535343 2 0 0.122091 
21000 2 0.536976 2 0 0.122666 
22000 2 0.441921 2 0 0.0916403 
23000 2 0.414727 2 0 0.0835967 
24000 4 0.529118 4 0.0649239 0.153691 
25000 4 0.499722 4 0.069233 0.155128 
26000 4 0.606807 4 0.0890549 0.201379 
27000 4 0.462446 4 0.0537202 0.129273 
28000 4 0.272019 4 0.0140764 0.0491238 
29000 4 0.313868 4 0.0361965 0.0824476 
30000 4 0.0941092 4 0.00861821 0.0192473 
31000 1 0 1 0 0 
32000 1 0 1 0 0 
33000 1 0 1 0 0 
34000 1 0 1 0 0 
35000 1 0 1 0 0 
36000 1 0 1 0 0 
37000 1 0 1 0 0 
38000 1 0 1 0 0 
39000 1 0 1 0 0 
40000 1 0 1 0 0 
41000 1 0 1 0 0 
42000 1 0 1 0 0 
43000 1 0 1 0 0 
44000 1 0 1 0 0 
45000 1 0 1 0 0 
46000 1 0 1 0 0 
47000 1 0 1 0 0 
48000 1 0 1 0 0 
49000 1 0 1 0 0 
50000 1 0 1 0 0 
51000 1 0 1 0 0 
52000 1 0 1 0 0 
53000 1 0 1 0 0 
54000 1 0 1 0 0 
55000 1 0 1 0 0 
56000 1 0 1 0 0 
57000 2 0.00379425 2 0 0.000287274 
58000 1 0 1 0 0 
59000 1 0 1 0 0 
60000 1 0 1 0 0 
61000 1 0 1 0 0 
62000 1 0 1 0 0 
63000 1 0 1 0 0 
64000 1 0 1 0 0 
65000 1 0 1 0 0 
66000 1 0 1 0 0 
67000 1 0 1 0 0 
68000 1 0 1 0 0 
69000 1 0 1 0 0 
70000 1 0 1 0 0 
71000 1 0 1 0 0 
72000 1 0 1 0 0 
73000 1 0 1 0 0 
74000 1 0 1 0 0 
75000 1 0 1 0 0 
76000 1 0 1 0 0 
77000 1 0 1 0 0 
78000 1 0 1 0 0 
79000 1 0 1 0 0 
80000 1 0 1 0 0 
81000 1 0 1 0 0 
82000 1 0 1 0 0 
83000 1 0 1 0 0 
84000 1 0 1 0 0 
85000 1 0 1 0 0 
86000 1 0 1 0 0 
87000 1 0 1 0 0 
88000 1 0 1 0 0 
89000 1 0 1 0 0 
90000 1 0 1 0 0 
91000 1 0 1 0 0 
92000 2 0.057349 2 0 0.0066073 
93000 3 0.488848 3 0 0.103419 
94000 2 0.436192 2 0 0.0899167 
95000 2 0.397628 2 0 0.078713 
96000 2 0.293614 2 0 0.0517093 
97000 3 0.444086 3 0 0.0907785 
98000 2 0.44097 2 0 0.0913531 
99000 4 0.789221 4 0.0861821 0.236714 
100000 4 0.864555 4 0.144786 0.329216 
