# Sun Apr 13 16:24:44 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 3 0.0468526 3 0 0.00459638 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 2 0.0128781 2 0 0.0011491 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 2 0.711347 2 0 0.194772 
11000 3 0.558388 3 0 0.129273 
12000 2 0.603223 2 0 0.147371 
13000 3 0.619416 3 0 0.143924 
14000 2 0.545879 2 0 0.125826 
15000 3 0.589218 3 0.000287274 0.141051 
16000 2 0.476149 2 0 0.102269 
17000 2 0.532885 2 0 0.12123 
18000 2 0.561732 2 0 0.131571 
19000 2 0.592203 2 0 0.143062 
20000 2 0.621822 2 0 0.154841 
21000 2 0.632271 2 0 0.15915 
22000 3 0.594622 3 0 0.141913 
23000 2 0.496519 2 0 0.108877 
24000 2 0.521281 2 0 0.117208 
25000 2 0.571812 2 0 0.135306 
26000 2 0.386313 2 0 0.075553 
27000 2 0.413734 2 0 0.0833094 
28000 2 0.309087 2 0 0.0554438 
29000 2 0.320726 2 0 0.0583166 
30000 2 0.359816 2 0 0.0683712 
31000 2 0.365205 2 0 0.0698075 
32000 2 0.45042 2 0 0.0942258 
33000 3 0.377496 3 0.000287274 0.0726803 
34000 2 0.376902 2 0 0.0729675 
35000 2 0.040066 2 0 0.00430911 
36000 2 0.271506 2 0 0.0465384 
37000 2 0.522117 2 0 0.117495 
38000 4 1.13882 4 0.161448 0.418271 
39000 4 0.976817 4 0.116633 0.311405 
40000 4 1.1238 4 0.122666 0.36139 
41000 4 1.09709 4 0.116379 0.339943 
42000 4 1.08038 4 0.0968113 0.314565 
43000 4 1.156 4 0.117208 0.36254 
44000 4 1.06332 4 0.117208 0.338121 
45000 4 1.15587 4 0.101408 0.337547 
46000 4 1.07815 4 0.18759 0.43838 
47000 4 0.965732 4 0.120942 0.314565 
48000 4 1.07508 4 0.118644 0.340132 
49000 4 0.944771 4 0.127837 0.32031 
50000 4 0.951794 4 0.108302 0.302212 
51000 4 1.06962 4 0.104855 0.32347 
52000 4 1.0508 4 0.145648 0.38035 
53000 4 1.10441 4 0.14019 0.37518 
54000 4 1.0526 4 0.0858949 0.292157 
55000 4 1.0255 4 0.103993 0.305947 
56000 4 1.09159 4 0.110888 0.331514 
57000 4 1.10618 4 0.0970985 0.330939 
58000 4 1.08707 4 0.10112 0.337547 
59000 4 1.24344 4 0.0970985 0.403332 
60000 4 1.17113 4 0.0904912 0.364263 
61000 4 1.20811 4 0.0939385 0.35507 
62000 4 1.16241 4 0.133295 0.39414 
63000 4 1.07822 4 0.107728 0.325481 
64000 4 1.01603 4 0.141051 0.355358 
65000 4 1.03866 4 0.136168 0.35823 
66000 4 1.01603 4 0.108302 0.310543 
67000 4 1.04235 4 0.125251 0.338121 
68000 4 0.895521 4 0.0999713 0.270325 
69000 4 0.977757 4 0.143062 0.350761 
70000 4 0.928993 4 0.147659 0.345878 
71000 4 0.834868 4 0.146797 0.326343 
72000 4 1.18901 4 0.143637 0.401034 
73000 4 0.866569 4 0.117495 0.292157 
74000 4 0.997858 4 0.131859 0.337259 
75000 4 0.945523 4 0.160057 0.367816 
76000 4 1.06164 4 0.162597 0.396725 
77000 4 0.969314 4 0.142488 0.346739 
78000 4 0.901089 4 0.125575 0.307759 
79000 4 0.771351 4 0.0988222 0.246194 
80000 4 1.01383 4 0.1264 0.33295 
81000 4 0.904007 4 0.127262 0.310543 
82000 4 0.967537 4 0.152255 0.360241 
83000 4 1.04653 4 0.14019 0.359954 
84000 4 1.03802 4 0.128986 0.343579 
85000 4 0.894807 4 0.116346 0.295605 
86000 4 0.938316 4 0.136455 0.331514 
87000 4 1.00272 4 0.124964 0.328354 
88000 4 0.808086 4 0.128411 0.293307 
89000 4 1.05283 4 0.13272 0.353059 
90000 4 0.915311 4 0.134444 0.323183 
91000 4 0.913638 4 0.105142 0.281241 
92000 4 0.830996 4 0.122091 0.289859 
93000 4 1.01755 4 0.117495 0.322608 
94000 4 0.850066 4 0.143637 0.324332 
95000 4 1.05228 4 0.0864694 0.292732 
96000 4 1.00976 4 0.116346 0.319736 
97000 4 0.809046 4 0.0985349 0.250503 
98000 4 0.956655 4 0.122953 0.315427 
99000 4 0.841019 4 0.153117 0.338409 
100000 4 1.00791 4 0.143924 0.359667 
