# Mon Apr 14 01:31:38 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.0259482 2 0 0.00258546 
6000 2 0.258854 2 0 0.0436656 
7000 3 0.705922 3 0 0.175812 
8000 4 1.09078 4 0.000574548 0.263717 
9000 5 1.43505 5 0.0272989 0.334195 
10000 6 1.78357 6 0.116346 0.509336 
11000 6 1.6939 6 0.154553 0.496122 
12000 8 1.81215 8 0.133512 0.510485 
13000 8 1.78574 8 0.29611 0.693192 
14000 8 2.01241 8 0.29723 0.72077 
15000 8 1.77551 8 0.305693 0.699224 
16000 8 1.74459 8 0.241694 0.612755 
17000 8 1.84747 8 0.31214 0.732184 
18000 8 1.81959 8 0.294876 0.71761 
19000 8 1.86063 8 0.24929 0.675093 
20000 8 1.81434 8 0.286901 0.691468 
21000 8 1.80972 8 0.262426 0.629704 
22000 8 1.90524 8 0.308417 0.738006 
23000 8 1.83453 8 0.252425 0.626544 
24000 8 1.77499 8 0.244885 0.62069 
25000 9 1.77184 9 0.232663 0.617926 
26000 13 2.13974 13 0.49028 1.01609 
27000 14 2.55289 14 0.459935 0.982184 
28000 16 2.38229 16 0.437006 0.960931 
29000 16 2.18137 16 0.386258 0.847745 
30000 16 1.92433 16 0.379599 0.807814 
31000 16 2.12128 16 0.412863 0.860385 
32000 13 2.04574 13 0.36615 0.770756 
33000 14 1.89356 14 0.311057 0.664464 
34000 15 2.02789 15 0.37277 0.777076 
35000 14 1.99582 14 0.32587 0.681988 
36000 12 1.90163 12 0.262875 0.611494 
37000 11 1.90621 11 0.313199 0.685722 
38000 12 1.86027 12 0.397059 0.798908 
39000 12 1.85857 12 0.294747 0.63746 
40000 12 1.89702 12 0.359808 0.740305 
41000 13 1.99664 13 0.384743 0.785981 
42000 13 2.07701 13 0.363439 0.766734 
43000 14 2.00036 14 0.341933 0.726803 
44000 12 1.96257 12 0.262208 0.612468 
45000 12 2.01326 12 0.326981 0.713014 
46000 13 2.03 13 0.346062 0.751508 
47000 14 2.04212 14 0.269443 0.631715 
48000 13 1.99669 13 0.308514 0.67653 
49000 11 1.93313 11 0.284193 0.644828 
50000 11 1.89931 11 0.293934 0.659868 
51000 14 1.832 14 0.306179 0.655271 
52000 12 1.94997 12 0.293328 0.660155 
53000 13 1.98362 13 0.309131 0.695402 
54000 12 1.92232 12 0.265486 0.628842 
55000 11 1.79952 11 0.229109 0.558173 
56000 11 1.98545 11 0.224876 0.591209 
57000 11 1.85763 11 0.200279 0.542086 
58000 11 1.67716 11 0.226372 0.532606 
59000 11 1.72527 11 0.235452 0.547831 
60000 12 1.84866 12 0.269883 0.622235 
61000 11 1.7532 11 0.236358 0.565355 
62000 12 1.85696 12 0.257985 0.604424 
63000 14 2.04721 14 0.36913 0.760414 
64000 12 1.99548 12 0.298795 0.658431 
65000 13 1.921 13 0.339785 0.710715 
66000 14 2.15077 14 0.406619 0.853203 
67000 14 2.31859 14 0.450784 0.945418 
68000 14 2.20434 14 0.335279 0.743177 
69000 15 2.10407 15 0.383034 0.80293 
70000 14 2.16012 14 0.380855 0.823039 
71000 16 2.29275 16 0.398532 0.862683 
72000 15 2.19705 15 0.572687 1.17236 
73000 16 2.52146 16 0.490338 1.05803 
74000 16 2.31078 16 0.503754 1.05516 
75000 16 2.35569 16 0.479708 1.03246 
76000 16 2.32721 16 0.478744 1.03016 
77000 16 2.30462 16 0.503359 1.04108 
78000 16 2.3344 16 0.560149 1.13904 
79000 16 2.42501 16 0.527703 1.08302 
80000 16 2.52681 16 0.45552 1.03821 
81000 16 2.26294 16 0.400195 0.839368 
82000 16 2.45569 16 0.469727 0.988506 
83000 16 2.43687 16 0.504315 1.05343 
84000 16 2.46653 16 0.419198 0.941971 
85000 15 2.34736 15 0.388738 0.898592 
86000 16 2.38863 16 0.418144 0.949727 
87000 16 2.52198 16 0.49567 1.10485 
88000 16 2.42338 16 0.408208 0.931916 
89000 16 2.55754 16 0.410202 0.952887 
90000 16 2.45556 16 0.460007 0.994255 
91000 16 2.32928 16 0.432667 0.936512 
92000 16 2.28059 16 0.466462 0.981614 
93000 16 2.1223 16 0.543414 1.10284 
94000 16 2.20896 16 0.487653 1.05429 
95000 16 2.24445 16 0.49275 1.05027 
96000 15 2.35152 15 0.432249 0.928182 
97000 16 2.40313 16 0.472357 1.04453 
98000 16 2.24572 16 0.464793 0.977593 
99000 16 2.39888 16 0.48169 1.00201 
100000 15 2.23751 15 0.409655 0.902901 
