# Sun Apr 13 20:55:03 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.067525 2 0 0.00804367 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 2 0.00701383 2 0 0.000574548 
10000 2 0.00379425 2 0 0.000287274 
11000 2 0.00379425 2 0 0.000287274 
12000 3 0.546368 3 0 0.122666 
13000 2 0.540228 2 0 0.123815 
14000 3 0.511227 3 0.000574548 0.112611 
15000 4 1.36119 4 0 0.311692 
16000 4 1.48972 4 0 0.360529 
17000 4 1.49287 4 0 0.358518 
18000 6 1.72447 6 0.00172364 0.394714 
19000 7 2.03752 7 0.16863 0.598679 
20000 7 1.96451 7 0.203677 0.608733 
21000 7 1.90049 7 0.254525 0.668773 
22000 7 1.97753 7 0.226372 0.640908 
23000 7 1.96639 7 0.211782 0.618391 
24000 7 2.01142 7 0.26027 0.706693 
25000 7 1.93885 7 0.251365 0.672221 
26000 12 2.06903 12 0.353745 0.779086 
27000 12 2.35517 12 0.386768 0.875898 
28000 13 2.52695 13 0.361223 0.863545 
29000 12 2.56772 12 0.421515 0.983338 
30000 13 2.4836 13 0.484148 1.05544 
31000 15 2.51567 15 0.561894 1.17983 
32000 16 2.7169 16 0.514953 1.14655 
33000 16 2.5729 16 0.465258 1.0158 
34000 16 2.45395 16 0.480165 1.00776 
35000 15 2.29439 15 0.594388 1.21115 
36000 15 2.38527 15 0.566558 1.14565 
37000 16 2.60857 16 0.529802 1.09253 
38000 16 2.45232 16 0.578216 1.20431 
39000 16 2.69283 16 0.510232 1.1342 
40000 16 2.56194 16 0.541837 1.15743 
41000 16 2.66861 16 0.59273 1.25912 
42000 16 2.4886 16 0.512623 1.11376 
43000 16 2.42673 16 0.469803 1.02097 
44000 15 2.64305 15 0.475093 1.05171 
45000 16 2.49899 16 0.511906 1.11433 
46000 16 2.48439 16 0.513897 1.07728 
47000 16 2.39584 16 0.481042 1.01149 
48000 15 2.44125 15 0.443442 0.954611 
49000 16 2.38393 16 0.474922 1.02011 
50000 16 2.45951 16 0.540663 1.13588 
51000 16 2.54276 16 0.540828 1.16782 
52000 16 2.4306 16 0.601764 1.25201 
53000 15 2.59676 15 0.556956 1.17466 
54000 16 2.37276 16 0.381654 0.853203 
55000 16 2.45718 16 0.460912 0.995116 
56000 15 2.37427 15 0.506746 1.07096 
57000 16 2.38181 16 0.54804 1.11031 
58000 16 2.36509 16 0.501548 1.04941 
59000 16 2.34468 16 0.499561 1.06349 
60000 15 2.4106 15 0.540079 1.11951 
61000 15 2.31048 15 0.53017 1.09423 
62000 15 2.42657 15 0.495549 1.06063 
63000 16 2.31246 16 0.482389 0.992818 
64000 16 2.37702 16 0.464498 1.03591 
65000 16 2.3789 16 0.564128 1.14105 
66000 16 2.42015 16 0.534521 1.10083 
67000 14 2.32716 14 0.58127 1.18213 
68000 16 2.24611 16 0.572521 1.16087 
69000 16 2.30599 16 0.501837 1.05343 
70000 16 2.34254 16 0.527823 1.08733 
71000 16 2.20749 16 0.43115 0.915829 
72000 16 2.39113 16 0.377031 0.833956 
73000 16 2.39136 16 0.385888 0.880207 
74000 16 2.39131 16 0.413935 0.899454 
75000 16 2.32123 16 0.421295 0.915254 
76000 16 2.40195 16 0.42934 0.931054 
77000 16 2.28294 16 0.415597 0.910658 
78000 16 2.27537 16 0.469026 0.97788 
79000 16 2.20453 16 0.458028 0.965814 
80000 16 2.1852 16 0.354397 0.773916 
81000 15 2.10744 15 0.365633 0.779374 
82000 16 2.11476 16 0.362211 0.782821 
83000 16 2.1817 16 0.468375 0.976444 
84000 16 2.05536 16 0.548028 1.12209 
85000 16 2.0778 16 0.567573 1.14852 
86000 16 2.12988 16 0.443346 0.917552 
87000 16 2.22877 16 0.473066 0.954611 
88000 16 2.17737 16 0.33092 0.731686 
89000 13 1.88659 13 0.344275 0.725 
90000 13 2.0136 13 0.285229 0.647802 
91000 13 2.08441 13 0.321595 0.717897 
92000 11 1.84616 11 0.323319 0.688883 
93000 12 1.94549 12 0.292758 0.658719 
94000 12 1.97591 12 0.293136 0.662741 
95000 10 1.95715 10 0.296897 0.663602 
96000 12 1.92196 12 0.298204 0.661879 
97000 13 1.85557 13 0.307226 0.663028 
98000 12 1.90092 12 0.201782 0.537202 
99000 12 1.94568 12 0.276779 0.645791 
100000 12 1.89985 12 0.286611 0.638035 
