# Thu Oct 30 18:43:39 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.458805 2 0 0.0968113 
3000 5 1.3145 5 0.723355 1.63401 
4000 6 0.710303 6 0.886527 1.85033 
5000 6 0.724627 6 0.886814 1.8532 
6000 6 0.761736 6 0.876689 1.83558 
7000 6 0.640056 6 0.900603 1.87101 
8000 5 0.732862 5 0.877586 1.85144 
9000 11 1.5554 11 1.26431 2.4763 
10000 13 1.53281 13 1.34642 2.61793 
11000 15 2.12304 15 1.47116 2.869 
12000 23 3.17001 23 1.34977 2.65948 
13000 37 3.07896 37 1.7306 3.4273 
14000 37 3.07262 37 1.76016 3.50589 
15000 44 3.01032 44 1.86273 3.74964 
16000 43 2.84266 43 1.88627 3.8035 
17000 43 2.7967 43 1.89278 3.82189 
18000 40 2.74052 40 1.90749 3.85263 
19000 39 2.71341 39 1.91276 3.86699 
20000 43 2.68389 43 1.91446 3.8704 
21000 39 2.6796 39 1.9054 3.85809 
22000 41 2.59721 41 1.91997 3.88911 
23000 41 2.61311 41 1.92465 3.89195 
24000 40 2.59884 40 1.92562 3.8994 
25000 37 2.51996 37 1.92592 3.91066 
26000 41 2.52734 41 1.92785 3.90893 
27000 43 2.59189 43 1.91639 3.88567 
28000 39 2.52638 39 1.9439 3.93448 
29000 41 2.64125 41 1.9325 3.92416 
30000 41 2.63949 41 1.92847 3.921 
31000 41 2.63225 41 1.93652 3.92675 
32000 43 2.643 43 1.93168 3.93623 
33000 42 2.63044 42 1.93654 3.94138 
34000 46 2.59809 46 1.94699 3.95546 
35000 41 2.54914 41 1.954 3.97328 
36000 44 2.57582 44 1.95002 3.97156 
37000 46 2.71 46 1.93653 3.94797 
38000 43 2.80391 43 1.95483 3.99425 
39000 49 2.87793 49 1.94816 3.99081 
40000 39 2.79806 39 1.95104 3.99598 
41000 42 2.76163 42 1.96936 4.02644 
42000 42 2.75055 42 1.95775 4.00029 
43000 40 2.71021 40 1.95059 3.97902 
44000 46 2.67099 46 1.95963 3.99627 
45000 42 2.58838 42 1.9745 4.03333 
46000 37 2.5535 37 1.96957 4.02845 
47000 40 2.48378 40 1.98144 4.052 
48000 43 2.92976 43 2.10022 4.42586 
49000 41 2.81138 41 2.12229 4.49871 
50000 47 2.78893 47 2.13353 4.52659 
51000 46 2.69724 46 2.1543 4.57024 
52000 48 2.85193 48 2.13737 4.52916 
53000 47 2.72423 47 2.15221 4.57287 
54000 50 2.73281 50 2.14408 4.54885 
55000 50 2.78256 50 2.13486 4.52801 
56000 47 2.72038 47 2.13231 4.52226 
57000 45 2.71972 45 2.14468 4.54611 
58000 44 2.72703 44 2.14847 4.55042 
59000 46 2.7058 46 2.1483 4.55702 
60000 45 2.71717 45 2.15175 4.56449 
61000 45 2.76725 45 2.16909 4.58736 
62000 45 2.75174 45 2.14662 4.55358 
63000 42 2.67222 42 2.15857 4.58966 
64000 42 2.53142 42 2.17422 4.62597 
65000 42 2.6654 42 2.15293 4.57886 
66000 45 2.58791 45 2.16032 4.60758 
67000 46 2.68848 46 2.15153 4.57632 
68000 44 2.70086 44 2.14874 4.56306 
69000 40 2.54017 40 2.16806 4.60259 
70000 43 2.67108 43 2.15082 4.56149 
71000 48 2.73123 48 2.15125 4.5592 
72000 43 2.71715 43 2.15186 4.56178 
73000 46 2.68146 46 2.16193 4.5881 
74000 45 2.67345 45 2.15726 4.58075 
75000 44 2.74453 44 2.1635 4.58001 
76000 43 2.63397 43 2.17132 4.60816 
77000 43 2.73592 43 2.16448 4.58321 
78000 44 2.75852 44 2.15571 4.57771 
79000 49 2.80304 49 2.15885 4.57598 
80000 49 2.84047 49 2.1594 4.57972 
81000 45 2.75161 45 2.16921 4.60241 
82000 52 2.86645 52 2.14642 4.5576 
83000 49 3.24995 49 2.2561 4.93134 
84000 54 3.00907 54 2.30196 5.07268 
85000 49 3.02006 49 2.29502 5.05659 
86000 46 2.96715 46 2.30564 5.08017 
87000 52 2.98286 52 2.29886 5.0756 
88000 51 2.89626 51 2.31878 5.12927 
89000 50 2.97237 50 2.30292 5.08534 
90000 55 2.8862 55 2.31363 5.12123 
91000 48 2.95385 48 2.30593 5.09968 
92000 54 2.86287 54 2.3253 5.14766 
93000 55 2.81799 55 2.32587 5.15139 
94000 50 2.70641 50 2.33916 5.18994 
95000 48 2.73326 48 2.34306 5.19535 
96000 47 2.67669 47 2.34709 5.21718 
97000 48 2.62452 48 2.34995 5.23183 
98000 52 2.66324 52 2.34662 5.2212 
99000 49 2.62518 49 2.35175 5.23068 
100000 51 2.60104 51 2.34256 5.2181 
