# Fri Oct 31 07:10:54 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 3 0.163309 3 0 0.0232692 
3000 2 0.858796 2 0 0.282471 
4000 3 1.02743 3 0 0.448534 
5000 5 1.17433 5 0.000287356 0.560345 
6000 3 1.21258 3 0 0.666379 
7000 5 1.31119 5 0.0066168 0.727273 
8000 6 1.57252 6 0.127335 0.892498 
9000 8 2.14031 8 0.352476 1.15349 
10000 14 2.86555 14 0.778947 1.78085 
11000 14 2.9866 14 1.00978 2.21829 
12000 19 2.93664 19 1.16295 2.52014 
13000 23 3.07024 23 1.26469 2.74151 
14000 23 3.03903 23 1.36165 2.95017 
15000 22 2.95069 22 1.44366 3.11988 
16000 21 2.92365 21 1.51291 3.25857 
17000 22 2.84011 22 1.59045 3.41866 
18000 22 2.74342 22 1.66853 3.56695 
19000 22 2.66027 22 1.7276 3.67877 
20000 22 2.59587 22 1.80179 3.80156 
21000 22 2.59934 22 1.8353 3.86728 
22000 22 2.51037 22 1.9152 4.01323 
23000 21 2.55156 21 1.94116 4.05371 
24000 24 2.55302 24 1.95709 4.08453 
25000 26 2.45763 26 1.98748 4.15679 
26000 23 2.39694 23 2.0218 4.22661 
27000 24 2.32126 24 2.031 4.24741 
28000 27 2.41955 27 2.03802 4.26281 
29000 27 2.24359 27 2.07097 4.34983 
30000 34 2.72869 34 2.07742 4.35147 
31000 44 3.01146 44 2.21979 4.9425 
32000 59 3.42296 59 2.20957 4.9 
33000 61 3.52865 61 2.25651 5.11303 
34000 61 3.38366 61 2.2934 5.24899 
35000 53 3.2687 53 2.3326 5.3916 
36000 57 3.21967 57 2.3564 5.48231 
37000 51 3.26129 51 2.34021 5.46532 
38000 59 3.25585 59 2.3645 5.53698 
39000 59 3.21814 59 2.38697 5.61503 
40000 56 3.3113 56 2.38434 5.60236 
41000 64 3.53622 64 2.47112 5.95224 
42000 70 3.53 70 2.50271 6.06423 
43000 77 3.5685 77 2.48924 6.02937 
44000 71 3.52236 71 2.49846 6.06128 
45000 71 3.53914 71 2.50299 6.08309 
46000 70 3.43729 70 2.51667 6.1378 
47000 70 3.37938 70 2.51702 6.14758 
48000 69 3.42945 69 2.51201 6.13706 
49000 74 3.49354 74 2.50079 6.10279 
50000 73 3.40448 73 2.51111 6.14401 
51000 72 3.43423 72 2.51827 6.15876 
52000 73 3.4451 73 2.51552 6.15506 
53000 79 3.52465 79 2.51102 6.1355 
54000 75 3.47889 75 2.51207 6.13673 
55000 75 3.38518 75 2.52219 6.18009 
56000 72 3.36654 72 2.53107 6.20898 
57000 68 3.31262 68 2.52946 6.20294 
58000 69 3.27595 69 2.52534 6.20771 
59000 64 3.25663 64 2.52916 6.22855 
60000 73 3.29529 73 2.53829 6.24151 
61000 70 3.34359 70 2.52952 6.20443 
62000 74 3.31082 74 2.53356 6.22318 
63000 73 3.32261 73 2.53174 6.21967 
64000 68 3.32813 68 2.53134 6.2155 
65000 68 3.37327 68 2.52196 6.18504 
66000 73 3.42479 73 2.53668 6.22331 
67000 73 3.47394 73 2.53316 6.21969 
68000 77 3.36635 77 2.55252 6.29283 
69000 81 3.32074 81 2.5466 6.2858 
70000 74 3.25915 74 2.57297 6.36377 
71000 76 3.26209 76 2.55868 6.3293 
72000 77 3.27867 77 2.56042 6.32978 
73000 74 3.33416 74 2.55229 6.30446 
74000 96 3.77637 96 2.62861 6.64748 
75000 92 3.79156 92 2.63042 6.66945 
76000 94 3.7516 94 2.63076 6.69658 
77000 93 3.72336 93 2.64924 6.77186 
78000 90 3.66097 90 2.64878 6.77532 
79000 88 3.58018 88 2.66227 6.83458 
80000 91 3.71374 91 2.6493 6.7795 
81000 89 3.64545 89 2.65719 6.81659 
82000 93 3.60727 93 2.65287 6.81423 
83000 83 3.51687 83 2.67425 6.89039 
84000 88 3.52022 88 2.65947 6.85131 
85000 82 3.48353 82 2.67863 6.90823 
86000 89 3.58692 89 2.66204 6.84868 
87000 83 3.40521 83 2.67856 6.93065 
88000 84 3.41072 84 2.67416 6.91084 
89000 91 3.45122 91 2.67136 6.90771 
90000 86 3.4118 86 2.67405 6.91863 
91000 88 3.28888 88 2.68783 6.97439 
92000 92 3.34678 92 2.69587 6.98388 
93000 85 3.27971 85 2.69198 6.98589 
94000 87 3.26962 87 2.69008 6.98704 
95000 91 3.33518 91 2.68987 6.97523 
96000 83 3.31245 83 2.69058 6.98473 
97000 84 3.28508 84 2.69107 7.0023 
98000 102 3.34254 102 2.6872 6.97523 
99000 92 3.25721 92 2.70386 7.03193 
100000 92 3.2506 92 2.70916 7.05615 
