# Thu Mar  6 08:25:42 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0156388 2 0 0.00143678 
3000 3 0.379205 3 0 0.0689457 
4000 4 0.634939 4 0 0.112899 
5000 11 1.43227 11 0.098655 0.326343 
6000 26 1.74258 26 0.308337 0.656708 
7000 25 1.962 25 0.286741 0.632577 
8000 23 2.31391 23 0.342182 0.799196 
9000 31 2.41709 31 0.349325 0.829023 
10000 30 2.00657 30 0.334014 0.722414 
11000 32 2.06011 32 0.364007 0.750646 
12000 36 2.05718 36 0.446541 0.938811 
13000 37 2.08533 37 0.433442 0.903448 
14000 31 1.92985 31 0.448357 0.91784 
15000 33 1.89981 33 0.402038 0.829549 
16000 30 2.00988 30 0.403202 0.861207 
17000 27 1.82362 27 0.394509 0.834818 
18000 26 1.59167 26 0.379166 0.77449 
19000 30 1.68371 30 0.3495 0.723355 
20000 32 1.73701 32 0.380897 0.772192 
21000 31 1.74275 31 0.436535 0.878483 
22000 27 1.66791 27 0.416414 0.855789 
23000 29 1.5922 29 0.374294 0.766446 
24000 30 1.776 30 0.425546 0.873312 
25000 37 2.08954 37 0.434226 0.912094 
26000 36 1.74658 36 0.398498 0.821316 
27000 36 1.5721 36 0.398739 0.809483 
28000 34 1.65555 34 0.408554 0.835967 
29000 35 1.66117 35 0.42501 0.877909 
30000 34 1.56607 34 0.372422 0.781959 
31000 30 1.66616 30 0.372081 0.774203 
32000 37 1.68798 37 0.389435 0.809825 
33000 33 1.89023 33 0.410176 0.835967 
34000 34 1.99264 34 0.410654 0.868716 
35000 37 2.25742 37 0.446428 0.955473 
36000 34 1.94335 34 0.37996 0.812123 
37000 38 2.06124 38 0.418726 0.853778 
38000 38 2.16482 38 0.419854 0.890261 
39000 30 1.9617 30 0.422236 0.85981 
40000 36 2.15348 36 0.458676 0.957771 
41000 36 2.16459 36 0.389211 0.835105 
42000 33 2.47682 33 0.4101 0.910632 
43000 33 2.40086 33 0.402073 0.922149 
44000 32 2.2192 32 0.366715 0.836828 
45000 37 2.16374 37 0.396365 0.875323 
46000 32 1.92128 32 0.405591 0.839127 
47000 30 1.73795 30 0.369221 0.76185 
48000 26 1.54202 26 0.369539 0.754094 
49000 33 1.83203 33 0.364826 0.737719 
50000 30 1.62935 30 0.355872 0.729885 
51000 30 1.72145 30 0.369502 0.758977 
52000 36 1.79965 36 0.399299 0.826199 
53000 41 1.8475 41 0.371654 0.777076 
54000 33 1.77495 33 0.383183 0.791439 
55000 32 1.70858 32 0.377405 0.772766 
56000 36 1.95843 36 0.380874 0.790003 
57000 39 1.94198 39 0.337186 0.735995 
58000 35 1.96363 35 0.413098 0.85665 
59000 31 1.9092 31 0.37748 0.794312 
60000 29 1.77848 29 0.385442 0.814996 
61000 34 2.10474 34 0.433029 0.905774 
62000 36 1.95193 36 0.4124 0.848894 
63000 38 2.10264 38 0.387309 0.829647 
64000 39 1.84551 39 0.371658 0.767529 
65000 32 1.53485 32 0.350514 0.708417 
66000 34 1.5438 34 0.371443 0.775352 
67000 37 1.58017 37 0.426245 0.876185 
68000 31 1.61434 31 0.377004 0.778512 
69000 32 1.59728 32 0.360278 0.725941 
70000 34 1.66534 34 0.366317 0.731112 
71000 29 1.76828 29 0.383494 0.773628 
72000 29 1.58282 29 0.357775 0.723068 
73000 28 1.4619 28 0.35678 0.758403 
74000 25 1.65173 25 0.397037 0.849756 
75000 27 1.38418 27 0.380609 0.80293 
76000 30 1.53996 30 0.374243 0.80609 
77000 29 1.45132 29 0.389814 0.827874 
78000 23 1.42008 23 0.395656 0.837978 
79000 30 1.49661 30 0.41641 0.915829 
80000 31 1.41824 31 0.418509 0.921574 
81000 25 1.39667 25 0.442573 1.00086 
82000 40 1.78848 40 0.486693 1.08561 
83000 35 1.68984 35 0.476477 1.05056 
84000 31 1.51452 31 0.464323 1.02068 
85000 31 1.48745 31 0.460065 1.01925 
86000 37 1.60425 37 0.465545 1.01149 
87000 39 1.54036 39 0.456126 0.993393 
88000 40 1.53909 40 0.473025 1.052 
89000 29 1.42119 29 0.434117 0.951738 
90000 29 1.47077 29 0.464707 1.01408 
91000 35 1.56984 35 0.459134 1.00977 
92000 33 1.50072 33 0.424073 0.91784 
93000 28 1.39262 28 0.408433 0.908934 
94000 38 1.62742 38 0.406917 0.868716 
95000 31 1.4336 31 0.436739 0.961793 
96000 29 1.52001 29 0.456602 1.01034 
97000 32 1.4413 32 0.439096 0.977593 
98000 40 1.53154 40 0.41419 0.904912 
99000 30 1.54845 30 0.418499 0.901752 
100000 29 1.3537 29 0.421189 0.938523 
