# Sat Mar  8 01:06:38 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 2 0.641843 2 0 0.163172 
7000 4 0.688734 4 0 0.177822 
8000 3 0.690292 3 0.000287274 0.183568 
9000 6 1.00248 6 0.155702 0.365987 
10000 5 1.28027 5 0.0976731 0.344729 
11000 7 1.59124 7 0.12324 0.42258 
12000 7 1.8053 7 0.148808 0.512496 
13000 7 1.72439 7 0.0916667 0.443391 
14000 9 1.65346 9 0.137317 0.448722 
15000 11 1.91765 11 0.0836207 0.450287 
16000 10 1.87713 10 0.054582 0.409078 
17000 12 1.87824 12 0.116596 0.47069 
18000 11 1.85204 11 0.11582 0.464809 
19000 9 1.86603 9 0.0962644 0.450287 
20000 10 1.88171 10 0.12069 0.481034 
21000 10 2.1205 10 0.133008 0.543235 
22000 10 1.85833 10 0.128736 0.481609 
23000 8 1.88045 8 0.0939385 0.459638 
24000 9 1.91752 9 0.103131 0.473427 
25000 9 1.91908 9 0.12069 0.487931 
26000 10 1.81325 10 0.0853203 0.417696 
27000 11 1.77175 11 0.109907 0.440678 
28000 11 2.05822 11 0.137604 0.549555 
29000 8 1.90733 8 0.13588 0.506751 
30000 11 1.87383 11 0.11491 0.467394 
31000 10 1.77869 10 0.0623563 0.395977 
32000 11 1.85306 11 0.0700948 0.41942 
33000 13 1.93711 13 0.0824476 0.438093 
34000 9 1.71144 9 0.0465384 0.369147 
35000 9 1.7119 9 0.0465384 0.360241 
36000 12 1.85256 12 0.0781385 0.411376 
37000 12 1.79634 12 0.12439 0.449296 
38000 11 1.73323 11 0.127598 0.446423 
39000 13 1.9518 13 0.145648 0.500431 
40000 13 1.76292 13 0.128411 0.441253 
41000 14 1.94676 14 0.138793 0.475 
42000 17 1.90554 17 0.138921 0.461074 
43000 20 2.03601 20 0.199006 0.544671 
44000 15 1.82395 15 0.151177 0.471264 
45000 12 1.71394 12 0.149957 0.4605 
46000 14 1.74175 14 0.149095 0.455329 
47000 14 1.72024 14 0.133848 0.437805 
48000 13 1.96467 13 0.174375 0.509911 
49000 17 2.0132 17 0.243202 0.583166 
50000 17 2.11914 17 0.257372 0.618788 
51000 23 2.57546 23 0.321057 0.755243 
52000 23 2.46387 23 0.291334 0.707471 
53000 22 2.29793 22 0.301098 0.693766 
54000 22 2.57851 22 0.308675 0.759483 
55000 26 2.6616 26 0.359337 0.830508 
56000 27 2.57537 27 0.41398 0.877621 
57000 22 2.51034 22 0.331509 0.791152 
58000 26 2.67355 26 0.366323 0.841712 
59000 22 2.37037 22 0.335063 0.748635 
60000 23 2.68714 23 0.332295 0.810399 
61000 24 2.4549 24 0.368027 0.805803 
62000 23 2.48349 23 0.361218 0.800345 
63000 23 2.65074 23 0.348057 0.824476 
64000 24 2.38976 24 0.342913 0.753806 
65000 22 2.27188 22 0.315437 0.703533 
66000 24 2.241 24 0.292319 0.668486 
67000 24 2.52026 24 0.330141 0.767174 
68000 27 2.56423 27 0.32805 0.767308 
69000 23 2.35869 23 0.34882 0.781959 
70000 23 2.32747 23 0.345123 0.769319 
71000 26 2.29203 26 0.345662 0.742603 
72000 24 2.13941 24 0.340308 0.722781 
73000 19 2.11317 19 0.270625 0.624246 
74000 24 2.22092 24 0.268285 0.625862 
75000 24 2.38289 24 0.329891 0.734846 
76000 23 2.17303 23 0.263785 0.61649 
77000 21 2.20432 21 0.296123 0.661879 
78000 25 2.27791 25 0.306741 0.669253 
79000 26 2.40983 26 0.335843 0.734846 
80000 25 2.329 25 0.357531 0.754094 
81000 26 2.11294 26 0.330402 0.688021 
82000 24 2.12246 24 0.309793 0.650962 
83000 24 2.07377 24 0.313831 0.658144 
84000 25 2.04171 25 0.281618 0.612468 
85000 24 2.09157 24 0.296628 0.646653 
86000 21 1.98536 21 0.316948 0.659868 
87000 22 1.94897 22 0.306611 0.636024 
88000 24 2.06368 24 0.322076 0.664752 
89000 21 1.95894 21 0.275951 0.593678 
90000 21 2.14317 21 0.313396 0.668199 
91000 20 2.02453 20 0.278035 0.613617 
92000 23 2.28021 23 0.258078 0.631715 
93000 23 2.53603 23 0.329675 0.745188 
94000 22 2.23422 22 0.321523 0.699224 
95000 21 2.07987 21 0.307647 0.660155 
96000 23 2.38541 23 0.291223 0.694915 
97000 21 2.17637 21 0.263721 0.636311 
98000 23 2.30978 23 0.31064 0.692241 
99000 26 2.54613 26 0.357942 0.787417 
100000 27 2.63671 27 0.342511 0.773341 
