# Fri Mar  7 18:20:18 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.010019 2 0 0.000862069 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 2 0.0234619 2 0 0.00229885 
7000 3 0.030468 3 0 0.00287274 
8000 2 0.0234561 2 0 0.00229819 
9000 2 0.601036 2 0 0.14651 
10000 2 0.663735 2 0 0.172652 
11000 4 0.86902 4 0 0.182993 
12000 4 1.2609 4 0 0.268026 
13000 6 1.58669 6 0.017811 0.381787 
14000 6 1.75834 6 0.033611 0.448434 
15000 6 1.78558 6 0.0264292 0.465671 
16000 6 1.50002 6 0.00373456 0.348463 
17000 4 1.47615 4 0 0.34559 
18000 5 1.47941 5 0.00373456 0.345303 
19000 6 1.78393 6 0.0338983 0.411663 
20000 10 2.19786 10 0.189796 0.659868 
21000 12 2.40858 12 0.143751 0.650388 
22000 13 2.57836 13 0.207918 0.730824 
23000 14 2.52209 14 0.214911 0.726228 
24000 19 2.85471 19 0.296349 0.854639 
25000 16 2.74158 16 0.224828 0.752945 
26000 13 2.64376 13 0.189888 0.735995 
27000 15 2.62129 15 0.133046 0.67931 
28000 11 2.53977 11 0.12069 0.641379 
29000 12 2.50716 12 0.12008 0.652686 
30000 18 2.92752 18 0.206805 0.76092 
31000 20 2.90588 20 0.211495 0.765585 
32000 16 2.79046 16 0.192303 0.750934 
33000 17 2.82904 17 0.178145 0.721552 
34000 19 2.8329 19 0.218288 0.764723 
35000 17 2.5792 17 0.209142 0.700948 
36000 18 2.58168 18 0.211413 0.67021 
37000 21 2.69513 21 0.268657 0.750287 
38000 22 2.70002 22 0.274927 0.774777 
39000 21 3.06125 21 0.324264 0.891411 
40000 22 3.0052 22 0.277596 0.836828 
41000 21 2.97752 21 0.351387 0.903189 
42000 25 3.08742 25 0.40667 0.974145 
43000 24 2.97402 24 0.349676 0.891123 
44000 23 2.95591 23 0.320709 0.862396 
45000 23 2.87374 23 0.327241 0.868716 
46000 18 2.70872 18 0.302793 0.778799 
47000 18 2.95874 18 0.279129 0.818443 
48000 20 3.09064 20 0.353096 0.951451 
49000 20 2.83771 20 0.314579 0.844872 
50000 21 2.99558 21 0.376199 0.957196 
51000 23 2.7087 23 0.326309 0.810687 
52000 21 2.79239 21 0.392919 0.915254 
53000 26 2.9454 26 0.413215 0.970124 
54000 28 3.15184 28 0.512058 1.15254 
55000 32 3.25318 32 0.628933 1.35794 
56000 31 3.16981 31 0.512961 1.1603 
57000 33 3.51397 33 0.589916 1.31629 
58000 33 3.36881 33 0.519701 1.20425 
59000 34 3.49072 34 0.542017 1.22608 
60000 34 3.47359 34 0.487696 1.17208 
61000 34 3.35614 34 0.612024 1.29101 
62000 30 3.09721 30 0.601854 1.26716 
63000 31 3.08635 31 0.543929 1.14594 
64000 27 3.00239 27 0.529125 1.11979 
65000 29 3.23822 29 0.558527 1.21862 
66000 32 3.16959 32 0.533364 1.18041 
67000 27 3.15844 27 0.524423 1.15665 
68000 25 3.08357 25 0.453293 1.04367 
69000 26 3.40891 26 0.485791 1.13822 
70000 28 3.28193 28 0.549756 1.25682 
71000 25 3.14971 25 0.517561 1.11721 
72000 25 3.15489 25 0.432641 1.04826 
73000 27 3.10213 27 0.493247 1.11951 
74000 25 3.07741 25 0.497339 1.10055 
75000 26 3.00524 26 0.480092 1.06981 
76000 27 3.0765 27 0.499129 1.14536 
77000 23 2.98313 23 0.457931 1.08534 
78000 26 3.10285 26 0.450932 1.0813 
79000 27 3.02247 27 0.496826 1.13358 
80000 27 3.26702 27 0.440154 1.06895 
81000 29 3.38549 29 0.471772 1.14392 
82000 25 3.23313 25 0.478075 1.12123 
83000 23 3.09558 23 0.476195 1.10313 
84000 21 3.04713 21 0.527384 1.17552 
85000 27 3.21276 27 0.476326 1.1422 
86000 26 3.05359 26 0.49855 1.13014 
87000 26 3.05266 26 0.521239 1.14823 
88000 23 3.04147 23 0.557326 1.19937 
89000 27 3.01232 27 0.488627 1.08044 
90000 21 3.31671 21 0.511864 1.16547 
91000 28 3.32785 28 0.520232 1.16351 
92000 26 3.2615 26 0.512285 1.17236 
93000 24 3.08971 24 0.479501 1.09423 
94000 24 3.21131 24 0.586533 1.26688 
95000 29 3.2959 29 0.534865 1.22666 
96000 31 3.37106 31 0.527223 1.17811 
97000 26 2.93925 26 0.413845 0.987073 
98000 22 2.9987 22 0.413238 1.02011 
99000 23 2.69841 23 0.435067 0.982189 
100000 26 2.96344 26 0.423281 0.969262 
