# Thu Jul 10 14:28:02 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.217729 2 0 0.0347601 
4000 7 1.80424 7 0.175812 0.555013 
5000 8 2.40295 8 0.875599 1.83424 
6000 22 3.07689 22 1.50929 2.98793 
7000 26 3.36037 26 1.76768 3.50819 
8000 27 2.66753 27 1.86602 3.72249 
9000 37 3.26041 37 2.02644 4.18587 
10000 39 3.31182 39 2.04209 4.25366 
11000 49 3.37282 49 2.11418 4.4493 
12000 46 3.44917 46 2.09781 4.40822 
13000 48 3.76228 48 2.17899 4.70009 
14000 50 3.69395 50 2.24367 4.94542 
15000 52 3.50169 52 2.25303 5.00259 
16000 54 3.54507 54 2.2458 4.99052 
17000 55 3.48196 55 2.22065 4.96925 
18000 56 3.45913 56 2.26961 5.09509 
19000 55 3.5959 55 2.25504 5.06665 
20000 51 3.19595 51 2.32926 5.26918 
21000 45 3.15111 45 2.31139 5.23413 
22000 49 3.01698 49 2.34376 5.32606 
23000 50 3.25137 50 2.31632 5.23678 
24000 52 3.03785 52 2.31066 5.25366 
25000 50 2.94904 50 2.34307 5.24016 
26000 45 3.13597 45 2.3168 5.15082 
27000 44 2.93838 44 2.2832 5.04137 
28000 49 3.19993 49 2.31015 5.11408 
29000 43 3.07611 43 2.29344 5.06176 
30000 50 3.35517 50 2.27917 5.02126 
31000 45 3.15039 45 2.29261 5.06466 
32000 52 3.30495 52 2.27332 5.01953 
33000 52 3.36565 52 2.27599 5.01695 
34000 49 3.57942 49 2.26362 4.97156 
35000 50 3.34864 50 2.29701 5.0767 
36000 42 3.23487 42 2.30836 5.11089 
37000 53 3.45549 53 2.29468 5.08994 
38000 56 3.49916 56 2.28381 5.04453 
39000 51 3.36297 51 2.26406 5.00575 
40000 46 3.18622 46 2.40014 5.53448 
41000 46 3.24093 46 2.39901 5.49928 
42000 51 3.28075 51 2.36498 5.40506 
43000 53 3.44113 53 2.37615 5.43551 
44000 53 3.60673 53 2.36 5.38954 
45000 48 3.43451 48 2.38514 5.46107 
46000 58 3.72847 58 2.34534 5.34186 
47000 52 3.58455 52 2.37268 5.40994 
48000 53 3.48306 53 2.37175 5.42804 
49000 55 3.58036 55 2.34257 5.33697 
50000 51 3.31304 51 2.37762 5.47515 
51000 48 3.06965 48 2.41962 5.58661 
52000 46 3.16103 46 2.39776 5.52514 
53000 57 3.34239 57 2.38449 5.45201 
54000 49 3.35909 49 2.39607 5.49555 
55000 53 3.2836 53 2.40068 5.49885 
56000 58 3.63009 58 2.33681 5.33266 
57000 57 3.50573 57 2.38069 5.44064 
58000 45 3.2025 45 2.40966 5.56449 
59000 50 3.34567 50 2.39241 5.50158 
60000 50 3.40615 50 2.37525 5.43058 
61000 51 3.46989 51 2.37482 5.43637 
62000 56 3.49324 56 2.39471 5.4944 
63000 48 3.29548 48 2.37959 5.45016 
64000 57 3.39697 57 2.35853 5.38466 
65000 55 3.43739 55 2.36791 5.4154 
66000 55 3.45004 55 2.36423 5.40822 
67000 51 3.38607 51 2.35639 5.3815 
68000 55 3.54066 55 2.3522 5.34042 
69000 52 3.64083 52 2.34969 5.35737 
70000 59 3.43689 59 2.35184 5.35967 
71000 49 3.3515 49 2.38143 5.46682 
72000 53 3.28319 53 2.39128 5.48851 
73000 51 3.13506 51 2.38349 5.48521 
74000 53 3.18476 53 2.37034 5.44023 
75000 50 3.1745 50 2.3658 5.43895 
76000 53 3.12942 53 2.36983 5.45431 
77000 54 3.05542 54 2.37214 5.46107 
78000 45 2.93262 45 2.42233 5.605 
79000 48 2.96902 48 2.43446 5.63574 
80000 46 3.07961 46 2.40358 5.54339 
81000 48 3.08221 48 2.41195 5.56765 
82000 45 3.03974 45 2.42042 5.59684 
83000 38 3.015 38 2.41598 5.57857 
84000 47 3.069 47 2.42843 5.60287 
85000 49 3.01454 49 2.43003 5.62166 
86000 49 3.14678 49 2.39823 5.5191 
87000 52 3.27661 52 2.39383 5.49727 
88000 52 3.06126 52 2.41818 5.58719 
89000 46 2.98936 46 2.41441 5.57598 
90000 48 2.96552 48 2.44132 5.66332 
91000 46 3.10915 46 2.41579 5.5711 
92000 43 2.94532 43 2.43871 5.67509 
93000 40 3.06483 40 2.40322 5.56363 
94000 46 3.05749 46 2.44979 5.68773 
95000 43 3.1103 43 2.43735 5.65929 
96000 45 3.13468 45 2.41064 5.58403 
97000 47 3.03441 47 2.44553 5.67854 
98000 45 3.04584 45 2.42018 5.60011 
99000 44 3.05878 44 2.42721 5.61994 
100000 45 3.10289 45 2.4301 5.61282 
