# Fri Jul 11 04:43:49 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0531564 2 0 0.00603275 
3000 1 0 1 0 0 
4000 10 2.13749 10 0.462966 1.09394 
5000 11 1.74721 11 0.927442 1.93077 
6000 13 2.37827 13 1.27553 2.49957 
7000 22 3.05297 22 1.26039 2.47831 
8000 21 1.18224 21 1.42788 2.75955 
9000 22 1.33322 22 1.46215 2.81816 
10000 25 1.53241 25 1.47806 2.85694 
11000 24 1.46486 24 1.48913 2.87274 
12000 28 2.02226 28 1.79005 3.56851 
13000 26 1.49115 26 1.87677 3.7518 
14000 25 1.35828 25 1.8889 3.77851 
15000 23 1.52322 23 1.86678 3.72787 
16000 26 1.48166 26 1.89196 3.76817 
17000 26 1.46628 26 1.89141 3.77219 
18000 22 1.52763 22 1.8724 3.73621 
19000 23 1.52823 23 1.87608 3.74232 
20000 27 1.48721 27 1.88197 3.75668 
21000 28 1.43101 28 1.89153 3.77736 
22000 23 1.35832 23 1.89807 3.79 
23000 24 1.5039 24 1.87401 3.74203 
24000 26 1.62884 26 1.86174 3.71092 
25000 26 1.704 26 1.84797 3.67902 
26000 26 1.75958 26 1.83785 3.67078 
27000 24 1.63483 24 1.84699 3.70124 
28000 25 1.53042 25 1.86723 3.73858 
29000 24 1.37936 24 1.87991 3.77047 
30000 24 1.67617 24 1.83357 3.67825 
31000 26 1.5888 26 1.86026 3.72795 
32000 23 1.6747 23 1.83231 3.67481 
33000 25 1.63809 25 1.84841 3.7044 
34000 23 1.65046 23 1.84299 3.69061 
35000 22 1.7921 22 1.84007 3.67596 
36000 25 1.84604 25 1.82958 3.65671 
37000 23 1.59732 23 1.85307 3.71408 
38000 26 1.70874 26 1.84467 3.68974 
39000 28 1.52299 28 1.86341 3.73333 
40000 28 1.99492 28 1.8528 3.70813 
41000 30 2.6497 30 1.99812 4.13042 
42000 35 2.12815 35 2.09706 4.42861 
43000 35 2.45604 35 2.14306 4.54467 
44000 39 2.25242 39 2.35321 5.2931 
45000 37 1.64851 37 2.42844 5.52787 
46000 32 1.41658 32 2.44994 5.60161 
47000 41 1.55088 41 2.43718 5.56018 
48000 46 2.14462 46 2.58711 6.158 
49000 64 2.31265 64 2.67583 6.53921 
50000 65 2.26273 65 2.69676 6.61161 
51000 57 2.09052 57 2.7107 6.66561 
52000 63 2.17364 63 2.70605 6.64809 
53000 62 2.33089 62 2.72116 6.71371 
54000 62 2.11652 62 2.84469 7.35546 
55000 60 1.77126 60 2.87783 7.49397 
56000 65 1.62965 65 2.88679 7.54511 
57000 57 1.41498 57 2.89881 7.60299 
58000 63 1.34465 63 2.8972 7.60643 
59000 58 1.42665 58 2.90095 7.61081 
60000 69 1.48248 69 2.89117 7.57828 
61000 68 1.33928 68 2.89639 7.60805 
62000 64 1.17537 64 2.90176 7.62931 
63000 63 1.38999 63 2.9006 7.61103 
64000 69 1.4535 69 2.88134 7.53908 
65000 61 1.36708 61 2.90136 7.61448 
66000 69 1.32316 69 2.90122 7.61879 
67000 59 1.33861 59 2.89503 7.6 
68000 51 1.22084 51 2.92178 7.67998 
69000 64 1.22874 64 2.90346 7.63315 
70000 52 1.11731 52 2.91271 7.66322 
71000 52 1.32698 52 2.90239 7.6153 
72000 66 1.14267 66 2.91043 7.65987 
73000 54 1.09956 54 2.91768 7.67854 
74000 57 1.24158 57 2.91646 7.66839 
75000 68 1.38729 68 2.89688 7.59351 
76000 57 1.3833 57 2.89859 7.59828 
77000 57 1.28323 57 2.91164 7.65068 
78000 57 1.22737 57 2.91435 7.66494 
79000 58 1.27925 58 2.9142 7.65728 
80000 63 1.24343 63 2.89928 7.61706 
81000 56 1.15321 56 2.91319 7.66341 
82000 53 1.14949 53 2.90889 7.65431 
83000 59 1.18494 59 2.90998 7.65431 
84000 61 1.22393 61 2.90121 7.62529 
85000 61 1.20811 61 2.91188 7.65259 
86000 61 1.15627 61 2.90549 7.64436 
87000 57 1.21362 57 2.90305 7.62856 
88000 58 1.22498 58 2.91029 7.64838 
89000 59 1.16754 59 2.90705 7.64875 
90000 69 1.35442 69 2.90545 7.63459 
91000 55 1.27749 55 2.91069 7.64807 
92000 58 1.24402 58 2.90328 7.63323 
93000 57 1.28571 57 2.89994 7.6162 
94000 52 1.29926 52 2.90664 7.63391 
95000 54 1.28202 54 2.91747 7.66245 
96000 56 1.48056 56 2.90176 7.60402 
97000 58 1.33719 58 2.91036 7.64234 
98000 58 1.48343 58 2.89177 7.57759 
99000 55 1.16435 55 2.92116 7.68974 
100000 58 1.34428 58 2.89818 7.60471 
