# org_id,org_cellx,org_celly,org_forage_target,org_group_id,org_facing
33625802,17,11,-1,-1,3
33625850,4,51,-1,-1,5
33606808,5,15,-1,-1,0
33618986,52,4,-1,-1,4
33619446,23,48,-1,-1,1
33626895,33,15,-1,-1,6
33615012,4,44,-1,-1,3
33618343,49,54,-1,-1,1
33627345,33,25,-1,-1,5
33615871,12,48,-1,-1,1
33574108,44,56,-1,-1,1
33610384,24,56,-1,-1,5
33627457,46,16,-1,-1,1
33619074,16,54,-1,-1,2
33625235,54,26,-1,-1,7
33617376,50,46,-1,-1,6
33614531,2,10,-1,-1,6
33624961,25,42,-1,-1,5
33627453,19,25,-1,-1,3
33614122,54,48,-1,-1,7
33622770,54,9,-1,-1,4
33627449,17,5,-1,-1,4
33627565,46,6,-1,-1,4
33621760,9,19,-1,-1,2
33623592,24,2,-1,-1,4
33621796,44,16,-1,-1,3
33623301,52,39,-1,-1,4
33552169,58,1,-1,-1,4
33625041,30,14,-1,-1,2
33626611,19,6,-1,-1,1
33622603,28,2,-1,-1,6
33625595,43,19,-1,-1,3
33605444,7,37,-1,-1,3
33626146,1,41,-1,-1,1
33626284,2,41,-1,-1,1
33627470,22,22,-1,-1,4
33625227,31,56,-1,-1,0
33625065,1,22,-1,-1,4
33593859,7,11,-1,-1,0
33627739,38,15,-1,-1,0
33583705,9,4,-1,-1,5
33620982,44,25,-1,-1,6
33625665,34,35,-1,-1,5
33597368,53,51,-1,-1,2
33626374,16,14,-1,-1,7
33622746,6,33,-1,-1,7
33616569,58,43,-1,-1,6
33627378,30,31,-1,-1,6
33621054,51,12,-1,-1,4
33626191,37,16,-1,-1,6
33614362,47,50,-1,-1,7
33627173,1,26,-1,-1,1
33626962,20,15,-1,-1,7
33620795,28,8,-1,-1,3
33621026,37,6,-1,-1,6
33626487,38,32,-1,-1,7
33624919,43,13,-1,-1,0
33623574,31,57,-1,-1,3
33625263,34,0,-1,-1,4
33624369,11,20,-1,-1,7
33626155,32,29,-1,-1,2
33438874,58,50,-1,-1,0
33627521,31,41,-1,-1,2
33625714,40,42,-1,-1,2
33627025,27,38,-1,-1,1
33626870,12,11,-1,-1,5
33627422,37,35,-1,-1,2
33621446,40,53,-1,-1,1
33620573,48,50,-1,-1,7
33625254,30,11,-1,-1,3
33619586,50,37,-1,-1,6
33627010,42,46,-1,-1,7
33627212,42,35,-1,-1,6
33627543,40,47,-1,-1,2
33620193,45,54,-1,-1,2
33624763,42,3,-1,-1,0
33627623,34,28,-1,-1,4
33625988,27,20,-1,-1,1
33626555,34,25,-1,-1,3
33626641,39,4,-1,-1,4
33615625,12,4,-1,-1,6
33627133,51,3,-1,-1,7
33626589,34,53,-1,-1,7
33625134,39,6,-1,-1,3
33623828,24,22,-1,-1,4
33601816,28,51,-1,-1,0
33626638,55,6,-1,-1,2
33625385,53,18,-1,-1,6
33626364,33,31,-1,-1,1
33627059,23,16,-1,-1,5
33616125,8,48,-1,-1,4
33623992,57,54,-1,-1,0
33627181,10,31,-1,-1,5
33615462,49,4,-1,-1,1
33626544,32,35,-1,-1,3
33625897,25,39,-1,-1,0
33626253,37,5,-1,-1,2
33624746,23,31,-1,-1,5
33622038,8,30,-1,-1,1
33620977,1,44,-1,-1,7
33612219,15,5,-1,-1,5
33611485,15,51,-1,-1,5
33625086,29,14,-1,-1,5
33626534,35,51,-1,-1,1
33627310,42,50,-1,-1,5
33625753,48,46,-1,-1,1
33602763,18,54,-1,-1,3
33615949,37,49,-1,-1,3
33627528,52,47,-1,-1,4
33627332,22,34,-1,-1,4
33614421,40,12,-1,-1,1
33626992,53,42,-1,-1,7
33627315,47,30,-1,-1,6
33625938,50,38,-1,-1,4
33607325,50,55,-1,-1,4
33619382,0,27,-1,-1,1
33595168,3,12,-1,-1,4
33619763,5,23,-1,-1,0
33622712,1,14,-1,-1,5
33627367,23,14,-1,-1,5
33622461,3,30,-1,-1,5
33621089,4,5,-1,-1,2
33624844,58,36,-1,-1,5
33626620,44,55,-1,-1,0
33626669,32,26,-1,-1,3
33625488,25,56,-1,-1,2
33627148,19,42,-1,-1,0
33627509,5,52,-1,-1,3
33627410,51,28,-1,-1,4
33619312,49,36,-1,-1,5
33627537,41,40,-1,-1,0
33624883,20,25,-1,-1,5
33626743,9,35,-1,-1,0
33625734,5,42,-1,-1,1
33627774,13,19,-1,-1,5
33615824,12,57,-1,-1,1
33625464,31,25,-1,-1,6
33587988,52,48,-1,-1,4
33627555,14,13,-1,-1,1
33610361,53,7,-1,-1,0
33594453,10,57,-1,-1,5
33613480,33,0,-1,-1,6
33625936,47,18,-1,-1,2
33624591,52,37,-1,-1,5
33627355,34,34,-1,-1,6
33626014,43,33,-1,-1,3
33626297,10,5,-1,-1,5
33610902,1,19,-1,-1,0
33621398,56,30,-1,-1,6
33627768,23,44,-1,-1,6
33627697,28,18,-1,-1,3
33627267,14,5,-1,-1,3
33613062,50,35,-1,-1,7
33625292,28,15,-1,-1,3
33615917,48,44,-1,-1,2
33624650,56,36,-1,-1,3
33627582,19,43,-1,-1,2
33627238,18,37,-1,-1,6
33627488,6,29,-1,-1,3
33625986,9,18,-1,-1,2
33627741,42,52,-1,-1,0
33623907,22,51,-1,-1,7
33623346,7,48,-1,-1,1
33627756,47,24,-1,-1,6
33625922,9,16,-1,-1,1
33627005,46,17,-1,-1,6
33617925,8,32,-1,-1,7
33626787,2,35,-1,-1,3
33617177,41,4,-1,-1,6
33601801,57,12,-1,-1,4
33623916,49,46,-1,-1,4
33626706,52,43,-1,-1,5
33609384,43,50,-1,-1,3
33626157,40,56,-1,-1,6
33624362,7,29,-1,-1,0
33623880,51,19,-1,-1,4
33627214,47,17,-1,-1,7
33624059,18,23,-1,-1,4
33626919,16,28,-1,-1,3
33627127,17,19,-1,-1,3
33621286,0,20,-1,-1,2
33626856,23,21,-1,-1,7
33619319,10,2,-1,-1,7
33626905,4,24,-1,-1,4
33626556,45,5,-1,-1,0
33618021,39,10,-1,-1,1
33627430,44,42,-1,-1,2
33614995,29,46,-1,-1,1
33624969,14,23,-1,-1,0
33626874,51,26,-1,-1,5
33627233,22,43,-1,-1,7
33568284,58,0,-1,-1,5
33621632,3,14,-1,-1,4
33627124,25,51,-1,-1,5
33599982,5,57,-1,-1,5
33625513,39,21,-1,-1,1
33622646,8,45,-1,-1,4
33627304,28,45,-1,-1,4
33625735,34,10,-1,-1,1
33625955,35,21,-1,-1,3
33623527,35,6,-1,-1,2
33625421,43,31,-1,-1,7
33626121,21,11,-1,-1,4
33623866,20,40,-1,-1,7
33627519,37,10,-1,-1,4
33592065,3,2,-1,-1,2
33620746,7,30,-1,-1,7
33618398,58,53,-1,-1,0
33616395,8,58,-1,-1,2
33623973,4,34,-1,-1,1
33618359,57,38,-1,-1,2
33617185,47,57,-1,-1,3
33625822,13,43,-1,-1,7
33626109,29,22,-1,-1,0
33626822,31,31,-1,-1,2
33613319,55,38,-1,-1,6
33622849,51,39,-1,-1,5
33586818,0,0,-1,-1,4
33625193,34,11,-1,-1,7
33623661,39,24,-1,-1,0
33625528,6,22,-1,-1,3
33624928,14,44,-1,-1,5
33626468,40,29,-1,-1,0
33627624,10,9,-1,-1,2
33624413,6,52,-1,-1,7
33617778,20,50,-1,-1,5
33610758,40,50,-1,-1,1
33624367,4,48,-1,-1,5
33617804,4,52,-1,-1,3
33621042,48,53,-1,-1,6
33621036,14,0,-1,-1,6
33626498,24,26,-1,-1,4
33622034,37,56,-1,-1,7
33627706,29,28,-1,-1,4
33625501,25,19,-1,-1,4
33624653,39,17,-1,-1,3
33616029,36,56,-1,-1,1
33622856,48,15,-1,-1,6
33627468,52,52,-1,-1,2
33624455,24,32,-1,-1,0
33624530,44,37,-1,-1,7
33626734,19,47,-1,-1,1
33626690,32,16,-1,-1,7
33547417,48,54,-1,-1,6
33626258,5,8,-1,-1,4
33610623,1,9,-1,-1,1
33614062,14,7,-1,-1,6
33621191,1,57,-1,-1,6
33625067,28,53,-1,-1,6
33623387,56,16,-1,-1,3
33622479,22,53,-1,-1,6
33612072,32,57,-1,-1,1
33616606,16,38,-1,-1,3
33626342,28,48,-1,-1,7
33626925,28,23,-1,-1,4
33616868,32,6,-1,-1,5
33625883,35,44,-1,-1,7
33623966,35,4,-1,-1,3
33625718,46,24,-1,-1,7
33624390,43,56,-1,-1,2
33627560,42,28,-1,-1,2
33624997,11,17,-1,-1,3
33567577,58,58,-1,-1,6
33625623,23,4,-1,-1,5
33618482,25,2,-1,-1,3
33613888,0,55,-1,-1,0
33569662,13,1,-1,-1,7
33620226,2,25,-1,-1,4
33626531,16,39,-1,-1,7
33627147,45,14,-1,-1,6
33627420,50,21,-1,-1,7
33626150,50,19,-1,-1,2
33627346,34,26,-1,-1,4
33616478,15,3,-1,-1,7
33622398,55,39,-1,-1,7
33622457,15,43,-1,-1,6
33603767,0,12,-1,-1,2
33616626,37,48,-1,-1,6
33625655,14,28,-1,-1,6
33625631,57,20,-1,-1,5
33625682,49,8,-1,-1,4
33627218,57,33,-1,-1,3
33627432,3,20,-1,-1,3
33626727,19,31,-1,-1,4
33622795,46,41,-1,-1,5
33623388,5,24,-1,-1,4
33622187,4,19,-1,-1,5
33624368,56,33,-1,-1,0
33615485,52,9,-1,-1,4
33627219,27,34,-1,-1,6
33627348,33,18,-1,-1,3
33620356,14,47,-1,-1,5
33576802,48,57,-1,-1,0
33627700,48,28,-1,-1,2
33623946,11,12,-1,-1,5
33627224,29,27,-1,-1,1
33614800,8,14,-1,-1,3
33619002,48,10,-1,-1,7
33627222,27,25,-1,-1,3
33626798,35,43,-1,-1,1
33625834,18,58,-1,-1,6
33621931,42,51,-1,-1,7
33625408,14,34,-1,-1,0
33627594,24,27,-1,-1,4
33627484,54,25,-1,-1,2
33627716,14,20,-1,-1,2
33600097,0,40,-1,-1,0
33620065,13,54,-1,-1,7
33626236,47,11,-1,-1,0
33627396,15,6,-1,-1,3
33621491,8,38,-1,-1,5
33627640,25,48,-1,-1,3
33626371,10,25,-1,-1,2
33625395,0,21,-1,-1,0
33627138,36,13,-1,-1,2
33618539,45,23,-1,-1,3
33620310,2,27,-1,-1,5
33622352,13,6,-1,-1,3
33589562,44,58,-1,-1,7
33620083,56,11,-1,-1,0
33586284,45,58,-1,-1,0
33620576,51,29,-1,-1,7
33626039,5,32,-1,-1,5
33622450,7,32,-1,-1,3
33621805,55,12,-1,-1,6
33622324,49,28,-1,-1,7
33614713,15,45,-1,-1,2
33627744,48,8,-1,-1,4
33620213,20,7,-1,-1,2
33624324,48,38,-1,-1,5
33625933,21,8,-1,-1,3
33627489,16,17,-1,-1,6
33622439,18,20,-1,-1,3
33622222,25,8,-1,-1,7
33615467,9,22,-1,-1,7
33621155,49,42,-1,-1,4
33624442,49,35,-1,-1,3
33626744,24,43,-1,-1,2
33624013,37,25,-1,-1,7
33620045,55,37,-1,-1,2
33624605,50,40,-1,-1,4
33619637,35,19,-1,-1,6
33626488,9,27,-1,-1,0
33622406,0,18,-1,-1,0
33621893,51,50,-1,-1,7
33615909,58,25,-1,-1,7
33625992,1,25,-1,-1,1
33626558,36,37,-1,-1,2
33591317,4,57,-1,-1,2
33627733,45,55,-1,-1,3
33625944,50,7,-1,-1,4
33625556,32,5,-1,-1,5
33621633,1,21,-1,-1,5
33624139,36,52,-1,-1,2
33625021,28,16,-1,-1,4
33626246,48,30,-1,-1,7
33623819,33,32,-1,-1,3
33625680,31,29,-1,-1,4
33627081,27,7,-1,-1,2
33627713,24,33,-1,-1,6
33624005,46,2,-1,-1,3
33627334,4,54,-1,-1,1
33625422,49,16,-1,-1,7
33625322,25,40,-1,-1,0
33624296,43,38,-1,-1,5
33626402,18,22,-1,-1,4
33610385,52,17,-1,-1,4
33618790,54,39,-1,-1,2
33623709,26,51,-1,-1,6
