# Sun Mar  2 12:21:46 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.0614836 2 0 0.00718391 
2000 7 1.95501 7 0.229819 1.1264 
3000 16 2.34 16 1.04304 2.13366 
4000 14 0.805353 14 1.50198 2.87274 
5000 17 0.974846 17 1.51174 2.88911 
6000 38 2.92433 38 1.91763 3.87992 
7000 26 0.930741 26 2.26107 4.84085 
8000 34 1.21571 34 2.25187 4.8216 
9000 34 1.71722 34 2.25914 4.83913 
10000 32 1.77482 32 2.2561 4.83424 
11000 33 1.31723 33 2.25952 4.83999 
12000 19 0.595608 19 2.27715 4.88595 
13000 24 0.689093 24 2.26377 4.85316 
14000 20 0.675146 20 2.26334 4.85263 
15000 31 1.46417 31 2.18791 4.62338 
16000 33 1.50724 33 2.19138 4.63161 
17000 34 1.47253 34 2.18161 4.61247 
18000 29 1.39174 29 2.20218 4.65987 
19000 35 1.39384 35 2.20207 4.66274 
20000 27 1.43305 27 2.19709 4.64953 
21000 28 1.42033 28 2.19193 4.63717 
22000 31 1.4484 31 2.18753 4.62827 
23000 34 1.4346 34 2.19577 4.64234 
24000 27 1.4555 27 2.18902 4.62856 
25000 34 1.45362 34 2.19529 4.64091 
26000 35 1.51038 35 2.18233 4.61552 
27000 27 1.46218 27 2.17984 4.60414 
28000 31 1.49944 31 2.18037 4.60873 
29000 34 1.55479 34 2.18223 4.60805 
30000 36 1.39655 36 2.19114 4.63344 
31000 36 1.46099 36 2.19408 4.63754 
32000 35 1.45701 35 2.18944 4.62597 
33000 33 1.46353 33 2.18761 4.6208 
34000 40 1.76006 40 2.19325 4.63717 
35000 54 2.65459 54 2.57266 6.10575 
36000 48 1.26038 48 2.68105 6.58096 
37000 52 1.26557 52 2.68945 6.60586 
38000 46 1.28682 46 2.69274 6.60816 
39000 57 1.93054 57 2.73398 6.80736 
40000 66 1.84623 66 2.84274 7.37586 
41000 67 1.37686 67 2.88264 7.55105 
42000 61 1.20647 61 2.89937 7.60811 
43000 58 1.16271 58 2.90477 7.62176 
44000 60 1.33112 60 2.88219 7.55086 
45000 59 1.28893 59 2.89515 7.59466 
46000 62 1.18369 62 2.89888 7.61534 
47000 63 1.18338 63 2.89833 7.61218 
48000 60 1.19125 60 2.89841 7.61282 
49000 62 1.13394 62 2.9038 7.63035 
50000 71 1.39937 71 2.87365 7.51308 
51000 64 1.3672 64 2.87743 7.53262 
52000 64 1.25403 64 2.89986 7.61087 
53000 59 1.25717 59 2.89482 7.5931 
54000 53 1.09526 53 2.9079 7.64694 
55000 57 1.2049 57 2.89772 7.6042 
56000 64 1.2422 64 2.89905 7.60845 
57000 59 1.18113 59 2.89889 7.61145 
58000 60 1.14207 60 2.90383 7.63187 
59000 59 1.25731 59 2.89866 7.60155 
60000 58 1.18333 58 2.8989 7.60988 
61000 62 1.13618 62 2.90503 7.63563 
62000 58 1.20814 58 2.89584 7.60592 
63000 61 1.24515 61 2.89962 7.60466 
64000 63 1.21592 63 2.90516 7.6319 
65000 59 1.16957 59 2.90321 7.62299 
66000 64 1.22946 64 2.89098 7.58506 
67000 61 1.14908 61 2.90888 7.63994 
68000 62 1.21176 62 2.89667 7.60466 
69000 61 1.20913 61 2.89652 7.60736 
70000 66 1.27035 66 2.88993 7.58072 
71000 57 1.22104 57 2.89938 7.6103 
72000 66 1.24262 66 2.89363 7.59155 
73000 63 1.2534 63 2.89243 7.58379 
74000 60 1.24638 60 2.88943 7.57931 
75000 70 1.17817 70 2.90556 7.63237 
76000 61 1.17949 61 2.89975 7.61591 
77000 62 1.24213 62 2.88629 7.57254 
78000 62 1.16853 62 2.89289 7.60115 
79000 55 1.17326 55 2.89079 7.58712 
80000 66 1.29167 66 2.88093 7.54885 
81000 69 1.29055 69 2.8833 7.56408 
82000 61 1.31512 61 2.88343 7.56568 
83000 58 1.16292 58 2.8947 7.60075 
84000 60 1.23808 60 2.88747 7.5743 
85000 64 1.41818 64 2.87048 7.51767 
86000 59 1.31726 59 2.86644 7.50948 
87000 69 1.45403 69 2.86819 7.49626 
88000 66 1.4301 66 2.86513 7.4908 
89000 68 1.45015 68 2.85461 7.46421 
90000 64 1.50864 64 2.85603 7.45428 
91000 66 1.35781 66 2.87677 7.53103 
92000 62 1.30232 62 2.87121 7.52559 
93000 66 1.29473 66 2.87092 7.51824 
94000 57 1.32322 57 2.86956 7.51036 
95000 56 1.24397 56 2.8795 7.54438 
96000 62 1.56405 62 2.85093 7.43157 
97000 62 1.39774 62 2.8573 7.47228 
98000 64 1.41372 64 2.86373 7.48132 
99000 68 1.58649 68 2.83627 7.3931 
100000 63 1.27059 63 2.87315 7.53205 
