# Sun Oct 19 08:57:04 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 3 0.0415886 3 0 0.00430911 
8000 1 0 1 0 0 
9000 2 0.067525 2 0 0.00804367 
10000 2 0.0209119 2 0 0.00201092 
11000 2 0.0354964 2 0 0.00373456 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 2 0.0070156 2 0 0.000574713 
15000 2 0.0156349 2 0 0.00143637 
16000 1 0 1 0 0 
17000 1 0 1 0 0 
18000 1 0 1 0 0 
19000 1 0 1 0 0 
20000 1 0 1 0 0 
21000 3 0.0378095 3 0 0.00373456 
22000 1 0 1 0 0 
23000 1 0 1 0 0 
24000 2 0.0156349 2 0 0.00143637 
25000 2 0.0307983 2 0 0.00316001 
26000 1 0 1 0 0 
27000 1 0 1 0 0 
28000 3 0.0283224 3 0 0.00258546 
29000 2 0.0594176 2 0 0.00689457 
30000 2 0.00701383 2 0 0.000574548 
31000 1 0 1 0 0 
32000 1 0 1 0 0 
33000 2 0.00701383 2 0 0.000574548 
34000 1 0 1 0 0 
35000 2 0.0849356 2 0 0.0106291 
36000 1 0 1 0 0 
37000 1 0 1 0 0 
38000 2 0.00701383 2 0 0.000574548 
39000 1 0 1 0 0 
40000 2 0.0259482 2 0 0.00258546 
41000 1 0 1 0 0 
42000 1 0 1 0 0 
43000 2 0.0070156 2 0 0.000574713 
44000 1 0 1 0 0 
45000 1 0 1 0 0 
46000 3 0.0628202 3 0 0.0066073 
47000 2 0.0100164 2 0 0.000861821 
48000 1 0 1 0 0 
49000 1 0 1 0 0 
50000 1 0 1 0 0 
51000 2 0.010019 2 0 0.000862069 
52000 2 0.010019 2 0 0.000862069 
53000 3 0.147446 3 0 0.0206837 
54000 1 0 1 0 0 
55000 2 0.040066 2 0 0.00430911 
56000 1 0 1 0 0 
57000 2 0.00379425 2 0 0.000287274 
58000 1 0 1 0 0 
59000 2 0.0868293 2 0 0.0109195 
60000 2 0.0714868 2 0 0.00861821 
61000 1 0 1 0 0 
62000 1 0 1 0 0 
63000 2 0.0552622 2 0 0.00632002 
64000 2 0.0156349 2 0 0.00143637 
65000 2 0.0423081 2 0 0.00459638 
66000 1 0 1 0 0 
67000 1 0 1 0 0 
68000 1 0 1 0 0 
69000 1 0 1 0 0 
70000 1 0 1 0 0 
71000 1 0 1 0 0 
72000 1 0 1 0 0 
73000 1 0 1 0 0 
74000 1 0 1 0 0 
75000 1 0 1 0 0 
76000 3 0.136324 3 0 0.0163746 
77000 1 0 1 0 0 
78000 1 0 1 0 0 
79000 2 0.00701383 2 0 0.000574548 
80000 1 0 1 0 0 
81000 1 0 1 0 0 
82000 1 0 1 0 0 
83000 1 0 1 0 0 
84000 1 0 1 0 0 
85000 2 0.00379425 2 0 0.000287274 
86000 2 0.0307983 2 0 0.00316001 
87000 1 0 1 0 0 
88000 2 0.0156349 2 0 0.00143637 
89000 1 0 1 0 0 
90000 1 0 1 0 0 
91000 2 0.0594176 2 0 0.00689457 
92000 2 0.051043 2 0 0.00574713 
93000 1 0 1 0 0 
94000 1 0 1 0 0 
95000 1 0 1 0 0 
96000 1 0 1 0 0 
97000 1 0 1 0 0 
98000 1 0 1 0 0 
99000 1 0 1 0 0 
100000 1 0 1 0 0 
