# Sun Oct 19 04:27:53 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 2 0.065522 2 0 0.00775639 
7000 2 0.0156349 2 0 0.00143637 
8000 3 0.0632394 3 0 0.00718597 
9000 3 0.115429 3 0 0.0135057 
10000 3 0.154103 3 0 0.0189655 
11000 4 0.2246 4 0 0.0341856 
12000 5 0.484948 5 0 0.0752657 
13000 6 0.355963 6 0 0.0528584 
14000 3 0.371663 3 0 0.0568802 
15000 5 0.383752 5 0.00287274 0.057742 
16000 5 0.365659 5 0.00229819 0.0551566 
17000 3 0.186792 3 0 0.0252801 
18000 2 0.104977 2 0 0.0137891 
19000 2 0.0259482 2 0 0.00258546 
20000 1 0 1 0 0 
21000 1 0 1 0 0 
22000 1 0 1 0 0 
23000 1 0 1 0 0 
24000 3 0.0558935 3 0 0.00603275 
25000 2 0.0183081 2 0 0.00172364 
26000 2 0.0183081 2 0 0.00172364 
27000 1 0 1 0 0 
28000 2 0.048896 2 0 0.00545977 
29000 1 0 1 0 0 
30000 1 0 1 0 0 
31000 4 0.0176041 4 0 0.00143637 
32000 2 0.0594176 2 0 0.00689457 
33000 1 0 1 0 0 
34000 1 0 1 0 0 
35000 1 0 1 0 0 
36000 3 0.0311834 3 0 0.00287274 
37000 1 0 1 0 0 
38000 1 0 1 0 0 
39000 3 0.0166719 3 0.000287274 0.00172364 
40000 1 0 1 0 0 
41000 1 0 1 0 0 
42000 2 0.0423081 2 0 0.00459638 
43000 2 0.0331647 2 0 0.00344729 
44000 3 0.0329599 3 0 0.00316001 
45000 1 0 1 0 0 
46000 3 0.113745 3 0 0.014651 
47000 2 0.00701383 2 0 0.000574548 
48000 1 0 1 0 0 
49000 3 0.0321871 3 0 0.00316001 
50000 3 0.0765924 3 0 0.00833094 
51000 2 0.0423081 2 0 0.00459638 
52000 3 0.10065 3 0 0.011491 
53000 1 0 1 0 0 
54000 2 0.083051 2 0 0.0103419 
55000 2 0.0234561 2 0 0.00229819 
56000 2 0.0635035 2 0 0.00746912 
57000 2 0.00379425 2 0 0.000287274 
58000 4 0.0178209 4 0 0.00143637 
59000 2 0.0423081 2 0 0.00459638 
60000 1 0 1 0 0 
61000 2 0.0354964 2 0 0.00373456 
62000 3 0.0140272 3 0 0.0011491 
63000 3 0.0986735 3 0 0.0120655 
64000 1 0 1 0 0 
65000 1 0 1 0 0 
66000 1 0 1 0 0 
67000 1 0 1 0 0 
68000 2 0.0259482 2 0 0.00258546 
69000 1 0 1 0 0 
70000 2 0.0377961 2 0 0.00402183 
71000 2 0.0283941 2 0 0.00287274 
72000 1 0 1 0 0 
73000 2 0.00379425 2 0 0.000287274 
74000 1 0 1 0 0 
75000 2 0.12395 2 0 0.0169492 
76000 1 0 1 0 0 
77000 1 0 1 0 0 
78000 2 0.0128781 2 0 0.0011491 
79000 2 0.0209119 2 0 0.00201092 
80000 2 0.00701383 2 0 0.000574548 
81000 1 0 1 0 0 
82000 1 0 1 0 0 
83000 1 0 1 0 0 
84000 1 0 1 0 0 
85000 1 0 1 0 0 
86000 1 0 1 0 0 
87000 1 0 1 0 0 
88000 1 0 1 0 0 
89000 2 0.0128781 2 0 0.0011491 
90000 1 0 1 0 0 
91000 1 0 1 0 0 
92000 1 0 1 0 0 
93000 1 0 1 0 0 
94000 1 0 1 0 0 
95000 3 0.0363303 3 0 0.00344729 
96000 1 0 1 0 0 
97000 1 0 1 0 0 
98000 1 0 1 0 0 
99000 1 0 1 0 0 
100000 1 0 1 0 0 
