# Mon Oct 20 02:02:59 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0209119 2 0 0.00201092 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.00379425 2 0 0.000287274 
6000 2 0.0100164 2 0 0.000861821 
7000 2 0.040066 2 0 0.00430911 
8000 2 0.0811739 2 0 0.0100575 
9000 3 0.111446 3 0 0.0140805 
10000 2 0.0234561 2 0 0.00229819 
11000 2 0.0100164 2 0 0.000861821 
12000 2 0.0100164 2 0 0.000861821 
13000 2 0.0331647 2 0 0.00344729 
14000 2 0.132277 2 0 0.0183855 
15000 1 0 1 0 0 
16000 2 0.0331647 2 0 0.00344729 
17000 1 0 1 0 0 
18000 1 0 1 0 0 
19000 1 0 1 0 0 
20000 2 0.0655376 2 0 0.00775862 
21000 2 0.0234561 2 0 0.00229819 
22000 1 0 1 0 0 
23000 1 0 1 0 0 
24000 2 0.0183081 2 0 0.00172364 
25000 2 0.0070156 2 0 0.000574713 
26000 1 0 1 0 0 
27000 1 0 1 0 0 
28000 1 0 1 0 0 
29000 1 0 1 0 0 
30000 2 0.143661 2 0 0.0203964 
31000 2 0.0283941 2 0 0.00287274 
32000 1 0 1 0 0 
33000 1 0 1 0 0 
34000 1 0 1 0 0 
35000 1 0 1 0 0 
36000 1 0 1 0 0 
37000 1 0 1 0 0 
38000 1 0 1 0 0 
39000 1 0 1 0 0 
40000 1 0 1 0 0 
41000 1 0 1 0 0 
42000 1 0 1 0 0 
43000 2 0.0510307 2 0 0.00574548 
44000 1 0 1 0 0 
45000 1 0 1 0 0 
46000 2 0.00379425 2 0 0.000287274 
47000 1 0 1 0 0 
48000 2 0.0283941 2 0 0.00287274 
49000 1 0 1 0 0 
50000 1 0 1 0 0 
51000 1 0 1 0 0 
52000 2 0.0695131 2 0 0.00833094 
53000 1 0 1 0 0 
54000 1 0 1 0 0 
55000 1 0 1 0 0 
56000 1 0 1 0 0 
57000 1 0 1 0 0 
58000 1 0 1 0 0 
59000 1 0 1 0 0 
60000 2 0.221846 2 0 0.0356219 
61000 2 0.159422 2 0 0.0232692 
62000 2 0.0614689 2 0 0.00718184 
63000 1 0 1 0 0 
64000 2 0.151611 2 0 0.0218328 
65000 1 0 1 0 0 
66000 1 0 1 0 0 
67000 1 0 1 0 0 
68000 1 0 1 0 0 
69000 1 0 1 0 0 
70000 1 0 1 0 0 
71000 1 0 1 0 0 
72000 1 0 1 0 0 
73000 2 0.0183081 2 0 0.00172364 
74000 1 0 1 0 0 
75000 1 0 1 0 0 
76000 1 0 1 0 0 
77000 2 0.0128781 2 0 0.0011491 
78000 1 0 1 0 0 
79000 1 0 1 0 0 
80000 1 0 1 0 0 
81000 1 0 1 0 0 
82000 1 0 1 0 0 
83000 1 0 1 0 0 
84000 1 0 1 0 0 
85000 1 0 1 0 0 
86000 1 0 1 0 0 
87000 1 0 1 0 0 
88000 1 0 1 0 0 
89000 1 0 1 0 0 
90000 1 0 1 0 0 
91000 1 0 1 0 0 
92000 1 0 1 0 0 
93000 1 0 1 0 0 
94000 1 0 1 0 0 
95000 1 0 1 0 0 
96000 1 0 1 0 0 
97000 1 0 1 0 0 
98000 1 0 1 0 0 
99000 1 0 1 0 0 
100000 1 0 1 0 0 
