# Sat Jul 12 02:31:08 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.0128813 2 0 0.00114943 
4000 3 0.0226475 3 0 0.00201092 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 2 0.00701383 2 0 0.000574548 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 2 0.0156349 2 0 0.00143637 
11000 4 0.046311 4 0.000287356 0.00488506 
12000 3 0.0138103 3 0 0.0011491 
13000 3 0.030468 3 0 0.00287274 
14000 3 0.0228931 3 0 0.00201092 
15000 1 0 1 0 0 
16000 2 0.170139 2 0 0.0252801 
17000 2 0.0510307 2 0 0.00574548 
18000 1 0 1 0 0 
19000 2 0.0377961 2 0 0.00402183 
20000 1 0 1 0 0 
21000 1 0 1 0 0 
22000 1 0 1 0 0 
23000 1 0 1 0 0 
24000 2 0.0960152 2 0 0.0123528 
25000 3 0.027924 3 0 0.00258546 
26000 2 0.0868089 2 0 0.0109164 
27000 1 0 1 0 0 
28000 1 0 1 0 0 
29000 1 0 1 0 0 
30000 1 0 1 0 0 
31000 1 0 1 0 0 
32000 1 0 1 0 0 
33000 1 0 1 0 0 
34000 3 0.0108078 3 0 0.000861821 
35000 2 0.067525 2 0 0.00804367 
36000 2 0.221846 2 0 0.0356219 
37000 3 0.0851307 3 0 0.00976731 
38000 3 0.0949142 3 0 0.0109164 
39000 1 0 1 0 0 
40000 1 0 1 0 0 
41000 4 0.0517699 4 0 0.00488365 
42000 1 0 1 0 0 
43000 2 0.0423081 2 0 0.00459638 
44000 2 0.00379425 2 0 0.000287274 
45000 2 0.0156349 2 0 0.00143637 
46000 2 0.0128781 2 0 0.0011491 
47000 1 0 1 0 0 
48000 2 0.0283941 2 0 0.00287274 
49000 2 0.0259546 2 0 0.00258621 
50000 1 0 1 0 0 
51000 1 0 1 0 0 
52000 2 0.0100164 2 0 0.000861821 
53000 1 0 1 0 0 
54000 1 0 1 0 0 
55000 1 0 1 0 0 
56000 1 0 1 0 0 
57000 1 0 1 0 0 
58000 1 0 1 0 0 
59000 2 0.0128781 2 0 0.0011491 
60000 1 0 1 0 0 
61000 2 0.00701383 2 0 0.000574548 
62000 1 0 1 0 0 
63000 2 0.0307983 2 0 0.00316001 
64000 2 0.067525 2 0 0.00804367 
65000 3 0.0194285 3 0 0.00172364 
66000 2 0.00379425 2 0 0.000287274 
67000 2 0.010019 2 0 0.000862069 
68000 1 0 1 0 0 
69000 2 0.0100164 2 0 0.000861821 
70000 2 0.0734466 2 0 0.00890549 
71000 1 0 1 0 0 
72000 2 0.0128781 2 0 0.0011491 
73000 2 0.0331647 2 0 0.00344729 
74000 2 0.111988 2 0 0.0149382 
75000 2 0.115444 2 0 0.0155128 
76000 1 0 1 0 0 
77000 1 0 1 0 0 
78000 1 0 1 0 0 
79000 2 0.0811548 2 0 0.0100546 
80000 3 0.116891 3 0 0.0143637 
81000 2 0.0100164 2 0 0.000861821 
82000 1 0 1 0 0 
83000 1 0 1 0 0 
84000 1 0 1 0 0 
85000 1 0 1 0 0 
86000 1 0 1 0 0 
87000 2 0.0156349 2 0 0.00143637 
88000 1 0 1 0 0 
89000 1 0 1 0 0 
90000 1 0 1 0 0 
91000 1 0 1 0 0 
92000 1 0 1 0 0 
93000 1 0 1 0 0 
94000 1 0 1 0 0 
95000 3 0.0226475 3 0 0.00201092 
96000 3 0.051701 3 0 0.00517093 
97000 2 0.0377961 2 0 0.00402183 
98000 2 0.0734466 2 0 0.00890549 
99000 2 0.0128781 2 0 0.0011491 
100000 2 0.0753929 2 0 0.00919276 
