# Fri Oct 24 23:54:47 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.0070156 2 0 0.000574713 
2000 2 0.0070156 2 0 0.000574713 
3000 1 0 1 0 0 
4000 2 0.0283941 2 0 0.00287274 
5000 2 0.0128781 2 0 0.0011491 
6000 2 0.00701383 2 0 0.000574548 
7000 1 0 1 0 0 
8000 3 0.0493181 3 0 0.00517093 
9000 3 0.0505079 3 0 0.0054582 
10000 3 0.051534 3 0 0.0054582 
11000 1 0 1 0 0 
12000 2 0.00379425 2 0 0.000287274 
13000 2 0.0259482 2 0 0.00258546 
14000 1 0 1 0 0 
15000 1 0 1 0 0 
16000 1 0 1 0 0 
17000 1 0 1 0 0 
18000 2 0.0183081 2 0 0.00172364 
19000 2 0.0128813 2 0 0.00114943 
20000 2 0.0100164 2 0 0.000861821 
21000 3 0.0815253 3 0 0.00890549 
22000 2 0.0209119 2 0 0.00201092 
23000 2 0.00379425 2 0 0.000287274 
24000 2 0.0156349 2 0 0.00143637 
25000 1 0 1 0 0 
26000 1 0 1 0 0 
27000 1 0 1 0 0 
28000 2 0.0552622 2 0 0.00632002 
29000 1 0 1 0 0 
30000 1 0 1 0 0 
31000 1 0 1 0 0 
32000 1 0 1 0 0 
33000 2 0.0100164 2 0 0.000861821 
34000 1 0 1 0 0 
35000 1 0 1 0 0 
36000 3 0.148694 3 0 0.0180982 
37000 2 0.0978263 2 0 0.01264 
38000 2 0.00701383 2 0 0.000574548 
39000 2 0.0354964 2 0 0.00373456 
40000 1 0 1 0 0 
41000 2 0.010019 2 0 0.000862069 
42000 2 0.0307983 2 0 0.00316001 
43000 2 0.10142 2 0 0.0132146 
44000 2 0.0445242 2 0 0.00488365 
45000 2 0.0849356 2 0 0.0106291 
46000 2 0.0234561 2 0 0.00229819 
47000 1 0 1 0 0 
48000 1 0 1 0 0 
49000 2 0.00701383 2 0 0.000574548 
50000 1 0 1 0 0 
51000 1 0 1 0 0 
52000 1 0 1 0 0 
53000 1 0 1 0 0 
54000 1 0 1 0 0 
55000 1 0 1 0 0 
56000 1 0 1 0 0 
57000 1 0 1 0 0 
58000 3 0.167925 3 0 0.0226946 
59000 2 0.0331647 2 0 0.00344729 
60000 1 0 1 0 0 
61000 1 0 1 0 0 
62000 1 0 1 0 0 
63000 1 0 1 0 0 
64000 2 0.0307983 2 0 0.00316001 
65000 1 0 1 0 0 
66000 2 0.00701738 2 0 0.000574878 
67000 2 0.00701383 2 0 0.000574548 
68000 2 0.0259546 2 0 0.00258621 
69000 2 0.00379425 2 0 0.000287274 
70000 1 0 1 0 0 
71000 1 0 1 0 0 
72000 2 0.0100164 2 0 0.000861821 
73000 2 0.0377961 2 0 0.00402183 
74000 1 0 1 0 0 
75000 1 0 1 0 0 
76000 1 0 1 0 0 
77000 1 0 1 0 0 
78000 1 0 1 0 0 
79000 1 0 1 0 0 
80000 1 0 1 0 0 
81000 1 0 1 0 0 
82000 1 0 1 0 0 
83000 1 0 1 0 0 
84000 1 0 1 0 0 
85000 1 0 1 0 0 
86000 1 0 1 0 0 
87000 1 0 1 0 0 
88000 2 0.0531564 2 0 0.00603275 
89000 1 0 1 0 0 
90000 1 0 1 0 0 
91000 1 0 1 0 0 
92000 1 0 1 0 0 
93000 1 0 1 0 0 
94000 1 0 1 0 0 
95000 1 0 1 0 0 
96000 1 0 1 0 0 
97000 1 0 1 0 0 
98000 1 0 1 0 0 
99000 1 0 1 0 0 
100000 1 0 1 0 0 
