# Sat Oct 25 00:03:59 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.0209222 2 0 0.00201207 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.040066 2 0 0.00430911 
6000 2 0.00379522 2 0 0.000287356 
7000 2 0.0283941 2 0 0.00287274 
8000 4 0.0841203 4 0 0.0091954 
9000 2 0.0423081 2 0 0.00459638 
10000 2 0.0308059 2 0 0.00316092 
11000 2 0.00379425 2 0 0.000287274 
12000 1 0 1 0 0 
13000 3 0.0924607 3 0 0.011491 
14000 2 0.104977 2 0 0.0137891 
15000 2 0.0531564 2 0 0.00603275 
16000 3 0.0194285 3 0 0.00172364 
17000 4 0.0671735 4 0.000574548 0.00775639 
18000 3 0.0638993 3 0 0.00689457 
19000 4 0.136853 4 0 0.0155128 
20000 2 0.167102 2 0 0.0247055 
21000 3 0.194959 3 0 0.0293019 
22000 4 0.230125 4 0 0.030451 
23000 2 0.0354964 2 0 0.00373456 
24000 1 0 1 0 0 
25000 1 0 1 0 0 
26000 1 0 1 0 0 
27000 1 0 1 0 0 
28000 2 0.00379425 2 0 0.000287274 
29000 1 0 1 0 0 
30000 2 0.00379522 2 0 0.000287356 
31000 1 0 1 0 0 
32000 1 0 1 0 0 
33000 2 0.0695131 2 0 0.00833094 
34000 2 0.0811548 2 0 0.0100546 
35000 1 0 1 0 0 
36000 2 0.0183081 2 0 0.00172364 
37000 2 0.00379425 2 0 0.000287274 
38000 1 0 1 0 0 
39000 1 0 1 0 0 
40000 2 0.00379425 2 0 0.000287274 
41000 2 0.00379425 2 0 0.000287274 
42000 1 0 1 0 0 
43000 1 0 1 0 0 
44000 2 0.0183127 2 0 0.00172414 
45000 1 0 1 0 0 
46000 1 0 1 0 0 
47000 2 0.0811548 2 0 0.0100546 
48000 3 0.0672946 3 0 0.00775639 
49000 1 0 1 0 0 
50000 1 0 1 0 0 
51000 2 0.146858 2 0 0.020971 
52000 1 0 1 0 0 
53000 1 0 1 0 0 
54000 1 0 1 0 0 
55000 2 0.0531564 2 0 0.00603275 
56000 1 0 1 0 0 
57000 2 0.0695131 2 0 0.00833094 
58000 1 0 1 0 0 
59000 2 0.0183081 2 0 0.00172364 
60000 2 0.0183081 2 0 0.00172364 
61000 1 0 1 0 0 
62000 3 0.0359614 3 0 0.00344729 
63000 1 0 1 0 0 
64000 3 0.0569481 3 0 0.00632002 
65000 2 0.0308059 2 0 0.00316092 
66000 1 0 1 0 0 
67000 1 0 1 0 0 
68000 3 0.0993677 3 0 0.0123528 
69000 1 0 1 0 0 
70000 3 0.0460371 3 0 0.00459638 
71000 4 0.272493 4 0.000574548 0.0390692 
72000 2 0.137193 2 0 0.0192473 
73000 3 0.236756 3 0 0.0321747 
74000 3 0.0778369 3 0 0.00833094 
75000 3 0.0892508 3 0 0.0106291 
76000 2 0.180619 2 0 0.027291 
77000 3 0.091156 3 0 0.0100546 
78000 2 0.0635035 2 0 0.00746912 
79000 2 0.0156349 2 0 0.00143637 
80000 2 0.0510307 2 0 0.00574548 
81000 2 0.0234561 2 0 0.00229819 
82000 2 0.0128781 2 0 0.0011491 
83000 2 0.00379425 2 0 0.000287274 
84000 2 0.122263 2 0 0.0166619 
85000 2 0.00379425 2 0 0.000287274 
86000 2 0.00701383 2 0 0.000574548 
87000 3 0.059068 3 0 0.0066092 
88000 5 0.141428 5 0 0.0155172 
89000 4 0.18791 4 0 0.0238437 
90000 3 0.104196 3 0 0.0129273 
91000 3 0.0631653 3 0 0.00689457 
92000 4 0.11519 4 0.000287274 0.0140764 
93000 2 0.0423081 2 0 0.00459638 
94000 2 0.0259482 2 0 0.00258546 
95000 2 0.0283941 2 0 0.00287274 
96000 3 0.175086 3 0 0.0221201 
97000 1 0 1 0 0 
98000 2 0.00701383 2 0 0.000574548 
99000 2 0.0308059 2 0 0.00316092 
100000 3 0.0732092 3 0 0.00775639 
