# Sat Oct 18 07:58:59 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.010019 2 0 0.000862069 
5000 1 0 1 0 0 
6000 2 0.0307983 2 0 0.00316001 
7000 3 0.0138103 3 0 0.0011491 
8000 2 0.0714868 2 0 0.00861821 
9000 2 0.0614689 2 0 0.00718184 
10000 2 0.00701383 2 0 0.000574548 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 2 0.0128813 2 0 0.00114943 
15000 2 0.0283941 2 0 0.00287274 
16000 1 0 1 0 0 
17000 2 0.0128781 2 0 0.0011491 
18000 2 0.0100164 2 0 0.000861821 
19000 2 0.0128781 2 0 0.0011491 
20000 1 0 1 0 0 
21000 2 0.0156349 2 0 0.00143637 
22000 1 0 1 0 0 
23000 1 0 1 0 0 
24000 2 0.0377961 2 0 0.00402183 
25000 1 0 1 0 0 
26000 2 0.0100164 2 0 0.000861821 
27000 2 0.0868089 2 0 0.0109164 
28000 1 0 1 0 0 
29000 1 0 1 0 0 
30000 1 0 1 0 0 
31000 2 0.0100164 2 0 0.000861821 
32000 2 0.00701383 2 0 0.000574548 
33000 2 0.0234561 2 0 0.00229819 
34000 1 0 1 0 0 
35000 1 0 1 0 0 
36000 2 0.0510307 2 0 0.00574548 
37000 2 0.0552622 2 0 0.00632002 
38000 2 0.0886711 2 0 0.0112037 
39000 1 0 1 0 0 
40000 1 0 1 0 0 
41000 1 0 1 0 0 
42000 1 0 1 0 0 
43000 2 0.13882 2 0 0.0195346 
44000 2 0.00701383 2 0 0.000574548 
45000 2 0.0128781 2 0 0.0011491 
46000 1 0 1 0 0 
47000 1 0 1 0 0 
48000 1 0 1 0 0 
49000 1 0 1 0 0 
50000 2 0.00379425 2 0 0.000287274 
51000 1 0 1 0 0 
52000 1 0 1 0 0 
53000 1 0 1 0 0 
54000 1 0 1 0 0 
55000 2 0.00701383 2 0 0.000574548 
56000 1 0 1 0 0 
57000 1 0 1 0 0 
58000 2 0.00701383 2 0 0.000574548 
59000 2 0.0792466 2 0 0.00976731 
60000 1 0 1 0 0 
61000 1 0 1 0 0 
62000 2 0.151611 2 0 0.0218328 
63000 2 0.0695131 2 0 0.00833094 
64000 1 0 1 0 0 
65000 1 0 1 0 0 
66000 1 0 1 0 0 
67000 1 0 1 0 0 
68000 1 0 1 0 0 
69000 2 0.0283941 2 0 0.00287274 
70000 1 0 1 0 0 
71000 1 0 1 0 0 
72000 1 0 1 0 0 
73000 1 0 1 0 0 
74000 1 0 1 0 0 
75000 1 0 1 0 0 
76000 2 0.00701383 2 0 0.000574548 
77000 2 0.0100164 2 0 0.000861821 
78000 1 0 1 0 0 
79000 1 0 1 0 0 
80000 1 0 1 0 0 
81000 1 0 1 0 0 
82000 1 0 1 0 0 
83000 1 0 1 0 0 
84000 2 0.010019 2 0 0.000862069 
85000 2 0.0128781 2 0 0.0011491 
86000 1 0 1 0 0 
87000 1 0 1 0 0 
88000 1 0 1 0 0 
89000 1 0 1 0 0 
90000 1 0 1 0 0 
91000 1 0 1 0 0 
92000 1 0 1 0 0 
93000 1 0 1 0 0 
94000 1 0 1 0 0 
95000 1 0 1 0 0 
96000 1 0 1 0 0 
97000 1 0 1 0 0 
98000 1 0 1 0 0 
99000 1 0 1 0 0 
100000 1 0 1 0 0 
