# org_id,org_cellx,org_celly,org_forage_target,org_group_id,org_facing
24384449,2,32,-1,-1,5
24383573,43,12,-1,-1,5
24388363,35,57,-1,-1,0
24386267,29,57,-1,-1,7
24387099,56,54,-1,-1,2
24389075,51,54,-1,-1,6
24380698,2,14,-1,-1,0
24388819,23,10,-1,-1,6
24387622,40,22,-1,-1,1
24381866,3,8,-1,-1,6
24385693,32,38,-1,-1,0
24389014,6,16,-1,-1,3
24387022,6,18,-1,-1,5
24388657,27,0,-1,-1,1
24386304,49,9,-1,-1,2
24389209,29,41,-1,-1,2
24383078,52,54,-1,-1,5
24387573,56,31,-1,-1,5
24381526,41,19,-1,-1,5
24386986,9,37,-1,-1,0
24377497,29,7,-1,-1,5
24389006,28,41,-1,-1,3
24388687,35,56,-1,-1,0
24387825,16,7,-1,-1,3
24384750,2,45,-1,-1,7
24386384,5,35,-1,-1,0
24385384,47,2,-1,-1,4
24384248,29,4,-1,-1,0
24386721,45,12,-1,-1,7
24388136,37,58,-1,-1,2
24388551,22,36,-1,-1,5
24384864,51,31,-1,-1,6
24388977,42,34,-1,-1,7
24384463,32,27,-1,-1,5
24388185,57,20,-1,-1,0
24387032,39,38,-1,-1,3
24389063,28,36,-1,-1,4
24387068,41,26,-1,-1,7
24388110,32,52,-1,-1,0
24388723,18,28,-1,-1,0
24388498,31,45,-1,-1,5
24387209,31,20,-1,-1,4
24388748,12,15,-1,-1,3
24387560,0,51,-1,-1,6
24385636,22,35,-1,-1,7
24383366,50,49,-1,-1,7
24389175,6,48,-1,-1,5
24385464,47,25,-1,-1,5
24386015,13,4,-1,-1,6
24378429,35,45,-1,-1,2
24389126,24,38,-1,-1,7
24386225,44,8,-1,-1,3
24383364,35,58,-1,-1,0
24389235,7,37,-1,-1,0
24388702,51,52,-1,-1,4
24388573,45,45,-1,-1,2
24387783,34,2,-1,-1,6
24381353,38,0,-1,-1,1
24387080,29,46,-1,-1,6
24386097,53,20,-1,-1,7
24386672,50,54,-1,-1,1
24388416,49,38,-1,-1,6
24385788,15,45,-1,-1,6
24389092,48,58,-1,-1,4
24389387,21,37,-1,-1,6
24387072,45,2,-1,-1,1
24374712,57,5,-1,-1,3
24387486,47,22,-1,-1,7
24379241,34,48,-1,-1,6
24386594,1,25,-1,-1,0
24388889,10,20,-1,-1,2
24385026,52,31,-1,-1,2
24389060,39,39,-1,-1,0
24385124,55,41,-1,-1,3
24386656,13,36,-1,-1,5
24387791,56,30,-1,-1,6
24386145,47,32,-1,-1,6
24386973,38,47,-1,-1,2
24387008,54,34,-1,-1,2
24387671,46,38,-1,-1,2
24388145,8,48,-1,-1,1
24385516,20,23,-1,-1,4
24385875,41,23,-1,-1,7
24385233,48,14,-1,-1,1
24389124,52,27,-1,-1,5
24388547,51,10,-1,-1,2
24388400,4,48,-1,-1,6
24383226,23,20,-1,-1,7
24388388,55,58,-1,-1,2
24387768,38,5,-1,-1,1
24385786,37,37,-1,-1,0
24388160,32,20,-1,-1,1
24388800,16,3,-1,-1,6
24386878,30,50,-1,-1,4
24386951,44,21,-1,-1,1
24380767,50,42,-1,-1,2
24383981,12,0,-1,-1,5
24385242,36,46,-1,-1,2
24384151,17,49,-1,-1,6
24380290,20,29,-1,-1,5
24388590,10,4,-1,-1,5
24388552,24,19,-1,-1,7
24389225,8,37,-1,-1,1
24387753,8,14,-1,-1,4
24385161,22,51,-1,-1,0
