# org_id,org_cellx,org_celly,org_forage_target,org_group_id,org_facing
62649381,40,28,-1,-1,5
62649590,45,5,-1,-1,0
62646804,36,46,-1,-1,1
62649425,12,53,-1,-1,4
62644243,10,3,-1,-1,2
62647713,52,46,-1,-1,5
62647047,9,16,-1,-1,1
62649432,36,8,-1,-1,7
62650055,30,21,-1,-1,5
62645082,36,38,-1,-1,5
62649932,43,21,-1,-1,0
62651066,58,23,-1,-1,0
62648703,4,55,-1,-1,7
62651147,51,44,-1,-1,2
62643364,27,19,-1,-1,0
62647286,36,54,-1,-1,3
62650983,49,49,-1,-1,6
62650540,49,58,-1,-1,0
62650157,35,56,-1,-1,2
62650573,45,36,-1,-1,2
62648177,39,2,-1,-1,4
62648979,7,9,-1,-1,7
62649045,14,58,-1,-1,6
62647512,21,25,-1,-1,0
62644695,38,2,-1,-1,1
62646133,41,2,-1,-1,6
62646484,28,52,-1,-1,2
62647311,4,58,-1,-1,6
62649081,35,31,-1,-1,0
62642938,24,4,-1,-1,5
62650013,53,43,-1,-1,0
62645534,43,34,-1,-1,3
62643764,30,30,-1,-1,0
62648616,18,45,-1,-1,5
62650168,14,8,-1,-1,3
62650644,54,25,-1,-1,7
62642616,25,23,-1,-1,4
62649099,17,33,-1,-1,1
62646827,55,38,-1,-1,4
62631227,8,20,-1,-1,1
62643852,38,47,-1,-1,5
62650389,29,48,-1,-1,7
62650205,54,24,-1,-1,5
62650952,29,37,-1,-1,7
62632925,23,2,-1,-1,5
62648156,34,23,-1,-1,7
62648966,46,20,-1,-1,5
62647824,7,7,-1,-1,3
62647403,37,28,-1,-1,3
62645924,18,39,-1,-1,0
62642286,38,13,-1,-1,5
62647735,18,44,-1,-1,1
62650442,11,46,-1,-1,1
62648511,29,14,-1,-1,0
62651044,17,54,-1,-1,2
62648863,18,6,-1,-1,4
62650721,16,40,-1,-1,7
62648985,58,56,-1,-1,4
62650569,58,44,-1,-1,5
62643027,7,45,-1,-1,7
62651242,43,41,-1,-1,3
62648408,19,56,-1,-1,6
62650064,28,24,-1,-1,2
62647108,26,56,-1,-1,6
62648940,14,11,-1,-1,1
62641632,11,18,-1,-1,5
62637875,15,46,-1,-1,3
62649748,39,56,-1,-1,1
62649905,14,30,-1,-1,6
62645967,39,41,-1,-1,5
62648290,12,13,-1,-1,1
62643946,17,17,-1,-1,6
62644093,19,41,-1,-1,7
62638672,10,23,-1,-1,5
62649220,53,35,-1,-1,4
62642982,14,42,-1,-1,3
62646688,46,0,-1,-1,2
62647753,53,5,-1,-1,5
62650054,27,58,-1,-1,7
62647888,56,35,-1,-1,4
62651053,58,11,-1,-1,4
62646602,9,28,-1,-1,1
62650115,17,26,-1,-1,7
62649642,56,8,-1,-1,4
62650195,1,44,-1,-1,1
62645885,26,19,-1,-1,6
62649764,48,29,-1,-1,3
62649375,28,34,-1,-1,0
62638905,8,41,-1,-1,7
62649889,8,9,-1,-1,0
62644019,43,53,-1,-1,7
62650166,0,3,-1,-1,4
62648285,54,51,-1,-1,3
62649855,27,37,-1,-1,2
62648644,41,55,-1,-1,3
62648779,30,58,-1,-1,2
62643878,23,24,-1,-1,1
62649179,33,13,-1,-1,4
62641496,22,52,-1,-1,2
62645769,2,5,-1,-1,0
62647281,46,25,-1,-1,0
62648673,17,39,-1,-1,5
62642324,34,30,-1,-1,3
62651002,25,15,-1,-1,0
62651105,1,21,-1,-1,6
62648743,37,49,-1,-1,1
62650707,58,32,-1,-1,6
62651035,40,15,-1,-1,4
62647289,44,35,-1,-1,3
62648838,32,25,-1,-1,5
62641705,29,4,-1,-1,2
62650855,16,38,-1,-1,4
62641177,39,16,-1,-1,0
62649080,26,5,-1,-1,5
62649937,47,40,-1,-1,7
62647320,34,52,-1,-1,1
62648383,27,39,-1,-1,4
62645815,45,48,-1,-1,3
62642757,40,0,-1,-1,6
62641669,58,46,-1,-1,0
62649439,0,25,-1,-1,4
62649711,32,45,-1,-1,2
62650598,30,6,-1,-1,5
62645808,26,3,-1,-1,7
62650130,6,7,-1,-1,2
62650124,39,40,-1,-1,2
62650250,41,52,-1,-1,1
62649862,52,0,-1,-1,5
62645805,27,47,-1,-1,0
62648081,37,8,-1,-1,7
62650553,8,53,-1,-1,2
62645566,41,15,-1,-1,2
62649682,25,55,-1,-1,3
62649904,11,2,-1,-1,3
62638818,50,22,-1,-1,6
62650020,56,44,-1,-1,6
62650407,38,11,-1,-1,5
62649955,52,48,-1,-1,5
62630759,12,9,-1,-1,1
62648948,57,19,-1,-1,4
62651366,39,21,-1,-1,6
62649009,46,21,-1,-1,3
62648385,26,52,-1,-1,1
62649737,33,31,-1,-1,0
62649649,2,19,-1,-1,7
62650334,58,1,-1,-1,7
62650470,10,7,-1,-1,2
62644575,11,25,-1,-1,2
62648688,22,21,-1,-1,0
62651123,4,11,-1,-1,5
62649608,4,53,-1,-1,2
62649902,50,9,-1,-1,4
62650617,30,41,-1,-1,3
62636811,43,28,-1,-1,2
62648401,36,4,-1,-1,0
62650578,51,28,-1,-1,3
62649521,53,14,-1,-1,1
62651169,0,16,-1,-1,3
62642628,40,27,-1,-1,4
62649371,55,17,-1,-1,2
62650033,38,39,-1,-1,1
62650670,9,55,-1,-1,4
62649629,4,43,-1,-1,3
62646931,9,50,-1,-1,4
62648365,18,10,-1,-1,0
62650637,37,12,-1,-1,2
62639599,11,17,-1,-1,1
62651097,23,31,-1,-1,5
62649657,31,11,-1,-1,6
62641454,20,25,-1,-1,1
62649027,8,27,-1,-1,7
62649291,17,56,-1,-1,7
62650522,43,33,-1,-1,1
62645855,36,25,-1,-1,6
62648324,57,17,-1,-1,1
62647051,20,47,-1,-1,4
62650286,8,51,-1,-1,4
62649939,42,36,-1,-1,2
62647599,53,18,-1,-1,3
62650542,44,55,-1,-1,6
62649462,14,16,-1,-1,0
62647544,53,46,-1,-1,7
62647183,3,31,-1,-1,3
62647123,21,57,-1,-1,6
62650614,22,28,-1,-1,3
62650660,22,25,-1,-1,0
62647272,26,23,-1,-1,2
62643049,54,35,-1,-1,4
62649512,27,24,-1,-1,7
62650177,57,8,-1,-1,2
62637946,23,39,-1,-1,5
62651336,56,13,-1,-1,2
62651295,43,18,-1,-1,2
62646124,58,9,-1,-1,4
62649069,1,45,-1,-1,0
62650830,12,17,-1,-1,4
62641274,6,28,-1,-1,0
62650270,51,38,-1,-1,1
62649547,47,1,-1,-1,6
62640825,48,18,-1,-1,6
62649476,49,29,-1,-1,0
62648091,12,36,-1,-1,2
62642477,46,3,-1,-1,1
62649532,46,23,-1,-1,4
62648785,8,58,-1,-1,2
62650623,51,23,-1,-1,2
62648906,26,40,-1,-1,7
62650391,26,25,-1,-1,4
62648737,18,9,-1,-1,1
62649415,24,50,-1,-1,2
62649989,9,9,-1,-1,0
62650568,13,10,-1,-1,0
62650711,17,13,-1,-1,4
62647976,49,25,-1,-1,4
62648283,54,10,-1,-1,2
62651088,44,8,-1,-1,1
62650915,49,38,-1,-1,0
62642799,34,37,-1,-1,3
62646640,31,54,-1,-1,6
62635007,46,5,-1,-1,4
62647353,3,1,-1,-1,0
62648196,48,49,-1,-1,2
62646061,45,25,-1,-1,2
62648535,33,3,-1,-1,3
62650018,17,51,-1,-1,5
62643703,38,23,-1,-1,1
62651114,43,15,-1,-1,3
62651227,29,43,-1,-1,6
62650981,6,22,-1,-1,4
62650740,15,49,-1,-1,6
62651026,47,31,-1,-1,0
62651151,19,4,-1,-1,6
62650375,54,13,-1,-1,6
62649052,0,58,-1,-1,1
62646303,24,2,-1,-1,7
62647999,55,16,-1,-1,0
62648749,33,50,-1,-1,2
62649821,57,11,-1,-1,2
62648714,24,49,-1,-1,1
62645833,2,18,-1,-1,1
62648387,32,43,-1,-1,2
62650878,35,5,-1,-1,4
62647443,29,11,-1,-1,2
62649756,45,37,-1,-1,0
62648651,56,45,-1,-1,6
62650499,7,33,-1,-1,5
62647699,32,41,-1,-1,5
62650082,40,43,-1,-1,6
62648748,0,38,-1,-1,1
62650746,39,17,-1,-1,3
62650299,38,53,-1,-1,1
62650404,6,35,-1,-1,4
62646171,41,24,-1,-1,1
62651141,16,52,-1,-1,6
62646605,21,19,-1,-1,4
62644165,4,35,-1,-1,0
62646644,48,30,-1,-1,4
62649543,28,12,-1,-1,7
62648031,46,37,-1,-1,5
62650794,30,29,-1,-1,6
62648409,22,16,-1,-1,3
62647044,58,12,-1,-1,0
62646123,34,29,-1,-1,2
62648187,10,5,-1,-1,2
62650942,21,23,-1,-1,1
62649395,40,13,-1,-1,2
62644844,51,27,-1,-1,5
62650063,37,52,-1,-1,2
62650612,1,57,-1,-1,3
62651240,58,3,-1,-1,5
62648044,31,6,-1,-1,2
62651056,46,46,-1,-1,2
62648405,52,55,-1,-1,6
62651082,57,13,-1,-1,1
62649109,45,7,-1,-1,7
62646996,36,1,-1,-1,4
62643190,15,25,-1,-1,5
62649148,10,49,-1,-1,5
62647769,36,43,-1,-1,1
62650227,39,7,-1,-1,2
62647693,33,35,-1,-1,4
62647532,54,3,-1,-1,7
62649791,20,35,-1,-1,2
62647379,21,27,-1,-1,6
62650183,20,24,-1,-1,6
62649097,46,26,-1,-1,6
62647891,58,8,-1,-1,5
62650191,56,53,-1,-1,4
62647017,36,20,-1,-1,5
62650901,15,57,-1,-1,7
62651323,18,50,-1,-1,1
62651181,46,18,-1,-1,3
62649561,57,33,-1,-1,5
62642759,39,18,-1,-1,4
62651273,40,20,-1,-1,5
62647956,10,51,-1,-1,5
62650350,28,28,-1,-1,7
62650467,30,49,-1,-1,4
62642965,21,33,-1,-1,7
62649524,50,37,-1,-1,1
62648551,45,32,-1,-1,6
62651084,37,2,-1,-1,7
62641536,43,12,-1,-1,3
62649646,12,30,-1,-1,5
62650058,41,11,-1,-1,6
62648249,40,46,-1,-1,6
62649767,13,4,-1,-1,1
62649316,26,35,-1,-1,4
62646330,37,10,-1,-1,3
62643992,46,36,-1,-1,4
62647258,4,39,-1,-1,2
62646701,30,53,-1,-1,0
62649887,27,57,-1,-1,0
62649523,32,58,-1,-1,2
62650666,7,24,-1,-1,7
62641635,23,58,-1,-1,7
62649700,57,56,-1,-1,5
62642063,1,16,-1,-1,7
62648037,51,53,-1,-1,7
62651086,24,18,-1,-1,2
62648206,24,20,-1,-1,1
62646912,9,2,-1,-1,6
62650834,8,56,-1,-1,0
62650705,25,11,-1,-1,1
62649803,22,26,-1,-1,7
62650965,47,6,-1,-1,7
62642731,36,9,-1,-1,5
62642004,16,11,-1,-1,5
62650541,49,39,-1,-1,2
62649254,36,42,-1,-1,1
62649959,0,43,-1,-1,3
62651118,19,51,-1,-1,2
62649282,39,19,-1,-1,0
62649026,20,19,-1,-1,2
62650539,30,12,-1,-1,4
62651153,32,24,-1,-1,5
62646754,34,13,-1,-1,1
62649065,16,4,-1,-1,7
62650607,1,58,-1,-1,7
62651158,24,29,-1,-1,3
62646003,49,4,-1,-1,7
62649087,29,55,-1,-1,1
62649844,13,31,-1,-1,6
62650332,49,28,-1,-1,0
62650987,42,25,-1,-1,1
62648760,57,51,-1,-1,1
62649768,19,34,-1,-1,2
62650907,56,54,-1,-1,1
62647849,17,28,-1,-1,1
62649286,42,19,-1,-1,2
62649736,21,24,-1,-1,2
62645372,4,26,-1,-1,0
62650134,38,40,-1,-1,1
62642935,57,9,-1,-1,7
62643163,37,21,-1,-1,5
62637160,47,41,-1,-1,0
62651150,22,38,-1,-1,3
62646080,24,40,-1,-1,0
62648755,16,15,-1,-1,0
62650695,46,55,-1,-1,7
62649923,28,9,-1,-1,2
62648493,34,57,-1,-1,7
62649003,22,20,-1,-1,6
62650728,35,9,-1,-1,5
62651129,19,25,-1,-1,5
62644832,58,30,-1,-1,5
62650372,40,40,-1,-1,5
62650744,53,9,-1,-1,3
62651358,52,25,-1,-1,6
62642807,29,41,-1,-1,7
62650593,45,50,-1,-1,1
62648825,7,27,-1,-1,1
62645720,3,53,-1,-1,4
62648470,8,48,-1,-1,1
62650897,23,33,-1,-1,1
62649451,42,32,-1,-1,3
62651252,51,19,-1,-1,2
62620340,56,9,-1,-1,6
