# Mon Feb 24 16:33:54 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.0209119 2 0 0.00201092 
5000 2 0.274004 2 0 0.0471129 
6000 4 0.312922 4 0.00229819 0.0542947 
7000 5 0.328155 5 0.000861821 0.0505602 
8000 3 0.49329 3 0 0.0973858 
9000 2 0.313769 2 0 0.0565929 
10000 3 0.35254 3 0 0.0652111 
11000 4 0.409412 4 0.00258546 0.0669348 
12000 2 0.335534 2 0 0.0620511 
13000 2 0.405732 2 0 0.0810112 
14000 6 1.02392 6 0.00344729 0.20971 
15000 4 1.0211 4 0 0.204598 
16000 6 1.48181 6 0.011491 0.334674 
17000 6 1.7189 6 0.0390692 0.420282 
18000 7 1.54083 7 0.0401378 0.358908 
19000 6 1.45807 6 0.00574548 0.338409 
20000 5 1.52554 5 0.0011491 0.367998 
21000 5 1.41102 5 0.000574713 0.323276 
22000 5 1.3126 5 0.00229819 0.282677 
23000 5 1.15903 5 0.00890549 0.239012 
24000 5 1.3124 5 0.00804367 0.282677 
25000 5 1.01515 5 0.00574548 0.197644 
26000 5 1.00519 5 0.0117782 0.202815 
27000 5 1.05443 5 0.00517093 0.205113 
28000 5 1.13002 5 0.0011491 0.230968 
29000 6 1.20634 6 0.0100546 0.247343 
30000 5 1.25809 5 0.0140764 0.267165 
31000 6 1.34314 6 0.0135019 0.301063 
32000 6 1.33286 6 0.00861821 0.291583 
33000 6 1.41459 6 0.00488365 0.336972 
34000 7 1.63098 7 0.0123528 0.360241 
35000 7 1.49493 7 0.0189601 0.317725 
36000 7 1.37121 7 0.0066092 0.270115 
37000 13 1.38229 13 0.0450588 0.294168 
38000 10 1.60298 10 0.0689457 0.343005 
39000 10 1.51654 10 0.0192529 0.306609 
40000 7 1.34116 7 0.0163746 0.262568 
41000 9 1.66599 9 0.0472593 0.35823 
42000 7 1.22504 7 0.00316001 0.226372 
43000 6 1.4966 6 0.00517093 0.303648 
44000 8 1.56232 8 0.00143637 0.351336 
45000 7 1.42965 7 0.00431034 0.306034 
46000 7 1.43975 7 0.033611 0.311117 
47000 7 1.54928 7 0.00344729 0.33611 
48000 9 1.43113 9 0.0307383 0.301063 
49000 6 1.44264 6 0.0474138 0.323563 
50000 6 1.23047 6 0.0106291 0.231543 
51000 6 1.33059 6 0.00890549 0.258834 
52000 5 1.31189 5 0 0.252226 
53000 7 1.249 7 0.0117782 0.236426 
54000 6 1.3393 6 0.000861821 0.26343 
55000 6 1.25755 6 0.0054582 0.244183 
56000 7 1.38474 7 0.0376329 0.299339 
57000 7 1.44658 7 0.0192473 0.293594 
58000 7 1.41181 7 0.00172364 0.279805 
59000 8 1.50952 8 0.0100546 0.305659 
60000 6 1.41214 6 0.00718184 0.281241 
61000 7 1.23223 7 0.00201092 0.242746 
62000 6 1.18302 6 0 0.224935 
63000 6 1.2086 6 0.000287274 0.233554 
64000 7 1.26319 7 0.0203964 0.260845 
65000 11 1.52109 11 0.0399311 0.316576 
66000 12 1.66141 12 0.0734229 0.372594 
67000 12 1.50075 12 0.0514368 0.31523 
68000 12 1.53812 12 0.0494111 0.314565 
69000 13 1.60559 13 0.0593464 0.335823 
70000 11 1.63569 11 0.0606148 0.341856 
71000 12 1.76076 12 0.0588911 0.372881 
72000 14 1.69507 14 0.0434056 0.340707 
73000 10 1.5017 10 0.0135019 0.284401 
74000 13 2.01998 13 0.00948003 0.415398 
75000 10 2.17665 10 0.0112037 0.474576 
76000 11 2.3775 11 0.00201092 0.531456 
77000 9 2.44178 9 0.00430911 0.566504 
78000 12 2.53619 12 0.00574713 0.546552 
79000 10 2.60403 10 0.00143637 0.581155 
80000 10 2.68221 10 0.0152255 0.62281 
81000 10 2.5333 10 0.00603275 0.545246 
82000 13 2.59278 13 0.017811 0.56162 
83000 14 2.75715 14 0.0571675 0.638897 
84000 10 2.73909 10 0.0551566 0.637748 
85000 12 2.80442 12 0.0772766 0.666762 
86000 13 2.85124 13 0.109479 0.753232 
87000 13 2.94534 13 0.0819218 0.723643 
88000 14 2.84719 14 0.00861821 0.68601 
89000 13 2.83325 13 0.013838 0.67337 
90000 13 2.74031 13 0.0112037 0.639184 
91000 14 2.77341 14 0.0169492 0.639759 
92000 14 2.80374 14 0.0384947 0.655271 
93000 11 2.71486 11 0.0295892 0.62281 
94000 11 2.65301 11 0.0353347 0.626544 
95000 10 2.55919 10 0.0261419 0.569951 
96000 15 2.62488 15 0.0275783 0.569377 
97000 13 2.74955 13 0.0861821 0.63229 
98000 13 2.7415 13 0.124303 0.672795 
99000 11 2.76532 11 0.106004 0.718472 
100000 13 2.83383 13 0.12212 0.717897 
