# Sun Apr 27 19:28:26 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.00114432 2 0 7.56144e-05 
3000 1 0 1 0 0 
4000 3 0.00866141 3 0 0.000680529 
5000 2 0.00652413 2 0 0.000529301 
6000 2 0.043602 2 0 0.00476371 
7000 5 0.455224 5 0.00189065 0.0728276 
8000 6 0.571504 6 0.00620038 0.100265 
9000 7 0.722882 7 0.00665507 0.137941 
10000 5 0.900653 5 0.0099811 0.187902 
11000 10 1.3067 10 0.0409402 0.285974 
12000 9 1.22836 9 0.0235065 0.258621 
13000 5 1.16485 5 0.00559546 0.239244 
14000 7 1.34789 7 0.00362976 0.290608 
15000 7 1.3456 7 0.00604961 0.289776 
16000 6 1.28898 6 0.000982987 0.275312 
17000 6 1.2015 6 0.00695652 0.244764 
18000 6 1.22995 6 0.00718336 0.253837 
19000 5 1.2276 5 0.000302457 0.260265 
20000 4 1.22965 4 0 0.257618 
21000 4 1.34895 4 0 0.298019 
22000 6 1.37768 6 0.00226843 0.30518 
23000 7 1.3761 7 0.000831758 0.305331 
24000 8 1.38844 8 0.00839319 0.302911 
25000 7 1.38069 7 0.00453686 0.301474 
26000 7 1.49842 7 0.0100567 0.341399 
27000 7 1.39387 7 0.00483932 0.30586 
28000 8 1.4716 8 0.00574669 0.325217 
29000 8 1.42995 8 0.0034029 0.308303 
30000 7 1.41941 7 0.0010586 0.30465 
31000 9 1.63919 9 0.00665406 0.351153 
32000 10 1.6685 10 0.0171645 0.354556 
33000 12 1.85226 12 0.0479699 0.425633 
34000 13 1.86704 13 0.0448781 0.42344 
35000 14 2.00399 14 0.0445042 0.43017 
36000 11 1.9465 11 0.0266919 0.409905 
37000 12 1.89351 12 0.0133091 0.398593 
38000 13 1.92681 13 0.0130185 0.409074 
39000 12 1.97503 12 0.0165608 0.419767 
40000 15 2.09861 15 0.037589 0.452779 
41000 14 2.25212 14 0.0688548 0.516597 
42000 14 2.25964 14 0.0995656 0.549263 
43000 16 2.26741 16 0.0898971 0.541323 
44000 15 2.45312 15 0.0906443 0.59392 
45000 15 2.58746 15 0.0894272 0.619328 
46000 16 2.55842 16 0.0602019 0.608015 
47000 18 2.62165 18 0.0783938 0.623412 
48000 19 2.83206 19 0.100476 0.706011 
49000 16 2.74062 16 0.107977 0.69535 
50000 14 2.65076 14 0.0912038 0.676446 
51000 17 2.71587 17 0.0992817 0.689603 
52000 14 2.77358 14 0.0876371 0.674707 
53000 18 2.8425 18 0.0941003 0.684967 
54000 16 2.79655 16 0.092401 0.670473 
55000 18 2.81322 18 0.0697285 0.683506 
56000 17 2.73967 17 0.057524 0.637429 
57000 16 2.68293 16 0.0554295 0.61706 
58000 15 2.61525 15 0.0233648 0.604764 
59000 14 2.6814 14 0.0272989 0.637553 
60000 16 2.64797 16 0.0338752 0.618677 
61000 18 2.7019 18 0.0468973 0.628176 
62000 15 2.67926 15 0.0437807 0.617089 
63000 18 2.73689 18 0.0611539 0.640653 
64000 20 2.86899 20 0.121216 0.694064 
65000 21 2.91404 21 0.117982 0.687486 
66000 19 2.77386 19 0.0805238 0.65293 
67000 18 2.74585 18 0.0672463 0.650257 
68000 19 2.84204 19 0.075796 0.674783 
69000 19 2.81616 19 0.0818619 0.671304 
70000 16 2.89295 16 0.112049 0.707599 
71000 14 2.75554 14 0.08 0.651191 
72000 17 2.76617 17 0.0625716 0.649452 
73000 17 2.76109 17 0.0754147 0.66344 
74000 15 2.70557 15 0.068558 0.64189 
75000 15 2.68839 15 0.0614745 0.618677 
76000 17 2.69197 17 0.0565724 0.618828 
77000 14 2.66634 14 0.0368242 0.620491 
78000 13 2.5951 13 0.0296408 0.59327 
79000 13 2.57219 13 0.0344802 0.591607 
80000 17 2.55487 17 0.0286578 0.588355 
81000 14 2.53551 14 0.0261569 0.57603 
82000 16 2.62573 16 0.0478639 0.594178 
83000 14 2.56292 14 0.0471078 0.577013 
84000 16 2.26353 16 0.0458109 0.480681 
85000 15 1.92485 15 0.0369754 0.391682 
86000 14 1.51161 14 0.024997 0.298299 
87000 13 1.35012 13 0.0186011 0.253535 
88000 15 1.28897 15 0.0321747 0.247183 
89000 14 1.36689 14 0.033617 0.264726 
90000 12 1.1589 12 0.0175425 0.216257 
91000 10 1.03424 10 0.0320605 0.207108 
92000 13 1.02724 13 0.0120983 0.192287 
93000 9 0.792012 9 0.0124008 0.151985 
94000 9 0.75025 9 0.00400756 0.139509 
95000 10 0.725365 10 0.00332703 0.133157 
96000 11 0.788561 11 0.0103592 0.147902 
97000 10 0.762752 10 0.00173913 0.14397 
98000 9 0.77929 9 0.0153497 0.151304 
99000 8 0.723826 8 0.000680529 0.133913 
100000 9 0.7143 9 0.000453686 0.131191 
