# Tue Feb 25 18:42:27 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 5 0.707885 5 0 0.136207 
3000 8 2.15746 8 0.045102 0.540937 
4000 11 2.73203 11 0.133295 0.794025 
5000 12 2.91405 12 0.243895 0.900029 
6000 21 3.7842 21 0.488441 1.32548 
7000 24 3.92412 24 0.531945 1.41051 
8000 23 3.98778 23 0.522959 1.40046 
9000 22 3.94819 22 0.503164 1.34128 
10000 20 3.8321 20 0.498995 1.35794 
11000 23 3.79277 23 0.457162 1.33554 
12000 28 4.05634 28 0.477028 1.41367 
13000 28 4.28652 28 0.672096 1.63085 
14000 27 4.14422 27 0.676952 1.61275 
15000 29 4.19508 29 0.697537 1.65671 
16000 28 4.25992 28 0.743055 1.711 
17000 33 4.32683 33 0.756387 1.78512 
18000 37 4.45082 37 0.72937 1.71818 
19000 32 4.39902 32 0.703397 1.66044 
20000 29 4.33164 29 0.777971 1.73793 
21000 29 4.41719 29 0.71244 1.6728 
22000 29 4.32753 29 0.597872 1.52542 
23000 26 4.24717 26 0.586131 1.52973 
24000 26 4.14854 26 0.56085 1.45533 
25000 29 4.28569 29 0.494402 1.4266 
26000 27 4.08755 27 0.545276 1.47142 
27000 35 4.40868 35 0.675375 1.6478 
28000 32 4.39026 32 0.769536 1.80345 
29000 29 4.28024 29 0.73783 1.75898 
30000 33 4.45084 33 0.675909 1.64005 
31000 39 4.62376 39 0.708969 1.70468 
32000 40 3.63688 40 1.19342 2.4447 
33000 32 3.57904 32 1.33105 2.66418 
34000 32 3.43376 32 1.38289 2.73312 
35000 32 3.53188 32 1.31929 2.61954 
36000 35 3.71171 35 1.32341 2.66561 
37000 38 4.01867 38 1.29647 2.63333 
38000 35 4.02207 35 1.14768 2.38983 
39000 35 3.95094 35 1.23693 2.52973 
40000 39 4.104 39 1.31205 2.64005 
41000 38 4.0612 38 1.28312 2.59638 
42000 34 4.06114 34 1.30026 2.61821 
43000 33 3.97505 33 1.36895 2.73448 
44000 35 4.18368 35 1.33835 2.69118 
45000 37 4.26082 37 1.34462 2.70985 
46000 37 4.16196 37 1.30964 2.66676 
47000 39 4.10986 39 1.36542 2.77937 
48000 40 4.10735 40 1.3631 2.75926 
49000 40 4.17445 40 1.30538 2.66379 
50000 36 4.19226 36 1.35689 2.78426 
51000 37 4.29777 37 1.35477 2.76357 
52000 37 4.08298 37 1.41091 2.86268 
53000 36 3.92833 36 1.39708 2.8239 
54000 38 3.75217 38 1.35943 2.7584 
55000 33 3.84339 33 1.33071 2.69262 
56000 35 3.86653 35 1.3284 2.684 
57000 37 4.04996 37 1.40433 2.8193 
58000 39 4.113 39 1.33308 2.71215 
59000 38 4.16044 38 1.36119 2.74059 
60000 38 4.20496 38 1.31225 2.67078 
61000 38 4.12656 38 1.30299 2.66245 
62000 43 4.10727 43 1.3263 2.64349 
63000 43 4.148 43 1.28617 2.60126 
64000 35 3.98289 35 1.26796 2.56047 
65000 42 4.21059 42 1.27948 2.62367 
66000 44 4.18807 44 1.3566 2.72134 
67000 42 4.08722 42 1.33464 2.68917 
68000 37 4.17425 37 1.32359 2.67596 
69000 40 4.17282 40 1.32212 2.64339 
70000 45 4.32098 45 1.32438 2.6863 
71000 44 4.31723 44 1.3777 2.7426 
72000 39 4.17396 39 1.26804 2.59121 
73000 39 4.24662 39 1.28405 2.59695 
74000 35 4.11402 35 1.23614 2.51566 
75000 35 4.06836 35 1.26829 2.57656 
76000 40 4.2673 40 1.28142 2.60241 
77000 35 4.15764 35 1.29169 2.61074 
78000 39 4.26644 39 1.30986 2.61965 
79000 41 4.41302 41 1.29088 2.6004 
80000 45 4.2276 45 1.27953 2.58994 
81000 41 4.22976 41 1.24963 2.54323 
82000 45 4.21793 45 1.24276 2.54914 
83000 37 3.94393 37 1.26796 2.58518 
84000 37 3.91261 37 1.30578 2.64713 
85000 39 4.20682 39 1.29695 2.61275 
86000 42 4.00887 42 1.33714 2.69377 
87000 36 3.84582 36 1.34451 2.70612 
88000 39 4.05624 39 1.2982 2.62568 
89000 31 3.94533 31 1.23849 2.50474 
90000 44 4.31821 44 1.25921 2.55645 
91000 38 4.36796 38 1.36385 2.77736 
92000 36 4.06571 36 1.32879 2.68314 
93000 40 4.01909 40 1.33818 2.70718 
94000 38 4.10181 38 1.35173 2.72077 
95000 39 4.17413 39 1.35606 2.73829 
96000 41 4.13458 41 1.36728 2.78857 
97000 38 4.08093 38 1.30935 2.68199 
98000 38 3.97604 38 1.41954 2.85575 
99000 37 3.89626 37 1.37884 2.77851 
100000 37 3.8289 37 1.36925 2.73714 
