# org_id,org_cellx,org_celly,org_forage_target,org_group_id,org_facing
43699913,2,15,-1,-1,6
43704607,48,2,-1,-1,0
43703400,38,14,-1,-1,5
43696537,55,23,-1,-1,5
43705005,34,27,-1,-1,1
43705037,41,49,-1,-1,5
43704315,8,43,-1,-1,3
43696842,55,37,-1,-1,1
43702796,46,40,-1,-1,6
43704624,17,37,-1,-1,7
43688481,11,1,-1,-1,2
43703219,52,56,-1,-1,5
43699833,45,51,-1,-1,6
43704187,21,17,-1,-1,4
43703482,27,23,-1,-1,0
43704464,55,19,-1,-1,7
43671963,50,25,-1,-1,1
43703355,14,28,-1,-1,4
43693220,24,15,-1,-1,6
43701933,11,39,-1,-1,4
43690319,57,13,-1,-1,2
43703523,37,48,-1,-1,4
43704544,27,48,-1,-1,7
43704012,46,45,-1,-1,5
43702202,23,46,-1,-1,7
43699402,56,11,-1,-1,2
43704906,23,39,-1,-1,3
43700124,1,57,-1,-1,7
43704866,42,20,-1,-1,4
43704532,51,38,-1,-1,4
43703297,49,43,-1,-1,5
43702917,2,22,-1,-1,4
43704858,23,45,-1,-1,4
43701183,38,57,-1,-1,1
43700258,20,49,-1,-1,5
43704385,3,34,-1,-1,3
43700985,5,51,-1,-1,2
43701037,55,2,-1,-1,0
43705234,41,53,-1,-1,7
43702579,39,43,-1,-1,4
43696496,43,28,-1,-1,4
43705235,45,30,-1,-1,1
43703528,3,52,-1,-1,3
43705297,58,18,-1,-1,7
43705026,22,47,-1,-1,3
43703066,1,35,-1,-1,1
43697721,16,6,-1,-1,5
43695034,56,44,-1,-1,5
43701647,58,17,-1,-1,0
43703404,20,41,-1,-1,7
43680115,58,56,-1,-1,4
43704274,27,32,-1,-1,0
43704222,27,41,-1,-1,6
43700232,15,52,-1,-1,6
43700822,0,24,-1,-1,4
43700792,6,35,-1,-1,5
43703857,15,23,-1,-1,5
43697385,57,52,-1,-1,0
43700699,42,19,-1,-1,7
43700172,51,20,-1,-1,7
43677676,0,27,-1,-1,1
43703158,55,11,-1,-1,7
43703259,7,30,-1,-1,2
43701763,12,57,-1,-1,1
43702633,34,14,-1,-1,0
43704104,31,54,-1,-1,2
43698793,51,35,-1,-1,4
43704875,45,41,-1,-1,7
43683601,45,5,-1,-1,5
43704324,1,30,-1,-1,2
43705093,13,16,-1,-1,6
43704352,3,55,-1,-1,3
43701693,41,47,-1,-1,4
43689625,49,2,-1,-1,2
43697733,52,8,-1,-1,3
43695753,41,17,-1,-1,1
43703602,43,31,-1,-1,2
43704141,21,19,-1,-1,6
43698640,36,25,-1,-1,6
43679007,6,28,-1,-1,7
43703621,29,54,-1,-1,4
43703578,51,33,-1,-1,0
43700968,56,19,-1,-1,6
43699855,50,52,-1,-1,7
43702753,53,16,-1,-1,4
43705080,38,25,-1,-1,7
43702791,41,15,-1,-1,0
43700400,47,9,-1,-1,5
43697270,55,48,-1,-1,0
43704733,32,33,-1,-1,4
43701107,18,42,-1,-1,2
43704140,51,0,-1,-1,6
43702216,0,52,-1,-1,4
43698331,42,27,-1,-1,3
43695629,28,16,-1,-1,2
43703524,33,43,-1,-1,4
43705048,0,3,-1,-1,2
43698790,50,47,-1,-1,5
43704786,27,14,-1,-1,1
43705135,27,15,-1,-1,6
43698657,12,26,-1,-1,7
43699344,44,8,-1,-1,7
43700361,42,29,-1,-1,0
43702076,41,35,-1,-1,7
43703807,32,31,-1,-1,6
43696473,12,34,-1,-1,0
43689016,3,54,-1,-1,7
43702346,18,38,-1,-1,6
43703221,19,30,-1,-1,1
43704967,11,45,-1,-1,4
43705262,23,30,-1,-1,0
43699808,4,11,-1,-1,4
43703129,16,30,-1,-1,4
43703414,38,6,-1,-1,6
43704575,34,33,-1,-1,0
43704795,28,46,-1,-1,5
43695626,49,4,-1,-1,7
43696632,51,31,-1,-1,2
43689879,48,56,-1,-1,7
43700126,49,19,-1,-1,3
43705148,1,18,-1,-1,0
43702535,21,55,-1,-1,4
43704947,13,12,-1,-1,6
43699568,48,6,-1,-1,7
43702349,14,47,-1,-1,4
43703446,17,48,-1,-1,1
43704058,11,22,-1,-1,5
43705001,40,24,-1,-1,0
43702222,25,10,-1,-1,2
43696410,0,6,-1,-1,0
43703080,49,5,-1,-1,7
43702707,42,40,-1,-1,3
43695907,56,40,-1,-1,4
43702665,21,31,-1,-1,4
43696793,58,2,-1,-1,7
43697616,7,27,-1,-1,2
43705126,22,48,-1,-1,3
43702809,9,20,-1,-1,2
43704979,18,21,-1,-1,5
43692899,56,35,-1,-1,0
43704521,36,50,-1,-1,6
43703264,30,26,-1,-1,3
43700269,57,17,-1,-1,6
43703652,54,12,-1,-1,0
43700488,8,3,-1,-1,0
43704953,39,30,-1,-1,6
43704743,40,29,-1,-1,0
43695180,56,26,-1,-1,0
43699180,24,10,-1,-1,5
43704275,13,43,-1,-1,1
43704215,48,15,-1,-1,4
43704236,10,27,-1,-1,2
43703607,18,28,-1,-1,5
43705261,18,17,-1,-1,6
43704526,47,32,-1,-1,7
43705147,31,49,-1,-1,3
43704915,21,11,-1,-1,0
43700275,15,26,-1,-1,1
43703941,33,46,-1,-1,2
43704545,24,45,-1,-1,7
43705052,25,12,-1,-1,5
43702415,28,10,-1,-1,3
43704626,36,16,-1,-1,6
43703456,15,34,-1,-1,1
43704944,21,26,-1,-1,4
43702024,41,37,-1,-1,4
43702305,48,16,-1,-1,4
43703002,50,38,-1,-1,7
43703722,6,17,-1,-1,4
43697662,28,32,-1,-1,3
43704927,4,39,-1,-1,4
43686521,4,3,-1,-1,2
43704356,47,13,-1,-1,7
43704291,9,37,-1,-1,3
43704936,1,52,-1,-1,2
43704087,10,19,-1,-1,7
43704722,30,19,-1,-1,1
43704009,11,20,-1,-1,2
43703723,16,34,-1,-1,5
43703770,20,1,-1,-1,1
43695101,7,29,-1,-1,5
43697806,0,53,-1,-1,0
43704613,33,37,-1,-1,4
43703149,45,3,-1,-1,3
43704516,35,1,-1,-1,3
43699011,25,53,-1,-1,2
43704615,34,12,-1,-1,6
43697140,44,41,-1,-1,4
43698057,32,22,-1,-1,2
43684314,50,12,-1,-1,7
43703701,34,32,-1,-1,2
43698549,37,8,-1,-1,0
43700567,9,22,-1,-1,4
43694866,40,52,-1,-1,4
43678577,2,12,-1,-1,2
43705030,34,38,-1,-1,5
43699343,55,30,-1,-1,2
43704119,16,36,-1,-1,1
43704914,35,7,-1,-1,1
43704772,8,15,-1,-1,4
43704778,41,16,-1,-1,7
43697990,29,6,-1,-1,7
43705082,33,21,-1,-1,5
43700505,16,57,-1,-1,1
43701588,28,50,-1,-1,6
43704349,5,8,-1,-1,3
43697545,24,37,-1,-1,4
43705198,19,24,-1,-1,4
43703972,23,55,-1,-1,3
43704643,16,33,-1,-1,5
43704817,26,27,-1,-1,3
43704770,55,42,-1,-1,0
