# org_id,org_cellx,org_celly,org_forage_target,org_group_id,org_facing
47397243,58,3,-1,-1,7
47401819,34,39,-1,-1,4
47401098,37,41,-1,-1,6
47398635,25,26,-1,-1,0
47401633,50,51,-1,-1,5
47400564,0,43,-1,-1,4
47400730,43,2,-1,-1,6
47401071,9,11,-1,-1,4
47395433,12,45,-1,-1,4
47401492,53,6,-1,-1,7
47379839,53,8,-1,-1,0
47388432,11,39,-1,-1,1
47396489,10,5,-1,-1,5
47395224,44,25,-1,-1,7
47398753,41,3,-1,-1,6
47395189,39,22,-1,-1,1
47396137,57,26,-1,-1,2
47400149,25,4,-1,-1,7
47395140,7,58,-1,-1,0
47395914,54,26,-1,-1,7
47387985,11,1,-1,-1,0
47400181,50,4,-1,-1,3
47399217,10,20,-1,-1,5
47401280,18,26,-1,-1,3
47397810,48,17,-1,-1,2
47400193,52,11,-1,-1,5
47392505,38,13,-1,-1,7
47401775,52,55,-1,-1,2
47401740,8,27,-1,-1,2
47399464,45,27,-1,-1,2
47390910,40,33,-1,-1,4
47394348,42,7,-1,-1,2
47401115,10,18,-1,-1,7
47401718,22,14,-1,-1,4
47400510,20,39,-1,-1,4
47399037,40,51,-1,-1,5
47393300,51,50,-1,-1,0
47400584,41,41,-1,-1,5
47385562,42,25,-1,-1,4
47399134,31,57,-1,-1,0
47396613,38,3,-1,-1,5
47401696,4,27,-1,-1,6
47400877,26,56,-1,-1,2
47400321,26,48,-1,-1,0
47392369,56,58,-1,-1,2
47400445,31,49,-1,-1,6
47393313,52,45,-1,-1,1
47398052,35,58,-1,-1,7
47400739,33,55,-1,-1,5
47388012,3,44,-1,-1,2
47401048,44,34,-1,-1,2
47378356,4,51,-1,-1,4
47386683,0,7,-1,-1,4
47401412,13,35,-1,-1,6
47399291,41,16,-1,-1,3
47399076,7,24,-1,-1,3
47397555,57,49,-1,-1,2
47391146,11,40,-1,-1,4
47399911,23,57,-1,-1,3
47392120,11,53,-1,-1,3
47396172,47,0,-1,-1,2
47363598,8,56,-1,-1,4
47399126,36,58,-1,-1,0
47395004,19,41,-1,-1,2
47400443,42,14,-1,-1,1
47400337,34,31,-1,-1,1
47400707,37,3,-1,-1,3
47401259,25,24,-1,-1,3
47400121,2,15,-1,-1,0
47384863,52,3,-1,-1,2
47396658,12,48,-1,-1,6
47398330,1,27,-1,-1,1
47400824,29,27,-1,-1,0
47396674,13,23,-1,-1,1
47399028,13,11,-1,-1,5
47400223,51,24,-1,-1,7
47395181,43,32,-1,-1,7
47374480,7,56,-1,-1,4
47390419,48,14,-1,-1,4
47399065,40,0,-1,-1,2
47380766,4,46,-1,-1,6
47397499,32,44,-1,-1,6
47396587,36,11,-1,-1,7
47394398,37,54,-1,-1,7
47401190,16,39,-1,-1,5
47400462,16,16,-1,-1,0
47400971,21,26,-1,-1,6
47397963,4,0,-1,-1,3
47393639,52,38,-1,-1,4
47400614,22,34,-1,-1,5
47385808,51,49,-1,-1,1
47397074,9,27,-1,-1,1
47401669,13,28,-1,-1,1
47398218,44,3,-1,-1,3
47400821,9,10,-1,-1,5
47399822,1,28,-1,-1,1
47396968,38,57,-1,-1,1
47387556,50,16,-1,-1,6
47398818,29,19,-1,-1,2
47401602,3,6,-1,-1,6
47401281,2,42,-1,-1,7
47397668,54,25,-1,-1,1
47397017,30,20,-1,-1,1
47395630,50,52,-1,-1,0
47401351,38,16,-1,-1,2
47400345,30,53,-1,-1,7
47396824,24,47,-1,-1,1
