# org_id,org_cellx,org_celly,org_forage_target,org_group_id,org_facing
52715669,0,28,-1,-1,3
52717567,31,34,-1,-1,0
52716884,28,47,-1,-1,6
52715812,27,34,-1,-1,6
52717119,0,52,-1,-1,0
52709350,19,18,-1,-1,0
52711923,2,11,-1,-1,5
52715287,34,28,-1,-1,2
52717065,57,50,-1,-1,1
52717149,49,16,-1,-1,1
52717544,57,40,-1,-1,0
52719470,4,2,-1,-1,4
52715465,46,12,-1,-1,0
52718987,43,25,-1,-1,5
52713295,31,42,-1,-1,3
52718758,39,0,-1,-1,2
52719498,55,16,-1,-1,7
52712503,22,52,-1,-1,7
52717513,48,14,-1,-1,3
52715721,24,49,-1,-1,7
52717992,33,38,-1,-1,0
52719348,32,5,-1,-1,0
52719253,52,43,-1,-1,0
52718918,30,57,-1,-1,6
52717127,5,29,-1,-1,6
52717615,8,50,-1,-1,4
52717855,4,41,-1,-1,5
52716252,4,38,-1,-1,2
52718504,8,31,-1,-1,0
52719330,45,10,-1,-1,2
52718942,22,5,-1,-1,3
52718232,23,27,-1,-1,3
52715497,16,51,-1,-1,0
52714239,36,35,-1,-1,7
52718132,40,53,-1,-1,1
52709001,33,51,-1,-1,5
52717287,51,35,-1,-1,0
52717666,2,3,-1,-1,0
52717865,6,57,-1,-1,7
52719291,54,26,-1,-1,3
52716609,4,37,-1,-1,5
52714838,42,41,-1,-1,0
52717256,13,52,-1,-1,5
52714859,18,20,-1,-1,3
52718187,23,17,-1,-1,2
52719435,26,53,-1,-1,6
52718823,40,40,-1,-1,3
52716803,52,16,-1,-1,4
52713489,48,27,-1,-1,5
52709587,30,32,-1,-1,5
52710146,53,15,-1,-1,0
52719245,23,40,-1,-1,3
52719023,27,53,-1,-1,4
52719372,50,23,-1,-1,3
52717679,46,2,-1,-1,5
52718933,7,3,-1,-1,6
52715500,52,3,-1,-1,3
52715881,12,9,-1,-1,2
52718761,2,27,-1,-1,3
52716314,4,21,-1,-1,0
52715610,13,38,-1,-1,1
52718943,36,18,-1,-1,0
52718176,16,34,-1,-1,1
52716680,5,50,-1,-1,7
52719522,10,55,-1,-1,0
52715060,13,14,-1,-1,3
52717749,6,16,-1,-1,4
52711506,58,35,-1,-1,4
52719047,33,23,-1,-1,7
52709308,35,56,-1,-1,1
52714493,3,39,-1,-1,6
52717877,3,43,-1,-1,5
52715326,4,46,-1,-1,4
52716154,13,42,-1,-1,5
52718453,12,32,-1,-1,5
52717506,20,2,-1,-1,2
52713219,50,58,-1,-1,6
52709871,37,5,-1,-1,3
52713318,19,29,-1,-1,4
52717922,17,17,-1,-1,0
52718869,15,16,-1,-1,5
52718811,3,52,-1,-1,4
52716723,9,53,-1,-1,7
52713809,6,24,-1,-1,6
52715847,27,23,-1,-1,2
52716376,20,16,-1,-1,1
52716543,43,1,-1,-1,0
52709078,40,26,-1,-1,6
52717510,31,36,-1,-1,0
52719524,7,48,-1,-1,6
52719531,19,34,-1,-1,0
52718361,44,46,-1,-1,2
52718163,39,36,-1,-1,0
52716574,18,57,-1,-1,5
52715745,15,6,-1,-1,6
52714257,48,32,-1,-1,1
52717820,28,35,-1,-1,4
52717249,7,23,-1,-1,4
52718485,8,43,-1,-1,6
52703397,20,44,-1,-1,7
52714566,26,27,-1,-1,5
52718587,47,49,-1,-1,4
52711292,31,16,-1,-1,7
