# Wed Apr 30 08:16:08 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.0027463 2 0 0.00020002 
2000 2 0.00147317 2 0 0.00010001 
3000 2 0.00394357 2 0 0.0003 
4000 2 0.0658325 2 0 0.00780078 
5000 2 0.130059 2 0 0.018 
6000 2 0.241393 2 0 0.039804 
7000 4 0.212292 4 0 0.0314031 
8000 4 0.455203 4 0 0.0718144 
9000 3 0.526095 3 0 0.0925 
10000 5 0.6942 5 0.0021 0.128 
11000 6 0.700078 6 0.00440044 0.123712 
12000 5 0.379938 5 0 0.0576 
13000 3 0.375826 3 0 0.0577 
14000 3 0.309748 3 0 0.0453 
15000 3 0.343741 3 0 0.0514051 
16000 4 0.387247 4 0 0.0615 
17000 3 0.448975 3 0 0.0733 
18000 4 0.437298 4 0.0001 0.0711 
19000 4 0.464364 4 0.0004 0.0775 
20000 5 0.62529 5 0.00020002 0.109411 
21000 4 0.565615 4 0.0005 0.0997 
22000 4 0.512197 4 0.0002 0.0867 
23000 5 0.506028 5 0.0041 0.085 
24000 5 0.53782 5 0.00320032 0.0914091 
25000 3 0.466582 3 0 0.0772 
26000 4 0.538845 4 0 0.0936 
27000 4 0.484319 4 0.0001 0.0806 
28000 3 0.409047 3 0 0.0644 
29000 3 0.362731 3 0 0.0551 
30000 5 0.421319 5 0.0035 0.0651 
31000 3 0.286604 3 0 0.0411 
32000 3 0.212485 3 0 0.0287029 
33000 3 0.140149 3 0 0.0169 
34000 3 0.0936551 3 0 0.0104 
35000 2 0.0692997 2 0 0.0083 
36000 3 0.0432338 3 0 0.0042 
37000 3 0.180105 3 0 0.0239 
38000 3 0.355739 3 0 0.055 
39000 4 0.634822 4 0.0007 0.1156 
40000 3 0.59492 3 0 0.1066 
41000 3 0.614399 3 0 0.112411 
42000 4 0.55714 4 0.0006 0.0987 
43000 3 0.597269 3 0 0.1073 
44000 4 0.541999 4 0 0.0931 
45000 4 0.631114 4 0.0023 0.1153 
46000 5 0.553782 5 0.0004 0.0934 
47000 3 0.592124 3 0 0.1057 
48000 4 0.547595 4 0 0.0954 
49000 4 0.567103 4 0.0002 0.0993 
50000 3 0.450894 3 0 0.0733 
51000 4 0.552786 4 0 0.0959 
52000 8 0.89524 8 0.0033 0.1477 
53000 9 1.30438 9 0.0017 0.2169 
54000 9 1.41862 9 0.0026 0.2427 
55000 9 1.43055 9 0.0021 0.246 
56000 10 1.42718 10 0.0089 0.2448 
57000 11 1.48458 11 0.0107 0.2581 
58000 9 1.39775 9 0.0169 0.2449 
59000 9 1.51488 9 0.0074 0.2654 
60000 9 1.37973 9 0.0139 0.2367 
61000 12 1.46353 12 0.0041 0.25 
62000 11 1.49177 11 0.0335 0.2733 
63000 10 1.51194 10 0.0221 0.2678 
64000 9 1.40138 9 0.0178 0.2452 
65000 12 1.50151 12 0.0472 0.2815 
66000 11 1.59328 11 0.0455585 0.3072 
67000 14 1.54015 14 0.0578 0.2968 
68000 12 1.53604 12 0.0556 0.2926 
69000 13 1.51248 13 0.068868 0.3015 
70000 16 1.40254 16 0.0635755 0.2763 
71000 13 1.51477 13 0.071817 0.3099 
72000 14 1.48713 14 0.0688 0.3041 
73000 10 1.49925 10 0.0732 0.3111 
74000 11 1.38833 11 0.0557 0.2671 
75000 12 1.43466 12 0.0475 0.2714 
76000 12 1.51751 12 0.061617 0.2993 
77000 11 1.4691 11 0.0587 0.285 
78000 12 1.51524 12 0.0554 0.2883 
79000 13 1.49934 13 0.0672822 0.294429 
80000 12 1.43812 12 0.0848 0.3033 
81000 11 1.45966 11 0.0433 0.2728 
82000 12 1.49425 12 0.0581 0.2907 
83000 11 1.54925 11 0.0422 0.2904 
84000 12 1.47798 12 0.036 0.2648 
85000 13 1.57047 13 0.0555585 0.3036 
86000 12 1.51966 12 0.0618 0.3024 
87000 14 1.55502 14 0.0617755 0.3032 
88000 12 1.64971 12 0.0661 0.3315 
89000 14 1.6724 14 0.0583 0.3187 
90000 14 1.71869 14 0.0532 0.3235 
91000 16 1.67774 16 0.046134 0.3045 
92000 17 1.67779 17 0.0715336 0.326433 
93000 14 1.75571 14 0.0695 0.3425 
94000 13 1.6712 13 0.063217 0.3241 
95000 15 1.70845 15 0.050751 0.318 
96000 15 1.68978 15 0.0643 0.3217 
97000 16 1.73347 16 0.0708 0.3343 
98000 16 1.63707 16 0.0766247 0.327233 
99000 13 1.74526 13 0.0658 0.3442 
100000 18 1.74982 18 0.0563585 0.3279 
