# Mon Mar 10 11:25:13 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.424574 2 0 0.0864694 
4000 2 0.407742 2 0 0.0815858 
5000 4 0.54526 4 0 0.117495 
6000 4 0.447857 4 0.000287274 0.090204 
7000 6 0.967716 6 0.108589 0.272623 
8000 8 1.05989 8 0.153117 0.344441 
9000 9 1.10912 9 0.150531 0.350474 
10000 10 1.05599 10 0.139876 0.332088 
11000 9 1.1196 9 0.130477 0.328928 
12000 9 1.04453 9 0.107728 0.283826 
13000 13 1.09182 13 0.139226 0.332663 
14000 11 0.942609 11 0.103497 0.268391 
15000 11 0.959035 11 0.0908273 0.252514 
16000 8 0.932214 8 0.0979604 0.255961 
17000 9 0.802723 9 0.0948003 0.236426 
18000 11 0.980222 11 0.0898233 0.25546 
19000 13 0.92824 13 0.125924 0.288997 
20000 12 0.959069 12 0.123192 0.284401 
21000 11 0.901837 11 0.0967953 0.251077 
22000 12 0.946267 12 0.101961 0.265728 
23000 9 0.897841 9 0.111636 0.266877 
24000 11 0.783905 11 0.111165 0.249641 
25000 9 0.891942 9 0.119117 0.275783 
26000 11 0.921523 11 0.124567 0.281609 
27000 11 0.942883 11 0.131464 0.294168 
28000 9 0.759127 9 0.0890821 0.219764 
29000 9 0.747082 9 0.0905401 0.220626 
30000 9 0.721913 9 0.0838839 0.204826 
31000 9 0.817533 9 0.0804367 0.215168 
32000 7 0.793333 7 0.0772766 0.208848 
33000 9 1.03402 9 0.12439 0.303936 
34000 11 0.74519 11 0.0985837 0.215455 
35000 14 0.840782 14 0.149836 0.309107 
36000 16 0.906353 16 0.164108 0.329216 
37000 11 0.796909 11 0.166525 0.32979 
38000 15 0.857274 15 0.148638 0.299627 
39000 10 0.884559 10 0.121146 0.277506 
40000 16 1.11583 16 0.141689 0.328928 
41000 12 0.923129 12 0.132893 0.300575 
42000 11 0.783674 11 0.124838 0.277506 
43000 12 0.895086 12 0.188164 0.367136 
44000 16 0.94909 16 0.177593 0.355645 
45000 15 0.860675 15 0.181925 0.357369 
46000 10 0.816634 10 0.16923 0.336398 
47000 13 0.775952 13 0.161685 0.320023 
48000 19 0.964823 19 0.158693 0.330078 
49000 16 0.808229 16 0.164325 0.324045 
50000 16 0.804593 16 0.166244 0.327205 
51000 12 0.915919 12 0.162997 0.338121 
52000 16 0.856162 16 0.198267 0.387245 
53000 13 0.780523 13 0.150362 0.301063 
54000 15 0.928977 15 0.224752 0.457627 
55000 17 0.910977 17 0.230687 0.465958 
56000 15 0.832203 15 0.215792 0.434358 
57000 16 0.895719 16 0.237338 0.480322 
58000 14 0.905215 14 0.211153 0.428612 
59000 14 0.795083 14 0.210649 0.426027 
60000 16 0.774785 16 0.192322 0.38782 
61000 17 0.909571 17 0.247919 0.503878 
62000 14 0.774741 14 0.235126 0.4763 
63000 22 0.9011 22 0.246509 0.494685 
64000 18 0.806424 18 0.242124 0.484918 
65000 15 0.812041 15 0.228828 0.458489 
66000 12 0.896534 12 0.236732 0.483194 
67000 15 0.758319 15 0.234395 0.469118 
68000 18 0.786874 18 0.212725 0.425165 
69000 16 0.851022 16 0.205521 0.423851 
70000 16 0.789408 16 0.209066 0.432634 
71000 21 0.801745 21 0.225766 0.450733 
72000 24 1.06235 24 0.218059 0.450733 
73000 18 0.742606 18 0.227256 0.455616 
74000 17 0.757609 17 0.206193 0.417409 
75000 18 0.757674 18 0.214726 0.434195 
76000 16 0.69061 16 0.205282 0.409365 
77000 16 0.766164 16 0.221359 0.440965 
78000 23 0.780198 23 0.252697 0.532893 
79000 20 0.740185 20 0.242413 0.515656 
80000 18 0.779551 18 0.264424 0.56092 
81000 21 0.83292 21 0.260948 0.553736 
82000 25 0.803912 25 0.279161 0.593795 
83000 22 0.882219 22 0.278963 0.59006 
84000 21 0.76363 21 0.252338 0.534042 
85000 21 0.816612 21 0.25589 0.551566 
86000 22 0.881901 22 0.249915 0.532893 
87000 19 0.804351 19 0.244238 0.524425 
88000 18 0.869954 18 0.266674 0.564206 
89000 19 0.945614 19 0.267409 0.569377 
90000 39 3.44833 39 1.78994 3.66063 
91000 40 3.90077 40 1.61018 3.25079 
92000 48 3.96058 48 1.49802 2.9908 
93000 48 4.03259 48 1.33269 2.68084 
94000 43 3.65543 43 1.14396 2.36512 
95000 44 3.61699 44 1.17035 2.40822 
96000 47 3.34442 47 1.14198 2.41166 
97000 51 3.3433 51 1.15138 2.43436 
98000 55 3.52081 55 1.16884 2.48291 
99000 51 3.4403 51 1.19061 2.52945 
100000 69 3.70053 69 1.24403 2.68382 
