# Wed Mar 19 22:48:31 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.0156349 2 0 0.00143637 
4000 1 0 1 0 0 
5000 3 0.0226532 3 0 0.00201149 
6000 2 0.310261 2 0 0.0557311 
7000 2 0.519605 2 0 0.116633 
8000 4 1.03657 4 0 0.253088 
9000 6 1.31563 6 0.0341954 0.341092 
10000 6 1.27143 6 0.0206837 0.337259 
11000 5 1.43011 5 0.0175237 0.321747 
12000 8 1.49618 8 0.0203964 0.340132 
13000 8 1.79183 8 0.0278656 0.453893 
14000 8 1.69728 8 0.0137891 0.380063 
15000 8 2.2285 8 0.0117782 0.54582 
16000 8 1.98807 8 0.0149382 0.437518 
17000 8 2.49581 8 0.0227011 0.610632 
18000 12 2.43165 12 0.0152255 0.567078 
19000 10 2.45495 10 0.00430911 0.596955 
20000 9 2.45769 9 0.0149425 0.576437 
21000 9 2.31873 9 0.00201092 0.535766 
22000 9 2.41607 9 0.0135019 0.569089 
23000 9 2.51019 9 0.0347701 0.602874 
24000 9 2.50132 9 0.0330365 0.611893 
25000 12 2.59035 12 0.0540075 0.62281 
26000 13 2.58925 13 0.0137891 0.64809 
27000 10 2.52724 10 0.0103419 0.635737 
28000 11 2.57506 11 0.027291 0.636024 
29000 12 2.62271 12 0.0817538 0.678828 
30000 11 2.60359 11 0.0491238 0.654984 
31000 12 2.63298 12 0.088193 0.65757 
32000 11 2.72296 11 0.122953 0.771043 
33000 11 2.76571 11 0.106004 0.746337 
34000 12 2.70211 12 0.0462511 0.680839 
35000 10 2.66163 10 0.0732548 0.673657 
36000 11 2.77168 11 0.0643493 0.726515 
37000 12 2.69633 12 0.107804 0.698363 
38000 12 3.0103 12 0.136168 0.82821 
39000 12 2.98627 12 0.0796465 0.781609 
40000 12 2.96504 12 0.0876185 0.76817 
41000 10 2.86663 10 0.0669348 0.753806 
42000 13 2.94431 13 0.13272 0.794887 
43000 13 3.07512 13 0.1106 0.829934 
44000 12 3.08692 12 0.103993 0.805516 
45000 10 2.90343 10 0.0735421 0.754094 
46000 10 2.96668 10 0.0999713 0.792301 
47000 10 2.93668 10 0.0508475 0.765585 
48000 12 2.94269 12 0.107137 0.786556 
49000 15 3.10801 15 0.177964 0.851192 
50000 16 3.31729 16 0.229056 0.939385 
51000 15 3.26561 15 0.258509 0.995116 
52000 12 3.20431 12 0.196783 0.945418 
53000 14 3.35537 14 0.205126 0.973858 
54000 12 3.053 12 0.12008 0.806952 
55000 13 2.9254 13 0.0568802 0.754955 
56000 12 2.9449 12 0.0462511 0.75237 
57000 14 3.06036 14 0.0862309 0.776501 
58000 15 3.09781 15 0.128228 0.861821 
59000 14 2.9219 14 0.0552166 0.746625 
60000 17 3.34573 17 0.207673 0.957196 
61000 16 3.28719 16 0.147838 0.947142 
62000 17 3.30542 17 0.14006 0.917552 
63000 14 3.3428 14 0.15977 0.964943 
64000 14 3.32225 14 0.157426 0.918127 
65000 17 3.28642 17 0.11872 0.940247 
66000 15 3.31798 15 0.164023 0.916691 
67000 14 3.37549 14 0.18792 0.955147 
68000 17 3.43835 17 0.212967 1.02097 
69000 15 3.3371 15 0.135929 0.938236 
70000 13 3.10356 13 0.0540075 0.79029 
71000 13 3.16593 13 0.066073 0.835105 
72000 15 3.29716 15 0.127815 0.875898 
73000 14 3.12238 14 0.0960471 0.792876 
74000 14 3.17893 14 0.0685448 0.821603 
75000 15 3.05824 15 0.0547501 0.771617 
76000 15 3.26037 15 0.0768706 0.862069 
77000 13 3.14514 13 0.0701149 0.833333 
78000 12 3.21084 12 0.156564 0.908072 
79000 13 3.23232 13 0.127874 0.89023 
80000 15 3.19779 15 0.126113 0.863545 
81000 13 3.2436 13 0.0999713 0.841999 
82000 18 3.46004 18 0.199022 0.983338 
83000 17 3.343 17 0.104167 0.871876 
84000 13 3.12703 13 0.100546 0.790577 
85000 14 3.26789 14 0.0991095 0.865269 
86000 17 3.42477 17 0.178397 0.942833 
87000 16 3.3855 16 0.107728 0.906061 
88000 18 3.27624 18 0.0914291 0.865269 
89000 17 3.37783 17 0.153508 0.926171 
90000 17 3.33449 17 0.152289 0.904338 
91000 16 3.28313 16 0.144428 0.885665 
92000 14 3.33346 14 0.192186 0.9684 
93000 17 3.23182 17 0.179833 0.975582 
94000 16 3.28347 16 0.183281 0.963516 
95000 13 3.23205 13 0.151724 0.93046 
96000 15 3.28281 15 0.196783 0.972422 
97000 16 3.3029 16 0.233196 0.990807 
98000 13 3.23104 13 0.204539 0.965527 
99000 14 3.13526 14 0.134157 0.878196 
100000 15 3.19242 15 0.151323 0.939098 
