# Wed Mar 12 17:39:59 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 2 0.00305169 2 0 0.000225051 
2000 2 0.00620488 2 0 0.000500075 
3000 2 0.00674897 2 0 0.000550014 
4000 4 0.197455 4 0 0.0256019 
5000 7 0.37672 7 0.00250019 0.0525289 
6000 7 0.411529 7 0.000200015 0.0578793 
7000 8 0.508135 8 0.0022 0.0707 
8000 11 0.481433 11 0.00932171 0.0695535 
9000 14 0.556824 14 0.0139823 0.0788539 
10000 16 0.584437 16 0.0167759 0.0855043 
11000 16 0.657809 16 0.01825 0.095725 
12000 17 0.636519 17 0.020075 0.092675 
13000 16 0.61883 16 0.0271507 0.0972524 
14000 16 0.587896 16 0.02455 0.09095 
15000 19 0.605921 19 0.025625 0.094475 
16000 18 0.609313 18 0.0298292 0.09815 
17000 19 0.579759 19 0.0332655 0.0974274 
18000 18 0.615978 18 0.0375344 0.106353 
19000 19 0.599341 19 0.0369542 0.10415 
20000 17 0.64819 17 0.037525 0.111575 
21000 18 0.625495 18 0.0382906 0.111178 
22000 19 0.639438 19 0.0275792 0.10085 
23000 19 0.622571 19 0.030775 0.101475 
24000 18 0.61246 18 0.0328644 0.10183 
25000 19 0.633607 19 0.0331008 0.104878 
26000 20 0.610455 20 0.02913 0.0982775 
27000 20 0.626171 20 0.0366094 0.107778 
28000 17 0.583123 17 0.0324508 0.0978774 
29000 19 0.63473 19 0.0347379 0.10823 
30000 22 0.612456 22 0.0379813 0.109828 
31000 22 0.569394 22 0.0319195 0.0967774 
32000 21 0.571279 21 0.0337041 0.0973549 
33000 21 0.538023 21 0.0296456 0.0879522 
34000 19 0.485475 19 0.0310524 0.083475 
35000 19 0.485295 19 0.031975 0.08545 
36000 16 0.379408 16 0.026775 0.068575 
37000 18 0.387783 18 0.0304396 0.072025 
38000 18 0.390095 18 0.0251435 0.067975 
39000 18 0.371446 18 0.026025 0.06575 
40000 16 0.370731 16 0.0228 0.062625 
41000 16 0.357812 16 0.0288135 0.0674517 
42000 16 0.367053 16 0.0282607 0.0688517 
43000 18 0.34968 18 0.0280326 0.06595 
44000 19 0.393026 19 0.033571 0.07775 
45000 20 0.374736 20 0.0291981 0.0696 
46000 17 0.3126 17 0.0266646 0.0608 
47000 15 0.336305 15 0.0276007 0.0636266 
48000 19 0.339661 19 0.0307062 0.0679 
49000 20 0.336647 20 0.0305779 0.06695 
50000 15 0.312484 15 0.0251396 0.057875 
51000 15 0.335209 15 0.0256903 0.0611765 
52000 14 0.334475 14 0.028525 0.06545 
53000 16 0.342723 16 0.0301766 0.0688 
54000 17 0.345575 17 0.0300866 0.0689 
55000 17 0.352554 17 0.0282397 0.067225 
56000 14 0.312618 14 0.02605 0.060475 
57000 14 0.345479 14 0.025125 0.062375 
58000 16 0.339526 16 0.0212231 0.05685 
59000 17 0.321371 17 0.0244779 0.058875 
60000 17 0.313557 17 0.0252137 0.059125 
61000 15 0.324201 15 0.0216731 0.056825 
62000 13 0.303393 13 0.01745 0.050475 
63000 16 0.308651 16 0.0163754 0.0495262 
64000 13 0.327157 13 0.022075 0.058275 
65000 15 0.316243 15 0.0218444 0.055725 
66000 18 0.310012 18 0.0204758 0.055375 
67000 17 0.311278 17 0.0217714 0.05595 
68000 19 0.554605 19 0.0273307 0.096775 
69000 24 0.579397 24 0.0215548 0.095375 
70000 19 0.598989 19 0.0209401 0.0980525 
71000 22 0.630122 22 0.025309 0.103075 
72000 22 0.649973 22 0.0484 0.1275 
73000 25 0.471881 25 0.0501978 0.111925 
74000 28 0.530671 28 0.0531591 0.120675 
75000 28 0.53572 28 0.0545023 0.121025 
76000 28 0.573698 28 0.056822 0.126775 
77000 26 0.564761 26 0.0542739 0.122975 
78000 31 0.573353 31 0.0556629 0.123025 
79000 27 0.581259 27 0.0617938 0.132275 
80000 27 0.547491 27 0.0607372 0.127725 
81000 29 0.517414 29 0.0541496 0.11775 
82000 25 0.51779 25 0.0502216 0.11275 
83000 27 0.570469 27 0.0501876 0.11885 
84000 24 0.521034 24 0.0506204 0.113628 
85000 24 0.519378 24 0.0487625 0.111275 
86000 29 0.567534 29 0.0540333 0.121875 
87000 32 0.532424 32 0.054759 0.120178 
88000 30 0.530092 30 0.0607353 0.128125 
89000 30 0.571523 30 0.0616065 0.132478 
90000 31 0.540329 31 0.0607699 0.12815 
91000 32 0.552161 32 0.0587397 0.1267 
92000 36 0.550371 36 0.0597862 0.127925 
93000 31 0.559367 31 0.0589624 0.126975 
94000 36 0.561644 36 0.0665191 0.139 
95000 34 0.549173 34 0.0659257 0.136325 
96000 35 0.554555 35 0.0620467 0.130875 
97000 33 0.562544 33 0.0654608 0.135175 
98000 32 0.534953 32 0.061099 0.126953 
99000 32 0.536849 32 0.0603941 0.12595 
100000 32 0.558244 32 0.0658915 0.137025 
