# Fri Mar 21 19:48:59 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.00379425 2 0 0.000287274 
4000 2 0.104977 2 0 0.0137891 
5000 2 0.370549 2 0 0.0712439 
6000 2 0.494774 2 0 0.108302 
7000 8 1.71404 8 0.15225 0.481758 
8000 8 1.98545 8 0.205379 0.603849 
9000 8 2.36488 8 0.258695 0.780236 
10000 12 2.41522 12 0.204329 0.712152 
11000 11 2.77148 11 0.204843 0.794025 
12000 13 2.95581 13 0.254423 0.878196 
13000 14 2.82293 14 0.268272 0.875575 
14000 13 2.77202 13 0.227521 0.820454 
15000 11 2.63204 11 0.161139 0.753232 
16000 11 2.68114 11 0.20199 0.794253 
17000 10 2.65935 10 0.173226 0.747199 
18000 10 2.65558 10 0.189601 0.771043 
19000 13 2.88295 13 0.19075 0.806665 
20000 12 2.82957 12 0.267452 0.888825 
21000 12 2.84628 12 0.285263 0.915254 
22000 13 2.84405 13 0.24447 0.860959 
23000 13 2.77572 13 0.21092 0.813793 
24000 14 2.80897 14 0.280666 0.902327 
25000 13 2.87642 13 0.195115 0.792529 
26000 13 2.64494 13 0.150819 0.712152 
27000 13 2.90786 13 0.151393 0.767596 
28000 18 3.04894 18 0.239248 0.933352 
29000 23 3.80079 23 0.553818 1.39443 
30000 24 3.77956 24 0.495339 1.33123 
31000 20 3.58594 20 0.458317 1.2663 
32000 26 3.77204 26 0.507867 1.32126 
33000 28 3.74676 28 0.59824 1.4019 
34000 26 3.81231 26 0.701145 1.57426 
35000 26 3.92241 26 0.696935 1.54984 
36000 27 3.89573 27 0.576815 1.39943 
37000 25 3.87073 25 0.572279 1.41281 
38000 24 3.77273 24 0.521772 1.32203 
39000 21 3.87299 21 0.548937 1.3522 
40000 23 3.85091 23 0.509716 1.33793 
41000 21 3.60335 21 0.577564 1.32672 
42000 25 3.71928 25 0.557735 1.33036 
43000 25 3.69287 25 0.61034 1.40391 
44000 26 3.65893 26 0.590825 1.3769 
45000 24 3.54441 24 0.582304 1.37443 
46000 21 3.59707 21 0.48501 1.25 
47000 22 3.49485 22 0.504053 1.26228 
48000 23 3.52561 23 0.51195 1.28649 
49000 22 3.60327 22 0.522342 1.32031 
50000 22 3.45545 22 0.456979 1.20885 
51000 21 3.32124 21 0.532053 1.29684 
52000 21 3.40503 21 0.484412 1.24447 
53000 23 3.65688 23 0.565159 1.3703 
54000 19 3.61408 19 0.610433 1.43822 
55000 21 3.30267 21 0.611264 1.40057 
56000 22 3.40579 22 0.53082 1.2686 
57000 21 3.16986 21 0.506094 1.21028 
58000 21 3.14792 21 0.449939 1.10169 
59000 23 3.10389 23 0.580865 1.25596 
60000 24 2.94764 24 0.469385 1.07211 
61000 19 2.72933 19 0.465614 1.04596 
62000 23 2.9366 23 0.439091 1.03591 
63000 21 2.70909 21 0.377039 0.925309 
64000 19 2.73185 19 0.386292 0.942833 
65000 20 2.78937 20 0.412778 1.00546 
66000 19 2.78355 19 0.473562 1.07412 
67000 22 2.64593 22 0.424961 0.976444 
68000 20 2.70777 20 0.492218 1.06722 
69000 22 2.64428 22 0.434888 0.991092 
70000 18 2.72759 18 0.524516 1.11207 
71000 18 2.59816 18 0.500072 1.07239 
72000 19 2.64259 19 0.379754 0.909509 
73000 20 2.77223 20 0.421414 0.973284 
74000 18 2.67406 18 0.375281 0.887389 
75000 17 2.56932 17 0.444813 0.97156 
76000 20 2.85302 20 0.460789 1.02644 
77000 19 2.83953 19 0.427525 0.959782 
78000 19 2.67828 19 0.457725 1.00316 
79000 19 2.83972 19 0.400529 0.944843 
80000 16 2.66398 16 0.44407 0.97788 
81000 18 2.60472 18 0.405656 0.921287 
82000 18 2.73249 18 0.401751 0.951451 
83000 21 2.68726 21 0.379811 0.918678 
84000 19 2.59004 19 0.41571 0.963516 
85000 17 2.52119 17 0.419218 0.970985 
86000 19 2.3938 19 0.350925 0.850618 
87000 15 2.44622 15 0.279614 0.777363 
88000 15 2.34393 15 0.288096 0.748635 
89000 16 2.40968 16 0.345032 0.835057 
90000 16 2.37764 16 0.280995 0.734846 
91000 17 2.20719 17 0.326424 0.794887 
92000 13 2.16421 13 0.281007 0.737432 
93000 16 2.43078 16 0.392136 0.920977 
94000 16 2.58093 16 0.424761 1.00201 
95000 18 2.60537 18 0.388309 0.932203 
96000 17 2.53536 17 0.418016 0.974425 
97000 17 2.56427 17 0.352179 0.906636 
98000 19 2.80286 19 0.347669 0.924447 
99000 19 2.93252 19 0.415544 1.04194 
100000 23 2.95207 23 0.471839 1.08475 
