# Mon Feb 24 13:15:00 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.274063 2 0 0.0471264 
4000 3 0.910213 3 0 0.322321 
5000 7 1.70309 7 0 0.726228 
6000 10 2.69751 10 0.482907 1.40103 
7000 11 2.83131 11 0.498133 1.44729 
8000 10 2.82979 10 0.445402 1.38649 
9000 10 2.74797 10 0.428325 1.36886 
10000 13 3.06515 13 0.390118 1.34875 
11000 15 3.19157 15 0.536915 1.49124 
12000 16 3.44042 16 0.765104 1.81385 
13000 15 3.02031 15 0.975831 2.10055 
14000 20 3.47812 20 1.06428 2.26732 
15000 21 3.47 21 1.1534 2.45993 
16000 21 3.43961 21 1.15661 2.45619 
17000 20 2.52773 20 1.44102 2.98248 
18000 14 1.77251 14 1.7731 3.51049 
19000 13 1.91352 13 1.71193 3.39195 
20000 13 1.90801 13 1.69813 3.37069 
21000 15 2.00344 15 1.67529 3.32088 
22000 13 2.13911 13 1.67162 3.29417 
23000 14 2.14468 14 1.61273 3.18816 
24000 14 2.25984 14 1.5226 3.01235 
25000 16 2.16638 16 1.59199 3.14023 
26000 14 2.13518 14 1.64643 3.24562 
27000 14 2.13882 14 1.63808 3.22989 
28000 13 2.15962 13 1.62456 3.1965 
29000 13 2.11682 13 1.6298 3.21351 
30000 15 2.33531 15 1.61138 3.18012 
31000 14 2.2671 14 1.67022 3.29589 
32000 15 2.19644 15 1.64162 3.23959 
33000 14 2.30447 14 1.56534 3.07843 
34000 15 2.31259 15 1.58921 3.11635 
35000 13 2.26919 13 1.60835 3.16231 
36000 13 2.14817 13 1.63972 3.22736 
37000 14 2.20353 14 1.62714 3.20914 
38000 13 2.11137 13 1.67722 3.29511 
39000 13 2.20699 13 1.6255 3.17989 
40000 13 2.24798 13 1.61102 3.16547 
41000 14 2.28933 14 1.62446 3.18443 
42000 14 2.22475 14 1.6319 3.20741 
43000 13 2.09036 13 1.67943 3.30939 
44000 13 2.11055 13 1.66064 3.27578 
45000 12 2.01927 12 1.65815 3.28871 
46000 13 2.04862 13 1.68805 3.3387 
47000 14 2.01372 14 1.69012 3.3364 
48000 14 2.18665 14 1.64336 3.23212 
49000 14 2.28401 14 1.57906 3.1106 
50000 15 2.21585 15 1.61759 3.18587 
51000 12 2.11708 12 1.56801 3.10658 
52000 13 2.21587 13 1.55632 3.07929 
53000 12 2.21087 12 1.55367 3.06579 
54000 13 2.19937 13 1.56983 3.10773 
55000 12 2.07819 12 1.67629 3.31839 
56000 14 2.05674 14 1.70534 3.35536 
57000 14 2.05884 14 1.70014 3.35277 
58000 13 2.05123 13 1.70291 3.36082 
59000 12 2.20567 12 1.61689 3.19138 
60000 13 2.24314 13 1.58297 3.11692 
61000 14 2.15828 14 1.60374 3.16518 
62000 12 2.11838 12 1.59311 3.15144 
63000 15 2.23598 15 1.58577 3.12209 
64000 15 2.21253 15 1.58005 3.12094 
65000 14 2.23324 14 1.63448 3.21488 
66000 12 2.21016 12 1.60778 3.15542 
67000 18 2.57824 18 1.71103 3.39845 
68000 19 2.45197 19 1.7849 3.5372 
69000 22 2.48553 22 1.76808 3.50733 
70000 20 2.53751 20 1.75146 3.46625 
71000 22 2.53629 22 1.76494 3.48664 
72000 19 2.59939 19 1.75006 3.46107 
73000 19 2.59752 19 1.73296 3.43321 
74000 20 2.52489 20 1.77236 3.51523 
75000 19 2.53645 19 1.77225 3.50891 
76000 22 2.61507 22 1.748 3.44958 
77000 20 2.55092 20 1.74469 3.46021 
78000 22 2.57177 22 1.73267 3.43547 
79000 18 2.6257 18 1.73543 3.43851 
80000 18 2.51273 18 1.78845 3.53577 
81000 19 2.69849 19 1.71321 3.3838 
82000 24 2.58959 24 1.72752 3.42028 
83000 18 2.60795 18 1.70505 3.38265 
84000 19 2.57979 19 1.71071 3.3861 
85000 18 2.64501 18 1.68064 3.32864 
86000 20 2.42934 20 1.78046 3.53921 
87000 19 2.52807 19 1.75845 3.49497 
88000 21 2.85286 21 1.73485 3.42833 
89000 21 2.72663 21 1.76092 3.48808 
90000 23 2.87437 23 1.69755 3.35651 
91000 20 2.77826 20 1.73655 3.42402 
92000 18 2.65935 18 1.72369 3.40965 
93000 20 2.5868 20 1.70076 3.368 
94000 21 2.56919 21 1.70885 3.39098 
95000 19 2.51161 19 1.75712 3.48521 
96000 21 2.64198 21 1.73111 3.4296 
97000 21 2.62829 21 1.74218 3.43809 
98000 19 2.43406 19 1.76359 3.4921 
99000 20 2.41649 20 1.8 3.56851 
100000 19 2.38082 19 1.81945 3.59925 
