# Thu Mar 13 16:04:21 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.00379522 2 0 0.000287356 
4000 2 0.0510307 2 0 0.00574548 
5000 2 0.0070156 2 0 0.000574713 
6000 2 0.00701383 2 0 0.000574548 
7000 2 0.0283941 2 0 0.00287274 
8000 2 0.00379425 2 0 0.000287274 
9000 2 0.0734466 2 0 0.00890549 
10000 3 1.34535 3 0 0.518529 
11000 3 1.50131 3 0 0.705257 
12000 7 2.41491 7 0.180165 0.976156 
13000 7 2.10666 7 0.533115 1.40276 
14000 8 2.42007 8 0.693436 1.66619 
15000 9 2.44481 9 0.783238 1.83424 
16000 10 2.763 10 0.764587 1.76702 
17000 13 3.13361 13 0.95584 1.99971 
18000 32 3.91146 32 1.49306 3.11864 
19000 35 3.79139 35 1.60948 3.40718 
20000 36 3.65759 36 1.71554 3.64005 
21000 38 3.73262 38 1.72617 3.64941 
22000 35 3.77343 35 1.71433 3.62029 
23000 41 3.87999 41 1.77773 3.77356 
24000 40 3.92321 40 1.81129 3.85312 
25000 43 3.72445 43 1.86167 4.03477 
26000 39 3.53571 39 1.87317 4.07135 
27000 42 3.57182 42 1.92745 4.19528 
28000 42 3.53937 42 1.9382 4.25359 
29000 41 3.69327 41 1.90905 4.11548 
30000 41 3.74384 41 1.88432 4.09135 
31000 40 3.76141 40 1.91027 4.10865 
32000 47 3.89666 47 1.90232 4.06263 
33000 48 3.73608 48 1.90602 4.09997 
34000 55 4.18476 55 1.83226 3.93701 
35000 50 3.96955 50 1.90987 4.17246 
36000 55 4.01451 55 1.92565 4.20454 
37000 55 4.13596 55 1.97872 4.33602 
38000 61 4.12376 61 2.01898 4.3985 
39000 65 4.18203 65 1.96316 4.30354 
40000 63 4.35959 63 1.96784 4.3387 
41000 67 4.34047 67 1.98775 4.38696 
42000 62 4.11219 62 2.08218 4.69943 
43000 66 3.99484 66 2.1305 4.85566 
44000 64 4.24872 64 2.10676 4.78413 
45000 65 4.04035 65 2.12631 4.8759 
46000 67 4.00269 67 2.1439 4.92412 
47000 59 3.8458 59 2.1801 5.03678 
48000 63 4.20821 63 2.14404 4.90721 
49000 65 3.98024 65 2.17483 4.98679 
50000 63 3.95974 63 2.15544 4.93335 
51000 68 4.23402 68 2.13673 4.87087 
52000 72 4.33325 72 2.1061 4.75776 
53000 74 4.32384 74 2.0714 4.66791 
54000 79 4.33813 79 2.09209 4.68974 
55000 73 4.43192 73 2.07176 4.6185 
56000 72 4.2413 72 2.08024 4.68314 
57000 75 4.50994 75 2.04762 4.55789 
58000 72 4.5389 72 1.98884 4.43579 
59000 70 4.50175 70 2.02676 4.53691 
60000 75 4.54712 75 2.00532 4.49986 
61000 71 4.47775 71 2.04567 4.56494 
62000 69 4.34999 69 2.06036 4.64921 
63000 66 4.20991 66 2.07565 4.7156 
64000 70 4.19125 70 2.04504 4.6455 
65000 67 4.22427 67 2.05183 4.63276 
66000 68 4.23954 68 2.05207 4.64606 
67000 64 4.20233 64 2.059 4.65402 
68000 77 4.39937 77 2.0336 4.58001 
69000 64 4.16835 64 2.04978 4.62816 
70000 75 4.44068 75 2.06354 4.60615 
71000 68 4.21486 68 2.08577 4.72069 
72000 70 4.423 70 2.06982 4.6547 
73000 73 4.38023 73 2.06362 4.64214 
74000 67 4.22363 67 2.07268 4.7 
75000 71 4.48651 71 2.07384 4.66159 
76000 66 4.30828 66 2.062 4.65805 
77000 66 4.07762 66 2.11021 4.77925 
78000 70 4.31909 70 2.05433 4.61512 
79000 75 4.35778 75 2.04273 4.53448 
80000 67 4.30383 67 2.03104 4.5069 
81000 69 4.29582 69 2.02782 4.53147 
82000 66 4.38479 66 2.02528 4.52025 
83000 74 4.40072 74 2.04708 4.58822 
84000 74 4.3899 74 2.06832 4.6455 
85000 77 4.3499 77 2.05121 4.62238 
86000 68 4.38546 68 2.02717 4.53119 
87000 76 4.37881 76 2.05184 4.54425 
88000 71 4.4605 71 2.05141 4.56067 
89000 75 4.5626 75 2.06759 4.64321 
90000 74 4.49507 74 2.06111 4.58288 
91000 76 4.68884 76 2.00886 4.48347 
92000 77 4.63097 77 1.99159 4.38506 
93000 73 4.53391 73 2.04657 4.58075 
94000 78 4.46325 78 2.03768 4.55057 
95000 75 4.38466 75 2.068 4.65191 
96000 73 4.34115 73 2.08063 4.67663 
97000 71 4.51482 71 2.08071 4.62884 
98000 66 4.38691 66 2.11444 4.7163 
99000 74 4.62987 74 2.0515 4.55201 
100000 78 4.51844 78 2.0051 4.42644 
