# Mon Feb 24 17:08:09 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 3 0.0108078 3 0 0.000861821 
3000 3 0.836383 3 0 0.24131 
4000 11 2.5658 11 0.557769 1.31417 
5000 28 3.28505 28 1.09906 2.24533 
6000 30 3.55878 30 1.21528 2.45332 
7000 28 3.27596 28 1.33225 2.65068 
8000 32 3.57628 32 1.32402 2.62051 
9000 34 3.69907 34 1.4457 2.89744 
10000 35 3.58707 35 1.51232 3.02413 
11000 38 3.61779 38 1.50213 3.00747 
12000 34 3.61163 34 1.47921 2.96265 
13000 40 3.81214 40 1.53657 3.04769 
14000 39 3.67096 39 1.53115 3.03908 
15000 36 3.75668 36 1.52229 3.02471 
16000 43 3.83784 43 1.52909 3.01379 
17000 42 4.15085 42 1.54022 3.06693 
18000 41 3.95995 41 1.55874 3.11548 
19000 48 4.16305 48 1.58317 3.15517 
20000 43 4.18644 43 1.5569 3.10945 
21000 46 4.09549 46 1.62716 3.22723 
22000 46 3.91035 46 1.64741 3.32615 
23000 47 3.59467 47 1.69799 3.40822 
24000 47 3.86921 47 1.6366 3.27837 
25000 50 4.07928 50 1.66653 3.33783 
26000 47 3.87534 47 1.75768 3.49469 
27000 52 4.13488 52 1.71306 3.40735 
28000 51 4.1269 51 1.76301 3.50374 
29000 53 4.204 53 1.71061 3.40333 
30000 48 4.0278 48 1.74763 3.47659 
31000 53 4.11837 53 1.69007 3.3611 
32000 54 4.33211 54 1.74938 3.51939 
33000 56 4.25774 56 1.77692 3.60615 
34000 53 4.29191 53 1.7917 3.62712 
35000 62 4.28841 62 1.82091 3.69922 
36000 58 4.22581 58 1.80667 3.68658 
37000 53 4.27702 53 1.81824 3.68802 
38000 59 4.03941 59 1.85535 3.79684 
39000 55 4.05053 55 1.83358 3.73111 
40000 53 4.1199 53 1.8099 3.67768 
41000 54 4.13354 54 1.77513 3.61695 
42000 54 4.10672 54 1.78213 3.61735 
43000 51 4.11259 51 1.78249 3.67337 
44000 53 4.17297 53 1.80339 3.65297 
45000 51 4.24532 51 1.77652 3.61017 
46000 57 4.23431 57 1.82807 3.72278 
47000 55 4.16659 55 1.79642 3.6389 
48000 55 3.91276 55 1.86001 3.81844 
49000 51 4.05172 51 1.85031 3.76415 
50000 53 4.13581 53 1.82143 3.68256 
51000 54 4.01227 54 1.84002 3.73858 
52000 50 3.95091 50 1.83894 3.74188 
53000 59 4.22228 59 1.87402 3.81902 
54000 61 4.47927 61 1.91783 3.95145 
55000 57 4.47397 57 1.92529 3.98219 
56000 55 4.27744 55 1.97408 4.08218 
57000 63 4.42534 63 1.93741 3.99799 
58000 64 4.5991 64 1.91599 3.94513 
59000 55 4.4283 55 1.92011 3.98621 
60000 65 4.48089 65 1.91724 3.97271 
61000 63 4.53168 63 1.92304 3.9707 
62000 57 4.47419 57 1.94363 4.02212 
63000 65 4.70414 65 1.89824 3.9322 
64000 60 4.57215 60 1.89357 3.91296 
65000 60 4.59073 60 1.9129 3.95835 
66000 60 4.579 60 1.9207 3.98765 
67000 63 4.52268 63 1.93322 4.0273 
68000 63 4.58106 63 1.95165 4.08046 
69000 62 4.43221 62 1.98639 4.20598 
70000 60 4.56636 60 1.96367 4.12094 
71000 60 4.68078 60 1.93842 4.07096 
72000 62 4.67608 62 1.93318 4.06121 
73000 63 4.55711 63 1.96272 4.09282 
74000 60 4.55031 60 2.02757 4.30968 
75000 65 4.27008 65 1.83552 3.82246 
76000 58 3.99396 58 1.90316 3.96322 
77000 62 3.99171 62 1.89539 3.94973 
78000 65 4.33747 65 1.88261 3.92675 
79000 68 4.1798 68 1.92494 4.05142 
80000 74 4.19667 74 1.92602 4.04367 
81000 69 4.18536 69 1.91324 4.02068 
82000 71 4.24988 71 1.92852 4.04596 
83000 80 4.20254 80 1.93456 4.0977 
84000 78 4.36702 78 1.87952 3.95289 
85000 78 4.37953 78 1.87882 3.95862 
86000 73 4.39669 73 1.83909 3.85263 
87000 76 4.32394 76 1.82911 3.83281 
88000 67 4.07285 67 1.87092 3.94973 
89000 68 4.36225 68 1.84733 3.88308 
90000 72 4.21335 72 1.8507 3.90316 
91000 73 4.09221 73 1.83672 3.83769 
92000 70 4.18912 70 1.85198 3.87963 
93000 64 3.99453 64 1.87254 3.92646 
94000 60 4.00201 60 1.87314 3.95633 
95000 70 4.16195 70 1.8569 3.88538 
96000 72 4.17802 72 1.84543 3.8704 
97000 68 4.09179 68 1.87317 3.94341 
98000 68 4.16192 68 1.88349 3.9684 
99000 65 4.15592 65 1.8727 3.92443 
100000 69 3.99901 69 1.85648 3.90575 
