# Wed Mar 12 21:44:49 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.9999 2 0 0.494111 
4000 5 1.01087 5 0.00718184 0.648377 
5000 5 1.57805 5 0.153404 0.806665 
6000 14 2.81898 14 0.747467 1.72249 
7000 33 3.54562 33 1.23216 2.47011 
8000 48 3.44135 48 1.62079 3.21574 
9000 53 3.89056 53 1.6676 3.28621 
10000 55 3.76945 55 1.73902 3.44413 
11000 60 3.79213 60 1.90898 3.89141 
12000 56 3.66337 56 1.94569 4.00057 
13000 62 3.72739 62 1.95731 4.00086 
14000 66 3.96728 66 1.92971 3.95259 
15000 64 4.05152 64 1.89558 3.87963 
16000 64 3.93437 64 1.91636 3.93393 
17000 61 3.9419 61 1.92468 3.94484 
18000 62 3.76461 62 1.96571 4.03562 
19000 55 3.91416 55 1.95249 3.99799 
20000 57 3.97828 57 1.9475 3.97328 
21000 59 3.83363 59 1.97128 4.03332 
22000 61 3.80309 61 1.96429 4.03016 
23000 62 3.97323 62 1.93562 3.94915 
24000 60 3.85693 60 1.95056 3.99023 
25000 65 4.10077 65 1.93792 3.95805 
26000 62 4.02669 62 1.95152 3.99196 
27000 64 4.15874 64 1.9324 3.93793 
28000 60 4.0836 60 1.9202 3.91466 
29000 54 3.90825 54 1.95 3.97242 
30000 63 4.21812 63 1.90385 3.88337 
31000 64 3.85684 64 1.97687 4.06435 
32000 60 4.04506 60 1.94587 3.99081 
33000 59 4.18573 59 1.92055 3.91121 
34000 59 4.02218 59 1.91495 3.9158 
35000 60 3.92232 60 1.95395 4.02356 
36000 54 3.92335 54 1.96372 4.01839 
37000 61 3.91328 61 1.95275 3.98564 
38000 62 4.02482 62 1.93558 3.96237 
39000 61 3.97937 61 1.95357 3.98133 
40000 64 4.10107 64 1.9332 3.94542 
41000 59 3.95246 59 1.95989 4.0204 
42000 61 3.95663 61 2.04979 4.26617 
43000 59 3.81991 59 2.04516 4.25625 
44000 55 3.80947 55 2.02394 4.21632 
45000 68 4.05088 68 2.01788 4.19506 
46000 65 4.03101 65 2.00846 4.1546 
47000 67 4.17318 67 2.03524 4.22867 
48000 67 4.16046 67 2.01598 4.19023 
49000 64 3.97888 64 2.01858 4.20626 
50000 68 3.87738 68 2.02497 4.21316 
51000 64 3.90576 64 2.00944 4.17897 
52000 65 3.94896 65 2.01734 4.20224 
53000 66 3.76074 66 2.0237 4.23039 
54000 61 3.76308 61 2.01914 4.21086 
55000 62 3.73512 62 2.02935 4.22379 
56000 63 3.89843 63 2.00877 4.18529 
57000 65 3.95119 65 2.03764 4.27837 
58000 77 4.26086 77 2.10688 4.54869 
59000 64 3.95955 64 2.16786 4.69003 
60000 71 3.88443 71 2.19326 4.78621 
61000 73 3.73883 73 2.20602 4.83884 
62000 69 3.86338 69 2.17663 4.7495 
63000 64 3.81059 64 2.17198 4.74461 
64000 70 3.80555 70 2.18138 4.77909 
65000 69 3.92983 69 2.17559 4.74605 
66000 70 3.67354 70 2.24072 4.91727 
67000 69 3.70605 69 2.21819 4.86354 
68000 67 3.50928 67 2.23827 4.92126 
69000 62 3.46702 62 2.24779 4.94255 
70000 59 3.47331 59 2.27107 5.00546 
71000 62 3.6092 62 2.26394 4.95806 
72000 67 3.79406 67 2.21387 4.84142 
73000 60 3.6462 60 2.24147 4.91724 
74000 58 3.67279 58 2.23783 4.89227 
75000 64 3.64431 64 2.25313 4.93594 
76000 59 3.60021 59 2.23783 4.91497 
77000 64 3.52899 64 2.24112 4.92789 
78000 58 3.34433 58 2.26266 4.99368 
79000 67 3.48353 67 2.2313 4.92157 
80000 59 3.22314 59 2.28399 5.07785 
81000 64 3.4374 64 2.28256 5.08618 
82000 66 3.78167 66 2.25457 5.00689 
83000 53 3.10282 53 2.31738 5.17581 
84000 56 3.41743 56 2.25189 4.99655 
85000 52 3.28429 52 2.26822 5.06034 
86000 57 3.37842 57 2.26319 5.03964 
87000 55 3.20451 55 2.28893 5.13186 
88000 66 3.3539 66 2.29753 5.13387 
89000 60 3.28802 60 2.29682 5.13186 
90000 56 3.35576 56 2.28185 5.09853 
91000 59 3.42845 59 2.2609 5.04568 
92000 63 3.44773 63 2.26784 5.06234 
93000 61 3.37717 61 2.27832 5.10428 
94000 54 3.24338 54 2.29596 5.14507 
95000 57 3.1635 57 2.32036 5.22178 
96000 61 3.32801 61 2.30884 5.17438 
97000 63 3.12941 63 2.37304 5.41741 
98000 61 2.82118 61 2.40171 5.50618 
99000 62 3.0624 62 2.3925 5.4908 
100000 64 3.40984 64 2.3909 5.47011 
