# Tue Mar  4 12:56:45 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.493024 2 0 0.107728 
4000 4 1.49534 4 0.286412 0.741741 
5000 8 2.31273 8 0.419828 1.09397 
6000 13 2.74694 13 0.375786 1.29031 
7000 14 2.86103 14 0.397316 1.31945 
8000 18 2.93193 18 0.383059 1.30497 
9000 22 3.1432 22 0.617598 1.56421 
10000 19 3.35332 19 0.698787 1.69606 
11000 23 3.07688 23 1.20665 2.39414 
12000 29 3.31393 29 1.22395 2.42775 
13000 31 3.38171 31 1.35022 2.65441 
14000 34 3.726 34 1.39985 2.74662 
15000 30 3.24197 30 1.37147 2.67165 
16000 35 3.3665 35 1.36383 2.65651 
17000 33 3.59006 33 1.32655 2.60155 
18000 37 3.9101 37 1.33378 2.63114 
19000 35 3.30407 35 1.41537 2.74195 
20000 34 3.37078 34 1.42865 2.77126 
21000 37 3.54572 37 1.4147 2.76437 
22000 36 3.4751 36 1.46283 2.84803 
23000 37 3.14188 37 1.50681 2.91267 
24000 35 3.2098 35 1.48487 2.87762 
25000 41 3.70819 41 1.54799 3.04223 
26000 47 3.89405 47 1.77379 3.52887 
27000 52 3.61209 52 1.81642 3.61505 
28000 51 3.50648 51 1.82722 3.64109 
29000 52 3.57367 52 1.8429 3.66389 
30000 50 3.58109 50 1.8127 3.61983 
31000 53 3.60571 53 1.82881 3.63832 
32000 50 3.63937 50 1.827 3.62586 
33000 59 3.82632 59 1.93777 3.96467 
34000 60 3.93594 60 1.96318 4.05431 
35000 60 3.99034 60 1.98993 4.11839 
36000 71 4.15466 71 1.99493 4.1491 
37000 71 4.16816 71 2.02723 4.24447 
38000 70 4.2571 70 2.01563 4.21718 
39000 67 4.16142 67 2.04363 4.28411 
40000 65 4.12199 65 2.04264 4.28354 
41000 60 3.81339 60 2.07845 4.38265 
42000 65 3.82523 65 2.07221 4.36541 
43000 68 3.86523 68 2.11355 4.44413 
44000 66 4.03539 66 2.08198 4.34961 
45000 64 4.03366 64 2.0791 4.35248 
46000 60 3.96992 60 2.07917 4.3453 
47000 70 4.02397 70 2.06935 4.33879 
48000 61 4.01874 61 2.07045 4.34875 
49000 65 4.08327 65 2.07725 4.35076 
50000 62 3.99581 62 2.08781 4.37259 
51000 63 4.11333 63 2.02467 4.2477 
52000 65 3.98809 65 2.05593 4.32663 
53000 67 4.03207 67 2.07929 4.36753 
54000 67 3.97869 67 2.09088 4.39586 
55000 67 4.15744 67 2.06666 4.33238 
56000 69 4.07309 69 2.07454 4.3592 
57000 58 3.82908 58 2.10509 4.43662 
58000 66 3.85141 66 2.11322 4.43867 
59000 67 3.89757 67 2.08667 4.38638 
60000 63 3.87482 63 2.10594 4.43017 
61000 69 4.00655 69 2.07713 4.36915 
62000 67 4.07488 67 2.07038 4.34339 
63000 66 3.99513 66 2.07571 4.36196 
64000 72 3.96451 72 2.07678 4.37719 
65000 66 3.84926 66 2.07442 4.37777 
66000 67 3.98438 67 2.06837 4.3476 
67000 63 4.12025 63 2.05533 4.31916 
68000 73 4.06606 73 2.06651 4.34128 
69000 68 4.07634 68 2.04958 4.2979 
70000 67 4.00267 67 2.08476 4.3746 
71000 68 4.12317 68 2.04452 4.28957 
72000 65 4.04415 65 2.06188 4.32318 
73000 66 4.13607 66 2.0695 4.34588 
74000 67 3.98497 67 2.08542 4.37414 
75000 67 3.9901 67 2.09128 4.39328 
76000 63 4.07015 63 2.06307 4.33726 
77000 66 3.93286 66 2.07888 4.37949 
78000 65 4.00683 65 2.07511 4.36541 
79000 66 3.92591 66 2.07681 4.36638 
80000 70 3.94858 70 2.09208 4.39615 
81000 66 3.83153 66 2.1063 4.44527 
82000 60 3.98595 60 2.08378 4.38351 
83000 63 4.00249 63 2.09229 4.3954 
84000 69 3.92795 69 2.10467 4.43091 
85000 63 4.07234 63 2.08533 4.36878 
86000 64 4.17486 64 2.07386 4.33055 
87000 65 4.10064 65 2.08226 4.36714 
88000 59 3.90433 59 2.07934 4.36254 
89000 62 3.80259 62 2.09892 4.42631 
90000 63 4.05278 63 2.08491 4.37518 
91000 61 3.95411 61 2.06404 4.32385 
92000 54 3.76645 54 2.08328 4.35794 
93000 64 3.93149 64 2.07887 4.35536 
94000 58 3.99335 58 2.05592 4.30192 
95000 62 3.88412 62 2.0624 4.3387 
96000 64 3.89483 64 2.0863 4.39684 
97000 62 3.92916 62 2.05826 4.3364 
98000 63 4.23828 63 2.02954 4.25682 
99000 58 3.94714 58 2.06094 4.3453 
100000 60 4.03841 60 2.05348 4.33036 
