# Fri Feb 28 12:30:57 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 5 0.464292 5 0.0206837 0.0950876 
3000 5 1.75262 5 0.108046 0.673563 
4000 5 1.54255 5 0.166332 0.954036 
5000 6 1.75135 6 0.505315 1.44729 
6000 8 1.80983 8 0.712755 1.67165 
7000 24 2.93399 24 1.43957 2.85636 
8000 30 3.19783 30 1.54396 3.06492 
9000 35 2.73749 35 1.80196 3.61534 
10000 34 2.61379 34 1.83527 3.67739 
11000 36 2.63629 36 1.84532 3.69319 
12000 37 2.64114 37 1.87081 3.76156 
13000 44 2.99599 44 1.9185 3.87877 
14000 48 2.89269 48 2.0926 4.40793 
15000 42 2.72666 42 2.10392 4.43781 
16000 47 2.83925 47 2.0851 4.38897 
17000 44 2.74643 44 2.09225 4.41569 
18000 49 2.73484 49 2.11018 4.4493 
19000 45 2.87629 45 2.09288 4.40592 
20000 46 2.63155 46 2.11996 4.48061 
21000 49 2.81928 49 2.12555 4.50646 
22000 54 2.89863 54 2.11832 4.4944 
23000 51 3.0744 51 2.11699 4.48406 
24000 53 3.05736 53 2.12311 4.49411 
25000 46 2.97295 46 2.1308 4.51853 
26000 51 3.09203 51 2.14996 4.54754 
27000 51 2.86692 51 2.17078 4.60615 
28000 53 2.78944 53 2.17703 4.62712 
29000 49 2.91416 49 2.16906 4.59207 
30000 49 2.96247 49 2.16587 4.5915 
31000 53 2.93996 53 2.16645 4.59224 
32000 49 2.86002 49 2.17678 4.61994 
33000 50 2.8018 50 2.18568 4.64378 
34000 55 3.01855 55 2.16319 4.58649 
35000 61 3.13426 61 2.16277 4.58058 
36000 61 2.99459 61 2.17015 4.61063 
37000 57 3.06578 57 2.17482 4.61379 
38000 55 3.02646 55 2.19495 4.66236 
39000 55 2.99735 55 2.20008 4.66906 
40000 63 2.9861 63 2.19968 4.68199 
41000 55 2.98776 55 2.18966 4.65987 
42000 51 3.03058 51 2.18254 4.62798 
43000 59 3.04647 59 2.17245 4.60414 
44000 62 3.00179 62 2.18336 4.6273 
45000 53 2.91006 53 2.1868 4.6366 
46000 57 2.98823 57 2.16193 4.58144 
47000 49 2.95245 49 2.1752 4.6023 
48000 54 2.94693 54 2.16736 4.59253 
49000 53 2.94305 53 2.16983 4.59523 
50000 50 2.82305 50 2.17589 4.61419 
51000 47 2.92223 47 2.16236 4.58851 
52000 47 2.80953 47 2.18211 4.6254 
53000 51 2.96886 51 2.16689 4.58862 
54000 50 2.91542 50 2.16895 4.59408 
55000 54 2.9153 54 2.16832 4.60184 
56000 49 2.74939 49 2.17904 4.6366 
57000 47 2.92905 47 2.15845 4.57545 
58000 46 2.91633 46 2.17401 4.60385 
59000 46 2.77894 46 2.18489 4.6343 
60000 46 2.77555 46 2.18719 4.64062 
61000 48 2.88349 48 2.16111 4.57857 
62000 47 2.94552 47 2.16082 4.57328 
63000 46 2.72104 46 2.19254 4.65632 
64000 49 2.90275 49 2.17545 4.61523 
65000 50 2.88828 50 2.18271 4.62425 
66000 50 2.81647 50 2.1717 4.6084 
67000 52 2.9701 52 2.17254 4.605 
68000 50 2.91552 50 2.18037 4.62022 
69000 49 2.89718 49 2.17371 4.6139 
70000 48 3.03171 48 2.15644 4.56535 
71000 52 2.97339 52 2.16832 4.59684 
72000 53 3.09094 53 2.15705 4.56954 
73000 50 2.99514 50 2.14236 4.54237 
74000 48 3.28801 48 1.94533 4.02097 
75000 45 3.14651 45 1.9681 4.0658 
76000 42 3.02945 42 1.95076 4.02413 
77000 44 3.1189 44 1.92322 3.9661 
78000 45 2.99833 45 1.92413 3.9569 
79000 46 2.97963 46 1.95772 4.03648 
80000 46 2.968 46 1.93954 3.99224 
81000 45 3.02772 45 1.92921 3.97817 
82000 51 2.98506 51 1.9259 3.96352 
83000 44 3.03033 44 1.90519 3.92186 
84000 47 2.93984 47 1.94542 4.00804 
85000 52 3.01047 52 1.94332 4.00804 
86000 40 2.83787 40 1.94751 4.00632 
87000 53 3.11477 53 1.93748 3.99138 
88000 48 3.31419 48 1.95038 4.01092 
89000 52 3.19762 52 1.94072 4.01207 
90000 51 3.22162 51 1.97527 4.1241 
91000 59 3.33303 59 1.96663 4.12583 
92000 55 3.37084 55 1.96199 4.11692 
93000 57 3.34688 57 1.9604 4.1241 
94000 49 3.18071 49 1.97697 4.14479 
95000 46 2.966 46 1.99817 4.20345 
96000 51 2.87013 51 1.97974 4.16092 
97000 48 2.87529 48 1.98166 4.14717 
98000 48 2.90003 48 1.98939 4.17265 
99000 53 2.83686 53 1.97371 4.11836 
100000 47 2.90172 47 1.9893 4.16638 
