# Wed Feb 26 05:20:12 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.140439 2 0 0.0198219 
4000 11 1.88063 11 0.825301 1.72134 
5000 10 1.72495 10 1.26128 2.49526 
6000 10 1.46559 10 1.33633 2.61706 
7000 15 2.06799 15 1.40206 2.71782 
8000 16 1.94348 16 1.44382 2.77736 
9000 16 2.07849 16 1.42472 2.74569 
10000 17 2.23487 17 1.41279 2.72364 
11000 17 1.35825 17 1.48284 2.83338 
12000 15 1.22957 15 1.49735 2.85952 
13000 14 1.28786 14 1.48068 2.83022 
14000 20 1.31845 20 1.4846 2.83654 
15000 17 1.20856 17 1.49747 2.86498 
16000 18 1.39049 18 1.47758 2.82529 
17000 16 1.29882 16 1.47715 2.82333 
18000 17 1.56526 17 1.42953 2.74232 
19000 18 1.50475 18 1.43677 2.75668 
20000 16 1.44981 16 1.45894 2.78972 
21000 18 1.31299 18 1.46842 2.80896 
22000 32 2.32241 32 1.68908 3.33295 
23000 32 2.30237 32 1.89254 3.9075 
24000 29 2.11248 29 1.92033 3.9661 
25000 31 2.12894 31 1.9322 3.9977 
26000 31 2.14885 31 1.9012 3.90865 
27000 34 2.29822 34 1.89785 3.91095 
28000 35 2.42759 35 1.89313 3.90692 
29000 36 2.40233 36 1.90277 3.91698 
30000 36 2.13747 36 1.92162 3.96064 
31000 54 2.8882 54 2.1986 4.682 
32000 53 2.97497 53 2.23188 4.75955 
33000 52 3.03218 52 2.22605 4.75237 
34000 52 3.00978 52 2.24277 4.78908 
35000 49 2.88892 49 2.24615 4.79805 
36000 55 3.2605 55 2.2065 4.684 
37000 58 3.16448 58 2.20352 4.6796 
38000 58 3.07157 58 2.20448 4.68199 
39000 55 3.04757 55 2.17427 4.59581 
40000 52 2.97324 52 2.18557 4.62453 
41000 49 3.0173 49 2.19373 4.64665 
42000 65 3.35394 65 2.20284 4.68879 
43000 57 3.07911 57 2.32561 5.12845 
44000 58 3.00305 58 2.36825 5.27414 
45000 60 3.06297 60 2.36466 5.25747 
46000 54 3.08862 54 2.3829 5.31026 
47000 61 3.26191 61 2.37464 5.29158 
48000 53 2.98877 53 2.41478 5.41264 
49000 52 2.93056 52 2.41391 5.4154 
50000 56 3.01122 56 2.40157 5.37769 
51000 52 3.04185 52 2.40474 5.37777 
52000 57 3.06909 57 2.39032 5.33094 
53000 52 3.01893 52 2.3926 5.3318 
54000 54 3.02501 54 2.38467 5.31772 
55000 54 3.00789 54 2.39796 5.34799 
56000 51 2.97372 51 2.40419 5.3746 
57000 53 2.97054 53 2.39526 5.35076 
58000 55 2.98815 55 2.39938 5.37471 
59000 50 2.8317 50 2.42697 5.45632 
60000 55 3.01148 55 2.39596 5.35201 
61000 52 2.87577 52 2.42175 5.43177 
62000 58 2.99754 58 2.39677 5.3569 
63000 56 2.95262 56 2.40757 5.39856 
64000 61 2.9099 61 2.42158 5.43493 
65000 46 2.76964 46 2.42704 5.46653 
66000 54 2.78991 54 2.43289 5.47257 
67000 52 2.97189 52 2.4258 5.45016 
68000 50 2.92074 50 2.41227 5.39816 
69000 54 3.05544 54 2.39227 5.3342 
70000 50 2.90271 50 2.39908 5.36742 
71000 56 2.95701 56 2.39056 5.33697 
72000 56 2.91175 56 2.39278 5.34684 
73000 52 2.99173 52 2.38795 5.32979 
74000 53 2.95637 53 2.40023 5.36398 
75000 44 2.81544 44 2.40656 5.39127 
76000 53 2.94 53 2.40727 5.3838 
77000 56 2.94565 56 2.40968 5.3973 
78000 53 2.96677 53 2.41151 5.40546 
79000 50 2.88037 50 2.41706 5.41942 
80000 58 3.02883 58 2.4068 5.38495 
81000 49 3.09122 49 2.39383 5.34052 
82000 54 3.08215 54 2.38342 5.31026 
83000 56 3.05494 56 2.39272 5.34502 
84000 53 3.0562 53 2.40166 5.36656 
85000 48 2.96575 48 2.38936 5.32203 
86000 54 2.9726 54 2.39038 5.31379 
87000 56 2.98054 56 2.3798 5.30259 
88000 49 2.92152 49 2.39934 5.35632 
89000 59 3.08795 59 2.37126 5.26975 
90000 56 3.0099 56 2.39513 5.34703 
91000 55 3.04839 55 2.38596 5.31859 
92000 55 3.05652 55 2.3911 5.33783 
93000 63 3.44766 63 2.43788 5.52989 
94000 63 2.93777 63 2.52351 5.87044 
95000 60 3.05697 60 2.52023 5.85579 
96000 60 2.89785 60 2.52421 5.88193 
97000 60 2.92284 60 2.51862 5.86038 
98000 64 3.08961 64 2.51501 5.84545 
99000 60 3.12418 60 2.50911 5.81988 
100000 61 3.01129 61 2.52288 5.87385 
