# Sun Mar  2 11:43:34 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 4 0.570993 4 0 0.103419 
2000 6 1.03769 6 0.833668 1.79 
3000 8 1.52277 8 1.25186 2.46883 
4000 12 1.64955 12 1.34265 2.61695 
5000 11 0.961181 11 1.47025 2.81356 
6000 11 0.732736 11 1.50052 2.86613 
7000 18 1.08863 18 1.50546 2.87475 
8000 15 0.764805 15 1.51425 2.88908 
9000 18 0.728361 18 1.52132 2.90175 
10000 19 1.46879 19 1.41759 2.7291 
11000 22 1.41982 22 1.73426 3.4786 
12000 23 1.37558 23 1.75496 3.52715 
13000 23 1.48585 23 1.74964 3.51336 
14000 29 1.73142 29 1.81647 3.62252 
15000 33 1.96499 33 1.83603 3.64407 
16000 42 2.15957 42 2.01793 4.22321 
17000 32 1.64037 32 2.09911 4.43966 
18000 33 1.58391 33 2.09937 4.45303 
19000 36 1.68799 36 2.09612 4.43333 
20000 39 1.69034 39 2.09927 4.44757 
21000 39 1.68667 39 2.10446 4.45188 
22000 40 1.75654 40 2.10354 4.44381 
23000 43 1.76321 43 2.09954 4.43621 
24000 37 1.80487 37 2.09923 4.43637 
25000 35 1.64428 35 2.11297 4.47228 
26000 36 1.66849 36 2.114 4.47228 
27000 36 1.68699 36 2.09878 4.447 
28000 34 1.57947 34 2.11501 4.47716 
29000 36 1.68664 36 2.0985 4.44527 
30000 37 1.72321 37 2.10258 4.45303 
31000 38 1.71527 38 2.10004 4.44384 
32000 36 1.60413 36 2.10439 4.46092 
33000 35 1.7088 35 2.10821 4.45993 
34000 36 1.69718 36 2.10141 4.44211 
35000 41 1.99783 41 2.11241 4.49009 
36000 38 1.992 38 2.32492 5.22924 
37000 38 1.99526 38 2.28659 5.12443 
38000 39 1.79923 39 2.31743 5.21316 
39000 35 1.84877 35 2.30699 5.18741 
40000 41 1.83227 41 2.30097 5.1796 
41000 38 1.87283 38 2.30002 5.17581 
42000 40 1.84959 40 2.28939 5.15575 
43000 43 1.75761 43 2.32369 5.23815 
44000 38 1.7343 38 2.33164 5.2663 
45000 36 1.80675 36 2.31882 5.21862 
46000 38 1.71406 38 2.32876 5.24533 
47000 35 1.75507 35 2.31128 5.20712 
48000 35 1.75937 35 2.30863 5.20712 
49000 37 1.79526 37 2.32073 5.2212 
50000 42 1.89681 42 2.29007 5.15029 
51000 36 1.79943 36 2.31515 5.21574 
52000 36 1.77653 36 2.31678 5.21667 
53000 36 1.96043 36 2.29972 5.16288 
54000 38 1.8773 38 2.32292 5.23011 
55000 37 1.87465 37 2.29336 5.15427 
56000 38 1.83751 38 2.30113 5.17529 
57000 39 1.8882 39 2.30225 5.18788 
58000 37 1.86315 37 2.30123 5.17524 
59000 34 1.82046 34 2.30187 5.18328 
60000 37 1.93328 37 2.29253 5.15024 
61000 42 1.87084 42 2.30552 5.18845 
62000 43 1.85072 43 2.32159 5.2393 
63000 41 1.94598 41 2.29743 5.1692 
64000 39 1.88708 39 2.30543 5.18328 
65000 32 1.84599 32 2.29292 5.15858 
66000 40 1.86239 40 2.29997 5.16863 
67000 38 1.81309 38 2.31408 5.21897 
68000 41 1.87001 41 2.30443 5.18903 
69000 34 1.85549 34 2.301 5.18276 
70000 42 1.85759 42 2.31313 5.21316 
71000 36 1.82371 36 2.317 5.22292 
72000 35 1.89945 35 2.29593 5.1578 
73000 40 1.75865 40 2.31257 5.21172 
74000 35 1.80492 35 2.3163 5.21057 
75000 39 1.89396 39 2.29592 5.16753 
76000 40 1.94168 40 2.30706 5.18989 
77000 44 1.97774 44 2.30183 5.18587 
78000 42 2.02643 42 2.28932 5.14828 
79000 44 2.01768 44 2.30303 5.17782 
80000 41 1.92184 41 2.31914 5.21948 
81000 36 1.83366 36 2.31241 5.21632 
82000 39 1.9714 39 2.29493 5.15886 
83000 42 1.98622 42 2.28922 5.14766 
84000 46 2.06009 46 2.28463 5.1264 
85000 38 1.92613 38 2.30578 5.19132 
86000 41 1.87812 41 2.3151 5.21344 
87000 40 1.87793 40 2.30648 5.1954 
88000 39 1.92251 39 2.31408 5.21379 
89000 40 1.86649 40 2.30786 5.2031 
90000 40 1.93182 40 2.3041 5.19075 
91000 37 1.88071 37 2.31409 5.20856 
92000 40 1.8013 40 2.32245 5.22896 
93000 40 1.80821 40 2.31959 5.22752 
94000 35 1.94887 35 2.28783 5.13818 
95000 41 1.8647 41 2.31488 5.21402 
96000 38 1.81912 38 2.31375 5.20977 
97000 37 1.81723 37 2.32569 5.2408 
98000 39 1.87889 39 2.31631 5.21632 
99000 44 1.87757 44 2.30774 5.19966 
100000 43 1.83969 43 2.32331 5.2393 
