# Thu Mar 13 13:38:19 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 4 1.6706 4 0 0.716174 
4000 11 1.92241 11 0.937854 1.93939 
5000 10 0.808303 10 0.980675 1.97902 
6000 11 0.673331 11 1.50463 2.87389 
7000 14 1.0213 14 1.50837 2.88107 
8000 15 0.778757 15 1.50614 2.87101 
9000 23 1.73577 23 1.70688 3.34186 
10000 19 0.786812 19 2.24469 4.81729 
11000 18 0.731264 18 2.2548 4.83654 
12000 21 0.706464 21 2.25434 4.84056 
13000 22 0.754934 22 2.23469 4.80259 
14000 20 0.738691 20 2.25977 4.84741 
15000 22 0.882748 22 2.23398 4.79201 
16000 21 0.708569 21 2.2598 4.84918 
17000 22 0.915664 22 2.22754 4.77794 
18000 18 0.791812 18 2.24724 4.81959 
19000 23 0.882912 23 2.23454 4.79 
20000 20 0.917393 20 2.23436 4.78563 
21000 24 0.815034 24 2.23685 4.80034 
22000 24 0.807851 24 2.25036 4.82505 
23000 21 0.876823 21 2.23604 4.79288 
24000 24 0.982512 24 2.22572 4.76903 
25000 20 0.8742 20 2.23012 4.78598 
26000 22 0.967435 22 2.23056 4.77736 
27000 23 0.919426 23 2.22912 4.78225 
28000 23 0.948393 23 2.22636 4.77305 
29000 22 1.02824 22 2.21723 4.74691 
30000 22 0.953613 22 2.23112 4.78196 
31000 21 0.822461 21 2.24977 4.81959 
32000 23 0.905763 23 2.23694 4.79259 
33000 26 0.935549 26 2.22895 4.77822 
34000 22 0.972097 22 2.22979 4.77708 
35000 22 0.984169 22 2.22275 4.76271 
36000 24 1.02985 24 2.21808 4.75 
37000 22 0.882054 22 2.23076 4.78368 
38000 23 0.95182 23 2.22831 4.77529 
39000 23 0.955525 23 2.231 4.77794 
40000 20 1.00016 20 2.22077 4.75955 
41000 24 1.12544 24 2.20601 4.72048 
42000 22 0.949019 22 2.21898 4.75955 
43000 22 0.948232 22 2.22584 4.77277 
44000 23 0.961587 23 2.23218 4.7811 
45000 25 1.07385 25 2.21107 4.73628 
46000 26 0.923176 26 2.2315 4.78225 
47000 23 0.915424 23 2.2316 4.7834 
48000 22 0.914043 22 2.23334 4.78713 
49000 19 0.848592 19 2.24492 4.81327 
50000 23 0.964799 23 2.22702 4.77076 
51000 22 0.866143 22 2.2263 4.77937 
52000 19 0.863007 19 2.24031 4.80316 
53000 25 0.865381 25 2.23375 4.79201 
54000 20 0.951276 20 2.22964 4.77679 
55000 21 0.81749 21 2.24835 4.82275 
56000 19 0.817454 19 2.2407 4.80862 
57000 21 0.888099 21 2.23226 4.78914 
58000 19 0.909734 19 2.23493 4.78828 
59000 20 0.845647 20 2.23968 4.80293 
60000 20 0.867923 20 2.23522 4.79374 
61000 24 0.798946 24 2.24689 4.81787 
62000 22 0.811199 22 2.24549 4.81466 
63000 23 0.836743 23 2.2454 4.81121 
64000 21 0.790209 21 2.24323 4.81293 
65000 17 0.679037 17 2.2582 4.84487 
66000 21 0.803225 21 2.25212 4.82591 
67000 18 0.753699 18 2.25169 4.82993 
68000 21 0.899795 21 2.23281 4.78569 
69000 22 0.823612 22 2.25078 4.82132 
70000 18 0.804281 18 2.24407 4.81298 
71000 20 0.853794 20 2.24106 4.80115 
72000 22 0.863167 22 2.2407 4.80322 
73000 19 0.683521 19 2.25145 4.83539 
74000 22 0.818943 22 2.23608 4.79632 
75000 22 0.840073 22 2.24597 4.81442 
76000 24 0.833424 24 2.24178 4.80839 
77000 24 0.852353 24 2.23565 4.79253 
78000 19 0.773274 19 2.24088 4.81155 
79000 20 0.837806 20 2.24249 4.80695 
80000 24 0.828789 24 2.24755 4.81753 
81000 19 0.789624 19 2.25362 4.83194 
82000 24 0.841082 24 2.23725 4.79891 
83000 20 0.732402 20 2.25455 4.83941 
84000 25 0.825427 25 2.24052 4.80666 
85000 22 0.940665 22 2.23093 4.78218 
86000 22 0.829613 22 2.24253 4.80896 
87000 21 0.877151 21 2.23959 4.79776 
88000 21 0.783246 21 2.24856 4.82103 
89000 21 0.882129 21 2.23919 4.79862 
90000 20 0.868813 20 2.23909 4.79546 
91000 19 0.793414 19 2.24542 4.8158 
92000 22 0.840927 22 2.24097 4.80259 
93000 20 0.762785 20 2.25539 4.83597 
94000 18 0.717172 18 2.25447 4.83798 
95000 22 0.79538 22 2.24552 4.81758 
96000 20 0.780501 20 2.24537 4.8193 
97000 20 0.820706 20 2.23809 4.80063 
98000 21 0.805853 21 2.23762 4.80092 
99000 20 0.845882 20 2.23864 4.80063 
100000 20 0.799227 20 2.2408 4.80982 
