# Wed Sep 24 18:19:53 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 3 0.103239 3 0 0.0120655 
6000 3 0.0844817 3 0 0.00919276 
7000 3 0.54697 3 0 0.0948003 
8000 4 0.734294 4 0 0.128411 
9000 4 0.931744 4 0 0.197357 
10000 6 1.07577 6 0.0261419 0.223212 
11000 6 1.00518 6 0.000574548 0.206263 
12000 6 1.18423 6 0.0192473 0.271761 
13000 6 1.13598 6 0.0281609 0.244828 
14000 7 1.01568 7 0.0105859 0.220339 
15000 5 1.10659 5 0.0155128 0.24763 
16000 4 1.03529 4 0 0.232979 
17000 5 1.17662 5 0.0109164 0.267165 
18000 5 1.64751 5 0.0384947 0.4131 
19000 5 1.58687 5 0.0313218 0.380747 
20000 6 1.58396 6 0.00718391 0.387356 
21000 6 1.43099 6 0.00976731 0.325768 
22000 5 1.63301 5 0.00632002 0.419994 
23000 5 1.58679 5 0.00689457 0.382936 
24000 7 1.59249 7 0.0301637 0.371158 
25000 7 1.78651 7 0.0913531 0.4763 
26000 10 2.04047 10 0.0647614 0.487216 
27000 9 1.96679 9 0.0393565 0.457053 
28000 15 2.22441 15 0.10923 0.551853 
29000 14 2.50541 14 0.210964 0.742028 
30000 12 2.62056 12 0.241311 0.789716 
31000 11 2.72866 11 0.271669 0.855214 
32000 11 2.76907 11 0.254598 0.836494 
33000 20 3.15022 20 0.313534 0.978454 
34000 19 3.02529 19 0.267657 0.896294 
35000 19 2.95272 19 0.282294 0.924734 
36000 17 2.89115 17 0.222711 0.848032 
37000 18 3.00098 18 0.262288 0.877909 
38000 20 3.21575 20 0.280018 0.951738 
39000 18 3.19063 18 0.298901 0.979598 
40000 19 3.33352 19 0.276755 1.0474 
41000 19 3.01996 19 0.173563 0.848319 
42000 21 3.11904 21 0.19537 0.894858 
43000 17 3.04174 17 0.259364 0.933065 
44000 18 3.10694 18 0.238149 0.953174 
45000 19 3.36071 19 0.312271 1.05429 
46000 22 3.33526 22 0.367401 1.14651 
47000 25 3.43086 25 0.344181 1.09914 
48000 20 3.37539 20 0.314439 1.05113 
49000 21 3.52175 21 0.367103 1.16461 
50000 26 3.54801 26 0.341666 1.15312 
51000 25 3.54326 25 0.340294 1.09997 
52000 23 3.50698 23 0.270407 1.03678 
53000 25 3.56278 25 0.247765 1.03218 
54000 23 3.43139 23 0.244835 0.942833 
55000 23 3.39164 23 0.284967 1.00546 
56000 24 3.47598 24 0.261458 1.03419 
57000 21 3.42417 21 0.29997 1.05489 
58000 18 3.46648 18 0.344406 1.14191 
59000 23 3.49137 23 0.301774 1.08302 
60000 27 3.52129 27 0.292106 1.08589 
61000 20 3.27671 20 0.238695 0.979604 
62000 21 3.41057 21 0.274975 1.02672 
63000 17 3.16384 17 0.172398 0.865269 
64000 16 3.21991 16 0.174256 0.895432 
65000 19 3.33481 19 0.183714 0.957196 
66000 19 3.33164 19 0.273897 1.04424 
67000 17 3.22013 17 0.209423 0.959782 
68000 15 1.57364 15 0.777363 1.71589 
69000 15 1.46961 15 0.811272 1.76386 
70000 15 1.46768 15 0.814698 1.76271 
71000 15 1.56509 15 0.775401 1.73111 
72000 16 1.96162 16 0.861984 1.84861 
73000 19 1.98961 19 0.953269 1.99684 
74000 20 1.97795 20 0.924663 1.95231 
75000 15 1.88751 15 0.873357 1.8555 
76000 12 2.02259 12 0.811619 1.81069 
77000 14 2.19983 14 0.783538 1.77248 
78000 13 2.14504 13 0.813332 1.80379 
79000 15 2.1813 15 0.790682 1.77851 
80000 14 2.18328 14 0.745275 1.71818 
81000 14 2.04213 14 0.822883 1.81442 
82000 14 2.18353 14 0.787202 1.79316 
83000 18 2.26528 18 0.752323 1.74346 
84000 22 2.91117 22 0.981392 2.09739 
85000 22 2.7984 22 1.03764 2.16087 
86000 25 3.06545 25 1.10488 2.30939 
87000 26 3.17763 26 1.13088 2.3522 
88000 21 3.13723 21 1.09743 2.31169 
89000 24 3.27424 24 1.10229 2.26688 
90000 25 3.1086 25 1.08393 2.22407 
91000 23 3.23231 23 0.994303 2.08503 
92000 20 3.01999 20 0.917517 1.97213 
93000 25 3.35079 25 0.914857 1.98564 
94000 27 3.62435 27 0.935641 2.02787 
95000 24 3.79306 24 1.01717 2.1692 
96000 24 3.76424 24 1.02379 2.14594 
97000 25 3.77471 25 1.0616 2.22752 
98000 27 3.7363 27 1.18506 2.44298 
99000 26 3.82812 26 1.2696 2.54611 
100000 24 3.7188 24 1.22904 2.50589 
