# Thu Mar  6 18:25:37 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0070156 2 0 0.000574713 
3000 1 0 1 0 0 
4000 2 0.0183081 2 0 0.00172364 
5000 2 0.278968 2 0 0.048262 
6000 2 0.448541 2 0 0.0936512 
7000 3 0.363515 3 0 0.0680839 
8000 2 0.399664 2 0 0.0792876 
9000 2 0.369483 2 0 0.0709566 
10000 2 0.473442 2 0 0.101408 
11000 2 0.477048 2 0 0.102557 
12000 2 0.408745 2 0 0.081873 
13000 2 0.278968 2 0 0.048262 
14000 3 0.766721 3 0 0.173851 
15000 4 1.18919 4 0 0.259983 
16000 4 1.35646 4 0 0.306521 
17000 5 1.42202 5 0.00402299 0.335632 
18000 4 1.33226 4 0 0.300201 
19000 5 1.50846 5 0 0.376616 
20000 4 1.26856 4 0 0.273485 
21000 5 1.36911 5 0.000574548 0.307096 
22000 5 1.39958 5 0.00316001 0.311979 
23000 5 1.32641 5 0.00746912 0.287274 
24000 5 1.41019 5 0.030451 0.322896 
25000 4 1.38928 4 0 0.326149 
26000 6 1.48733 6 0.0152255 0.349899 
27000 6 1.49099 6 0.0140805 0.345977 
28000 4 1.42196 4 0 0.331227 
29000 4 1.46808 4 0 0.34875 
30000 4 1.32722 4 0 0.298563 
31000 5 1.3925 5 0.00574548 0.309968 
32000 4 1.31907 4 0 0.292732 
33000 4 1.39582 4 0 0.324332 
34000 4 1.29127 4 0 0.281816 
35000 4 1.26351 4 0 0.273197 
36000 4 1.24019 4 0 0.265441 
37000 5 1.36361 5 0.000287274 0.318587 
38000 4 1.30496 4 0 0.289285 
39000 4 1.32268 4 0 0.295605 
40000 4 1.28712 4 0 0.280379 
41000 4 1.28742 4 0 0.282759 
42000 4 1.3983 4 0 0.318587 
43000 6 1.25839 6 0.00603275 0.261419 
44000 4 1.23305 4 0 0.26027 
45000 4 1.21868 4 0 0.254885 
46000 4 1.26983 4 0 0.270612 
47000 4 1.21888 4 0 0.255747 
48000 4 1.31749 4 0 0.294456 
49000 5 1.22402 5 0.00172364 0.258546 
50000 4 1.22616 4 0 0.260557 
51000 4 1.13893 4 0 0.231255 
52000 6 1.30673 6 0.0066073 0.281816 
53000 5 1.40402 5 0.0293103 0.31954 
54000 5 1.43887 5 0.0517241 0.352874 
55000 5 1.40276 5 0.0206837 0.317725 
56000 7 1.54232 7 0.030451 0.359667 
57000 7 1.47537 7 0.060902 0.356794 
58000 6 1.40177 6 0.0235564 0.314852 
59000 7 1.54214 7 0.0505747 0.366667 
60000 8 1.61253 8 0.0791683 0.401609 
61000 7 1.51057 7 0.135306 0.429187 
62000 7 1.54424 7 0.0465384 0.361965 
63000 9 1.75339 9 0.041092 0.38908 
64000 8 1.76505 8 0.0370583 0.393565 
65000 10 1.80526 10 0.0930767 0.446998 
66000 9 1.77633 9 0.0479747 0.404769 
67000 7 1.78271 7 0.090204 0.436656 
68000 10 1.79369 10 0.0741166 0.429762 
69000 8 1.82474 8 0.0931255 0.467969 
70000 10 1.66048 10 0.0643277 0.398449 
71000 9 1.70767 9 0.0640621 0.411376 
72000 9 1.80906 9 0.085033 0.434645 
73000 10 1.62223 10 0.0263175 0.335632 
74000 5 1.50146 5 0 0.310543 
75000 8 1.71651 8 0.016092 0.370115 
76000 7 1.73469 7 0.0488365 0.400747 
77000 8 1.84764 8 0.101982 0.462223 
78000 9 2.04514 9 0.121907 0.525998 
79000 6 1.55303 6 0.00258546 0.322608 
80000 8 1.66252 8 0.01264 0.35191 
81000 7 1.70101 7 0.0698075 0.407067 
82000 10 2.01152 10 0.0548693 0.474002 
83000 14 2.33286 14 0.081781 0.536915 
84000 13 2.39588 13 0.0519966 0.532031 
85000 12 2.4571 12 0.0430911 0.55846 
86000 11 2.31972 11 0.0129273 0.503878 
87000 12 2.34299 12 0.0106322 0.525862 
88000 12 2.28976 12 0.0158489 0.505027 
89000 10 2.24942 10 0.0359092 0.481471 
90000 11 2.35398 11 0.0293019 0.510773 
91000 10 2.3652 10 0.0244183 0.527147 
92000 11 2.20471 11 0.00344729 0.475725 
93000 10 2.24589 10 0.0295892 0.479747 
94000 13 2.24597 13 0.0376817 0.484344 
95000 13 2.58883 13 0.10428 0.623097 
96000 13 2.59546 13 0.0568966 0.568391 
97000 11 2.51016 11 0.0324619 0.538638 
98000 11 2.72341 11 0.078713 0.635162 
99000 15 2.85933 15 0.0925287 0.677874 
100000 13 2.75529 13 0.0364838 0.624533 
