# Mon Apr 28 12:01:53 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.0286289 2 0 0.00290058 
4000 3 0.158715 3 0 0.0225 
5000 4 0.524822 4 0 0.1151 
6000 4 0.675543 4 0 0.142214 
7000 3 0.892159 3 0 0.191519 
8000 6 1.29906 6 0.0049 0.2782 
9000 7 1.52175 7 0.0536 0.3582 
10000 7 1.42467 7 0.0424042 0.326533 
11000 8 1.50991 8 0.0677 0.3525 
12000 8 1.53043 8 0.0706943 0.355336 
13000 8 1.59212 8 0.101501 0.4002 
14000 13 2.13105 13 0.168393 0.570457 
15000 12 2.09202 12 0.152908 0.5363 
16000 14 2.09101 14 0.176542 0.5597 
17000 17 2.26537 17 0.159862 0.5644 
18000 18 2.43831 18 0.150678 0.5946 
19000 17 2.45371 17 0.1515 0.590359 
20000 18 2.34558 18 0.133896 0.5503 
21000 16 2.51297 16 0.140868 0.6082 
22000 18 2.5776 18 0.122612 0.629963 
23000 16 2.62847 16 0.135203 0.657066 
24000 18 2.59965 18 0.144316 0.6436 
25000 19 2.70014 19 0.165748 0.687369 
26000 16 2.51925 16 0.123521 0.6062 
27000 17 2.63027 17 0.138188 0.6396 
28000 16 2.67119 16 0.143972 0.6538 
29000 15 2.53817 15 0.129918 0.6153 
30000 16 2.61378 16 0.129423 0.6286 
31000 18 2.57456 18 0.132542 0.626 
32000 16 2.53997 16 0.144521 0.620962 
33000 18 2.62203 18 0.176118 0.6669 
34000 20 2.60387 20 0.153235 0.644 
35000 19 2.74627 19 0.13873 0.6518 
36000 21 2.901 21 0.169753 0.7104 
37000 17 2.80002 17 0.161487 0.674435 
38000 19 2.92321 19 0.155401 0.6994 
39000 18 2.85617 18 0.181144 0.7185 
40000 20 2.86396 20 0.167196 0.6953 
41000 19 2.77575 19 0.145697 0.6561 
42000 16 2.75023 16 0.1448 0.6601 
43000 16 2.73083 16 0.1151 0.6364 
44000 18 2.68777 18 0.143317 0.6402 
45000 16 2.81384 16 0.139151 0.6762 
46000 19 2.85879 19 0.171718 0.691 
47000 20 2.96407 20 0.211689 0.7439 
48000 21 2.9423 21 0.233128 0.794479 
49000 26 3.0023 26 0.248471 0.7965 
50000 25 2.88064 25 0.241235 0.7737 
51000 28 2.87918 28 0.242591 0.7711 
52000 27 3.04365 27 0.282533 0.833283 
53000 27 2.88856 27 0.241962 0.786579 
54000 31 2.94287 31 0.257863 0.8241 
55000 27 2.90276 27 0.259492 0.824 
56000 25 2.95502 25 0.258798 0.807662 
57000 34 3.09724 34 0.337689 0.9149 
58000 27 3.06641 27 0.304293 0.881088 
59000 33 3.01912 33 0.301285 0.8466 
60000 29 3.03946 29 0.323174 0.8807 
61000 28 3.026 28 0.304939 0.863486 
62000 26 3.06204 26 0.309504 0.8819 
63000 32 3.0845 32 0.322031 0.9006 
64000 34 3.20078 34 0.354472 0.9301 
65000 33 3.25985 33 0.364269 0.944694 
66000 33 3.1748 33 0.342896 0.9201 
67000 35 3.19369 35 0.369184 0.9422 
68000 36 3.18693 36 0.356065 0.9296 
69000 35 3.18526 35 0.332204 0.9068 
70000 38 3.23995 38 0.339692 0.9198 
71000 32 3.25919 32 0.365855 0.9468 
72000 33 3.24273 33 0.362814 0.9551 
73000 40 3.25793 40 0.389183 0.9915 
74000 37 3.18822 37 0.373311 0.962196 
75000 34 3.24592 34 0.379499 0.977798 
76000 43 3.33596 43 0.397355 1.0075 
77000 37 3.23451 37 0.390096 0.9932 
78000 36 3.15248 36 0.391986 0.9912 
79000 35 3.08184 35 0.368837 0.964896 
80000 35 3.24824 35 0.391397 1.0008 
81000 41 3.20965 41 0.400582 0.9749 
82000 44 3.20138 44 0.394489 0.981 
83000 40 3.25703 40 0.398789 0.9843 
84000 37 3.27061 37 0.374486 0.966 
85000 36 3.2631 36 0.35184 0.9293 
86000 39 3.16694 39 0.36476 0.932493 
87000 44 3.18429 44 0.38102 0.950195 
88000 38 3.17154 38 0.366581 0.925093 
89000 41 3.17545 41 0.390342 0.9671 
90000 39 3.25414 39 0.402597 0.9996 
91000 40 3.23059 40 0.401189 0.998 
92000 39 3.24381 39 0.397405 0.988499 
93000 40 3.40289 40 0.447283 1.08532 
94000 40 3.32919 40 0.456446 1.06471 
95000 42 3.3136 42 0.434865 1.0175 
96000 41 3.35526 41 0.473941 1.0788 
97000 41 3.30892 41 0.450359 1.0602 
98000 39 3.26654 39 0.441893 1.0396 
99000 38 3.2944 38 0.437526 1.0281 
100000 39 3.10111 39 0.376885 0.9176 
