# Fri Apr 25 12:47:31 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 2 0.0484467 2 0 0.0054 
4000 2 0.0277789 2 0 0.0028 
5000 3 0.292308 3 0 0.0506 
6000 6 0.822596 6 0.00350105 0.161749 
7000 6 1.07721 6 0.0010002 0.208042 
8000 8 1.49294 8 0.0001 0.2746 
9000 15 1.90511 15 0.0593039 0.4149 
10000 15 2.04143 15 0.108958 0.485049 
11000 17 2.22186 17 0.172544 0.583058 
12000 20 2.23192 20 0.189912 0.5777 
13000 18 2.17603 18 0.200904 0.582258 
14000 19 2.26334 19 0.204417 0.5904 
15000 28 2.32551 28 0.340109 0.79968 
16000 24 2.50802 24 0.416346 0.918792 
17000 26 2.38714 26 0.395814 0.88 
18000 26 2.45489 26 0.410988 0.90209 
19000 27 2.56723 27 0.408819 0.907591 
20000 25 2.5789 25 0.355762 0.8591 
21000 23 2.66544 23 0.388278 0.9057 
22000 24 2.47116 24 0.38131 0.862 
23000 29 2.62325 29 0.385654 0.8924 
24000 26 2.72516 26 0.419962 0.9562 
25000 26 2.58553 26 0.431426 0.946989 
26000 28 2.66677 28 0.44553 0.9735 
27000 30 2.67544 30 0.417452 0.9272 
28000 26 2.51807 26 0.418269 0.906391 
29000 30 2.64778 30 0.448665 0.965897 
30000 32 2.73303 32 0.449871 0.9989 
31000 31 2.75839 31 0.469844 1.0436 
32000 32 2.76385 32 0.447923 1.0006 
33000 31 2.69607 31 0.446383 0.977498 
34000 29 2.6629 29 0.458899 0.9916 
35000 38 2.84161 38 0.457877 0.995 
36000 40 2.78485 40 0.476072 1.0084 
37000 37 2.78972 37 0.451652 0.986199 
38000 40 2.7747 40 0.479195 1.0109 
39000 42 2.75098 42 0.502633 1.0493 
40000 49 2.79268 49 0.528723 1.1073 
41000 46 2.74313 46 0.528254 1.1311 
42000 44 2.77785 44 0.534937 1.12301 
43000 44 2.82337 44 0.488924 1.0506 
44000 44 2.75595 44 0.510304 1.0844 
45000 44 2.82154 44 0.500964 1.0696 
46000 37 2.71185 37 0.478781 1.0255 
47000 42 2.76999 42 0.478762 1.03441 
48000 37 2.64681 37 0.473199 1.0149 
49000 41 2.75461 41 0.499868 1.066 
50000 43 2.69489 43 0.507748 1.05 
51000 40 2.76058 40 0.490709 1.0458 
52000 45 2.8663 45 0.486826 1.041 
53000 40 2.85247 40 0.497471 1.0422 
54000 42 2.79828 42 0.493824 1.0246 
55000 42 2.83582 42 0.492511 1.0362 
56000 42 2.70251 42 0.46302 0.9746 
57000 42 2.77746 42 0.4525 0.977098 
58000 43 2.68686 43 0.476088 0.9931 
59000 43 2.81927 43 0.494471 1.0502 
60000 42 2.79632 42 0.494331 1.05901 
61000 43 2.74244 43 0.508702 1.08341 
62000 45 2.8125 45 0.500548 1.0686 
63000 39 2.75429 39 0.502743 1.0712 
64000 49 2.81648 49 0.458517 0.9974 
65000 49 2.82178 49 0.474634 1.0234 
66000 46 2.9581 46 0.50344 1.0973 
67000 44 2.80681 44 0.472627 1.0237 
68000 43 2.86686 43 0.514824 1.09981 
69000 39 2.89776 39 0.51109 1.1025 
70000 44 2.95753 44 0.485357 1.0706 
71000 44 2.91643 44 0.466457 1.0365 
72000 47 3.00208 47 0.480613 1.0884 
73000 50 2.93969 50 0.491086 1.0751 
74000 46 2.99272 46 0.451654 1.0266 
75000 43 2.96573 43 0.483683 1.08221 
76000 37 2.75285 37 0.460005 1.0217 
77000 43 2.91634 43 0.49746 1.0962 
78000 42 2.89276 42 0.502543 1.0875 
79000 42 2.8697 42 0.496411 1.0753 
80000 38 2.75681 38 0.499268 1.0581 
81000 45 2.94827 45 0.508577 1.1142 
82000 43 2.92968 43 0.509465 1.0986 
83000 42 2.94179 42 0.502896 1.1099 
84000 41 2.94789 41 0.483914 1.0879 
85000 42 2.85182 42 0.474596 1.0567 
86000 46 2.92048 46 0.459827 1.0379 
87000 45 2.87211 45 0.464681 1.0272 
88000 40 2.80562 40 0.448806 0.9725 
89000 45 2.65443 45 0.462722 1.0113 
90000 41 2.7626 41 0.450257 0.987497 
91000 40 2.69023 40 0.457942 0.9798 
92000 39 2.73221 39 0.441071 0.9585 
93000 39 2.68547 39 0.462584 0.994 
94000 42 2.73021 42 0.465817 1.001 
95000 37 2.64625 37 0.448903 0.967697 
96000 46 2.68361 46 0.466614 0.999 
97000 39 2.57153 39 0.426932 0.9078 
98000 42 2.5409 42 0.433045 0.9247 
99000 39 2.46008 39 0.456009 0.9344 
100000 40 2.40666 40 0.457149 0.929693 
