# Wed Oct 29 18:57:00 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.227386 2 0 0.0367922 
3000 3 1.28342 3 0 0.773916 
4000 7 2.04094 7 0.743752 1.68084 
5000 8 2.31893 8 1.09324 2.20626 
6000 10 1.60165 10 1.3315 2.62109 
7000 11 2.07622 11 1.05995 2.27032 
8000 11 2.01479 11 1.08558 2.2821 
9000 20 1.8743 20 1.73673 3.46309 
10000 28 2.38506 28 1.72838 3.42155 
11000 25 2.1225 25 1.69571 3.31523 
12000 24 1.71697 24 1.67808 3.27126 
13000 25 1.84265 25 1.66074 3.23671 
14000 27 1.62827 27 1.65718 3.22752 
15000 26 1.60178 26 1.6523 3.21258 
16000 28 1.71519 28 1.66258 3.23442 
17000 25 1.70128 25 1.65172 3.21086 
18000 40 2.67112 40 1.8672 3.80805 
19000 38 2.16778 38 2.06819 4.35308 
20000 39 1.84036 39 2.14953 4.55747 
21000 40 1.70624 40 2.16505 4.60075 
22000 36 1.56886 36 2.17347 4.63161 
23000 36 1.80351 36 2.20867 4.71954 
24000 42 2.1875 42 2.22283 4.75366 
25000 64 2.57152 64 2.34761 5.22241 
26000 69 2.97934 69 2.40127 5.43001 
27000 68 2.77677 68 2.46016 5.65736 
28000 84 3.0954 84 2.56517 6.10181 
29000 76 3.05332 76 2.61458 6.33036 
30000 83 3.15939 83 2.62561 6.39178 
31000 87 3.20232 87 2.65082 6.47355 
32000 78 3.27016 78 2.64956 6.47169 
33000 84 3.2105 84 2.67704 6.56182 
34000 81 3.16396 81 2.6713 6.54213 
35000 86 3.13485 86 2.6621 6.5197 
36000 84 3.36172 84 2.70351 6.73456 
37000 91 3.29542 91 2.72422 6.8261 
38000 85 3.09169 85 2.73784 6.88991 
39000 87 3.05502 87 2.75025 6.92038 
40000 85 2.99883 85 2.74536 6.91861 
41000 81 2.87231 81 2.75307 6.96781 
42000 81 2.81861 81 2.76491 6.99339 
43000 72 2.73543 72 2.7724 7.02844 
44000 81 2.69824 81 2.76763 7.02126 
45000 79 2.65114 79 2.77635 7.06266 
46000 84 2.63957 84 2.77883 7.06268 
47000 73 2.54386 73 2.78162 7.07675 
48000 78 2.52641 78 2.78866 7.11351 
49000 74 2.58647 74 2.79643 7.12252 
50000 77 2.63366 77 2.78525 7.1027 
51000 73 2.52961 73 2.80473 7.18621 
52000 82 2.51085 82 2.78192 7.1309 
53000 72 2.22026 72 2.81467 7.26199 
54000 83 2.28783 83 2.79999 7.22005 
55000 68 2.2932 68 2.7978 7.20305 
56000 72 2.12778 72 2.79825 7.22845 
57000 73 1.95863 73 2.82142 7.29359 
58000 79 1.99607 79 2.80933 7.2686 
59000 72 1.91202 72 2.81845 7.29569 
60000 73 1.92897 73 2.81463 7.2867 
61000 68 1.95091 68 2.80599 7.25848 
62000 64 1.82262 64 2.81923 7.30411 
63000 71 1.80501 71 2.83529 7.34895 
64000 73 1.94591 73 2.81406 7.28218 
65000 71 2.01316 71 2.81883 7.28247 
66000 72 1.89783 72 2.83397 7.3363 
67000 76 1.87418 76 2.83317 7.3431 
68000 68 1.87145 68 2.83064 7.32893 
69000 67 1.95764 67 2.81503 7.27291 
70000 72 1.92277 72 2.82406 7.32098 
71000 69 1.90703 69 2.82706 7.32213 
72000 71 2.04117 71 2.81228 7.26602 
73000 71 1.9597 71 2.81619 7.28707 
74000 64 1.88827 64 2.81941 7.2929 
75000 63 1.85412 63 2.8191 7.30144 
76000 68 2.06391 68 2.80196 7.22535 
77000 72 1.98621 72 2.81183 7.25567 
78000 67 2.06442 67 2.80011 7.21379 
79000 72 2.20337 72 2.79345 7.17016 
80000 62 2.08983 62 2.80836 7.22356 
81000 75 2.14242 75 2.80772 7.2227 
82000 66 2.15131 66 2.81435 7.23139 
83000 72 2.09725 72 2.81389 7.24432 
84000 66 2.2178 66 2.79878 7.19052 
85000 75 2.42494 75 2.77802 7.09632 
86000 70 2.45205 70 2.78192 7.08994 
87000 79 2.62987 79 2.74615 6.96551 
88000 66 2.38516 66 2.77455 7.0796 
89000 63 2.40509 63 2.77696 7.08106 
90000 73 2.53852 73 2.7564 7.00833 
91000 76 2.36255 76 2.7704 7.06726 
92000 79 2.48797 79 2.7719 7.06724 
93000 78 2.46708 78 2.76816 7.04744 
94000 77 2.54969 77 2.76106 7.01466 
95000 79 2.55992 79 2.75723 6.99914 
96000 79 2.5181 79 2.76767 7.03997 
97000 84 2.6312 84 2.74379 6.95748 
98000 83 2.55302 83 2.75375 6.98908 
99000 75 2.54795 75 2.74593 6.952 
100000 85 2.60077 85 2.73414 6.91659 
