# Thu Oct 30 11:32:45 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.00701383 2 0 0.000574548 
3000 1 0 1 0 0 
4000 6 1.97897 6 0.548693 1.32606 
5000 8 1.4141 8 0.891804 1.86922 
6000 12 1.73494 12 0.937626 1.91865 
7000 14 1.78542 14 0.941683 1.92675 
8000 11 1.73441 11 0.938523 1.92272 
9000 20 2.42338 20 1.5282 3.04338 
10000 17 1.83852 17 1.72317 3.43924 
11000 17 1.77983 17 1.7476 3.48894 
12000 19 1.49369 19 1.79542 3.58879 
13000 32 2.46528 32 1.78233 3.5569 
14000 35 2.9605 35 1.74514 3.4714 
15000 33 2.5557 33 2.02445 4.23822 
16000 38 2.31858 38 2.07316 4.36742 
17000 34 2.17431 34 2.1105 4.4546 
18000 38 2.0383 38 2.13701 4.526 
19000 30 1.80966 30 2.17289 4.60701 
20000 31 1.85375 31 2.1683 4.595 
21000 35 1.94043 35 2.16593 4.5835 
22000 30 1.86287 30 2.167 4.59265 
23000 32 1.88106 32 2.17734 4.60615 
24000 30 1.92413 30 2.16457 4.57656 
25000 38 2.01061 38 2.15895 4.55891 
26000 31 1.98228 31 2.16034 4.56527 
27000 31 2.09845 31 2.15412 4.54209 
28000 31 1.92735 31 2.17991 4.61103 
29000 30 1.92147 30 2.18 4.61454 
30000 36 2.09015 36 2.17212 4.58001 
31000 33 1.94182 33 2.18414 4.62338 
32000 33 2.01932 33 2.17275 4.59241 
33000 34 2.11415 34 2.17713 4.60517 
34000 38 2.34267 38 2.16706 4.59655 
35000 31 2.2313 31 2.198 4.67165 
36000 33 2.21708 33 2.20231 4.68371 
37000 38 2.1233 38 2.21448 4.71761 
38000 40 2.87037 40 2.33184 5.14655 
39000 56 2.78404 56 2.36272 5.28161 
40000 46 2.49407 46 2.38561 5.36599 
41000 48 2.32616 48 2.40366 5.42299 
42000 49 2.27096 49 2.40487 5.43391 
43000 51 2.14092 51 2.42079 5.48406 
44000 50 2.04724 50 2.42284 5.4921 
45000 46 2.03386 46 2.41678 5.48677 
46000 46 2.00467 46 2.41646 5.48923 
47000 43 1.84521 43 2.43488 5.54381 
48000 45 1.97058 45 2.41652 5.49181 
49000 44 1.90469 44 2.41534 5.49813 
50000 40 1.84958 40 2.42947 5.52657 
51000 47 1.97919 47 2.41201 5.48534 
52000 44 1.82958 44 2.43448 5.53749 
53000 47 1.88303 47 2.4222 5.50747 
54000 48 1.84955 48 2.42729 5.52715 
55000 45 1.85912 45 2.43035 5.52557 
56000 46 1.75275 46 2.4334 5.54697 
57000 45 1.77576 45 2.44264 5.55415 
58000 48 1.74426 48 2.44162 5.55674 
59000 49 1.76762 49 2.43472 5.54425 
60000 53 1.74111 53 2.43512 5.553 
61000 45 1.70779 45 2.43368 5.55128 
62000 47 1.67392 47 2.43566 5.55402 
63000 48 1.60686 48 2.45203 5.58977 
64000 42 1.54545 42 2.45117 5.59265 
65000 45 1.58525 45 2.45038 5.59207 
66000 42 1.65375 42 2.43939 5.56248 
67000 44 1.63708 44 2.44257 5.57344 
68000 44 1.66436 44 2.43639 5.55875 
69000 42 1.60893 42 2.44394 5.57369 
70000 45 1.66849 45 2.44244 5.56392 
71000 46 1.56515 46 2.45376 5.59983 
72000 48 1.65463 48 2.43715 5.5599 
73000 45 1.59491 45 2.43276 5.5569 
74000 47 1.53161 47 2.44409 5.58575 
75000 46 1.6359 46 2.43774 5.56277 
76000 48 1.6175 48 2.43957 5.56306 
77000 40 1.54912 40 2.45219 5.59523 
78000 41 1.57716 41 2.44752 5.58633 
79000 44 1.57559 44 2.44821 5.58719 
80000 43 1.51324 43 2.44941 5.59695 
81000 41 1.62243 41 2.4363 5.55587 
82000 43 1.64284 43 2.43795 5.56092 
83000 44 1.69236 44 2.42702 5.53318 
84000 41 1.66563 41 2.43291 5.54525 
85000 45 1.62536 45 2.43672 5.55731 
86000 42 1.58027 42 2.43991 5.57541 
87000 42 1.52035 42 2.45379 5.60144 
88000 42 1.54975 42 2.4444 5.58448 
89000 41 1.57576 41 2.45134 5.5954 
90000 38 1.48715 38 2.45634 5.61218 
91000 39 1.61489 39 2.42987 5.55501 
92000 37 1.5257 37 2.45932 5.61322 
93000 41 1.54816 41 2.44453 5.5846 
94000 41 1.56658 41 2.42978 5.55718 
95000 42 1.55942 42 2.4501 5.59351 
96000 38 1.49382 38 2.44284 5.58144 
97000 43 1.52912 43 2.45231 5.59943 
98000 39 1.48253 39 2.45654 5.61074 
99000 42 1.54853 42 2.45343 5.60201 
100000 43 1.5747 43 2.44188 5.57541 
