# Wed Apr  2 13:04:42 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 1 0 1 0 0 
9000 1 0 1 0 0 
10000 1 0 1 0 0 
11000 1 0 1 0 0 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 1 0 1 0 0 
15000 2 0.660589 2 0 0.171264 
16000 2 0.654561 2 0 0.16863 
17000 2 0.701237 2 0 0.189888 
18000 2 0.721238 2 0 0.199655 
19000 2 0.683585 2 0 0.181609 
20000 2 0.648575 2 0 0.166044 
21000 2 0.680969 2 0 0.180408 
22000 2 0.603223 2 0 0.147371 
23000 2 0.636395 2 0 0.160873 
24000 2 0.648686 2 0 0.166092 
25000 2 0.63571 2 0 0.160586 
26000 2 0.623928 2 0 0.155702 
27000 2 0.647906 2 0 0.165757 
28000 2 0.653236 2 0 0.168055 
29000 2 0.737616 2 0 0.207986 
30000 2 0.708988 2 0 0.193623 
31000 2 0.726387 2 0 0.202241 
32000 2 0.709579 2 0 0.19391 
33000 2 0.714863 2 0 0.196495 
34000 2 0.687202 2 0 0.183281 
35000 2 0.778197 2 0 0.230106 
36000 2 0.733159 2 0 0.205688 
37000 2 0.709103 2 0 0.193678 
38000 2 0.748555 2 0 0.213732 
39000 2 0.714863 2 0 0.196495 
40000 2 0.753919 2 0 0.216604 
41000 2 0.773664 2 0 0.227521 
42000 2 0.68534 2 0 0.182419 
43000 2 0.673383 2 0 0.176961 
44000 2 0.76959 2 0 0.225223 
45000 4 0.839642 4 0.00316001 0.239874 
46000 3 1.07739 3 0 0.264579 
47000 3 1.10855 3 0 0.277506 
48000 3 1.11698 3 0 0.280954 
49000 3 1.12619 3 0 0.282103 
50000 3 1.11488 3 0 0.275783 
51000 3 1.10462 3 0 0.272336 
52000 3 1.10027 3 0 0.268678 
53000 3 1.13654 3 0 0.283539 
54000 3 1.16247 3 0 0.295892 
55000 3 1.20241 3 0 0.309681 
56000 3 1.17977 3 0 0.299339 
57000 3 1.18489 3 0 0.301637 
58000 3 1.17956 3 0 0.299339 
59000 3 1.16535 3 0 0.293307 
60000 3 1.17026 3 0 0.295605 
61000 3 1.1715 3 0 0.297041 
62000 3 1.17758 3 0 0.299339 
63000 3 1.11851 3 0 0.27291 
64000 3 1.18345 3 0 0.30135 
65000 3 1.1849 3 0 0.302874 
66000 3 1.18502 3 0 0.30451 
67000 3 1.18357 3 0 0.301063 
68000 3 1.201 3 0 0.309681 
69000 3 1.27043 3 0 0.343867 
70000 3 1.12643 3 0 0.278368 
71000 3 1.23978 3 0 0.327492 
72000 3 1.2297 3 0 0.330365 
73000 3 1.14012 3 0 0.282677 
74000 3 1.18577 3 0 0.304223 
75000 3 1.18896 3 0 0.306234 
76000 3 1.18599 3 0 0.305947 
77000 3 1.17804 3 0 0.298765 
78000 3 1.19159 3 0 0.307096 
79000 3 1.10195 3 0 0.271474 
80000 3 1.22639 3 0 0.326056 
81000 3 1.23955 3 0 0.332663 
82000 3 1.17806 3 0 0.301637 
83000 3 1.09558 3 0 0.269176 
84000 3 1.10037 3 0 0.26975 
85000 3 1.19005 3 0 0.308245 
86000 3 1.12942 3 0 0.287561 
87000 3 1.18394 3 0 0.304797 
88000 3 1.17734 3 0 0.308245 
89000 3 1.18271 3 0 0.31083 
90000 3 1.13905 3 0 0.285837 
91000 3 1.20324 3 0 0.316288 
92000 3 1.29346 3 0 0.357369 
93000 3 1.18987 3 0 0.313128 
94000 3 1.18104 3 0 0.303074 
95000 3 1.21649 3 0 0.318299 
96000 3 1.25183 3 0 0.340994 
97000 3 1.24443 3 0 0.337259 
98000 3 1.23968 3 0 0.346452 
99000 3 1.19206 3 0 0.309681 
100000 3 1.24366 3 0 0.331801 
