# Mon Mar 31 14:13:40 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.00379425 2 0 0.000287274 
3000 2 0.0209119 2 0 0.00201092 
4000 2 0.0259482 2 0 0.00258546 
5000 1 0 1 0 0 
6000 2 0.12395 2 0 0.0169492 
7000 3 0.729742 3 0 0.191612 
8000 4 1.25067 4 0.0675287 0.341667 
9000 6 1.53754 6 0.033611 0.36139 
10000 4 1.47856 4 0 0.371732 
11000 11 2.2071 11 0.161448 0.669061 
12000 15 2.58317 15 0.174869 0.75553 
13000 13 2.70384 13 0.194468 0.803792 
14000 13 2.64029 13 0.203964 0.79661 
15000 14 2.8177 14 0.166532 0.828785 
16000 16 2.99323 16 0.266688 0.925022 
17000 19 3.12174 19 0.349435 1.07182 
18000 20 3.29821 20 0.371934 1.09624 
19000 17 3.38376 17 0.321004 1.09368 
20000 19 3.38061 19 0.553604 1.32462 
21000 20 3.46723 20 0.537622 1.33851 
22000 18 3.56994 18 0.49023 1.28592 
23000 21 3.65642 21 0.608039 1.41683 
24000 21 3.59009 21 0.632762 1.45533 
25000 20 3.73842 20 0.626823 1.46625 
26000 23 3.80373 23 0.618643 1.53778 
27000 21 3.804 21 0.633032 1.4954 
28000 20 3.79467 20 0.632002 1.52226 
29000 21 3.81758 21 0.596824 1.44943 
30000 24 3.83843 24 0.610041 1.46854 
31000 26 4.03861 26 0.630537 1.526 
32000 21 3.86222 21 0.615981 1.46165 
33000 20 3.71663 20 0.650643 1.52427 
34000 23 3.74415 23 0.616228 1.48534 
35000 26 3.7265 26 0.649617 1.51868 
36000 24 3.87131 24 0.615364 1.4786 
37000 23 3.95781 23 0.559393 1.38391 
38000 24 3.92805 24 0.617749 1.46136 
39000 19 3.71697 19 0.527722 1.33956 
40000 24 3.93661 24 0.604566 1.48578 
41000 22 3.79004 22 0.625163 1.49885 
42000 21 3.77214 21 0.558175 1.40333 
43000 23 3.75946 23 0.697219 1.56076 
44000 20 3.92899 20 0.588854 1.44741 
45000 20 3.84721 20 0.573447 1.4335 
46000 21 3.86126 21 0.550369 1.40517 
47000 27 3.79111 27 0.554082 1.39213 
48000 23 3.84845 23 0.614434 1.48276 
49000 23 3.77682 23 0.499467 1.33496 
50000 22 3.87871 22 0.56307 1.46538 
51000 23 3.92741 23 0.571237 1.48176 
52000 25 4.00921 25 0.532787 1.40017 
53000 24 3.94516 24 0.638329 1.54007 
54000 28 4.11298 28 0.664102 1.61103 
55000 26 3.99551 26 0.565205 1.45891 
56000 24 4.1443 24 0.586997 1.49583 
57000 25 4.15025 25 0.629901 1.55057 
58000 25 4.08118 25 0.708399 1.62051 
59000 30 4.14156 30 0.719593 1.64321 
60000 29 4.08657 29 0.714011 1.61753 
61000 26 4.10768 26 0.680373 1.54754 
62000 26 3.85014 26 0.646052 1.49253 
63000 24 3.79834 24 0.597176 1.43895 
64000 22 3.81911 22 0.574904 1.41683 
65000 23 3.89393 23 0.601174 1.43247 
66000 22 3.72614 22 0.549636 1.35047 
67000 19 3.66526 19 0.575553 1.37787 
68000 24 3.63719 24 0.45689 1.21287 
69000 22 3.65941 22 0.528833 1.30977 
70000 23 3.76105 23 0.523121 1.31112 
71000 23 3.72777 23 0.466511 1.24504 
72000 21 3.73576 21 0.54626 1.35306 
73000 23 3.69112 23 0.466202 1.26113 
74000 22 3.71558 22 0.509863 1.31456 
75000 23 3.66105 23 0.484452 1.25338 
76000 19 3.5614 19 0.45867 1.22529 
77000 19 3.62188 19 0.463996 1.28411 
78000 22 3.63113 22 0.450418 1.22644 
79000 20 3.47878 20 0.524898 1.27866 
80000 19 3.54413 19 0.486235 1.27923 
81000 21 3.59794 21 0.417338 1.18874 
82000 21 3.70743 21 0.539359 1.35316 
83000 25 3.72776 25 0.583855 1.4177 
84000 26 3.89931 26 0.590693 1.43637 
85000 24 4.0102 24 0.71819 1.6254 
86000 25 3.93438 25 0.682985 1.56938 
87000 22 3.96492 22 0.582768 1.45763 
88000 23 3.84678 23 0.646595 1.51422 
89000 24 3.87076 24 0.621613 1.46538 
90000 26 3.82387 26 0.698908 1.55185 
91000 25 4.0652 25 0.705232 1.59167 
92000 27 4.06385 27 0.798058 1.75352 
93000 27 3.98006 27 0.711052 1.65355 
94000 24 3.97957 24 0.609995 1.5372 
95000 25 4.13931 25 0.619045 1.59782 
96000 29 4.16058 29 0.706717 1.64637 
97000 22 3.92116 22 0.64427 1.56334 
98000 28 4.1189 28 0.736505 1.72356 
99000 26 4.03524 26 0.65332 1.60299 
100000 23 4.06747 23 0.765547 1.73736 
