# Fri Mar 21 05:27:23 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 5 0.920459 5 0.0468256 0.21919 
4000 6 0.879181 6 0.0959494 0.271761 
5000 7 1.20515 7 0.0445274 0.28239 
6000 8 1.71039 8 0.0264292 0.407067 
7000 9 2.0918 9 0.0560345 0.529885 
8000 9 2.01891 9 0.0669348 0.522838 
9000 10 2.09828 10 0.0899167 0.580006 
10000 14 2.51661 14 0.167242 0.690606 
11000 15 2.67624 15 0.193048 0.78081 
12000 15 2.60147 15 0.19376 0.749713 
13000 17 2.63661 17 0.201724 0.760632 
14000 17 2.8667 17 0.162167 0.771839 
15000 13 2.72673 13 0.18127 0.774203 
16000 17 2.74792 17 0.190056 0.766159 
17000 16 2.78571 16 0.171958 0.757828 
18000 15 2.87822 15 0.22472 0.811836 
19000 17 2.7865 17 0.200403 0.76185 
20000 14 2.88241 14 0.199425 0.809483 
21000 20 2.82664 20 0.259695 0.819018 
22000 19 2.97402 19 0.261853 0.87676 
23000 19 2.86497 19 0.234128 0.804941 
24000 18 2.88549 18 0.302955 0.887101 
25000 17 3.17067 17 0.260487 0.916116 
26000 18 2.82213 18 0.250264 0.819305 
27000 17 2.87519 17 0.239872 0.836494 
28000 20 2.92359 20 0.304846 0.899741 
29000 17 2.89283 17 0.276293 0.854639 
30000 20 2.923 20 0.282821 0.866418 
31000 20 3.1454 20 0.27373 0.889974 
32000 23 3.16874 23 0.267037 0.887101 
33000 21 2.99983 21 0.215548 0.789141 
34000 19 2.79055 19 0.228388 0.762712 
35000 19 3.04496 19 0.184289 0.779086 
36000 20 2.97053 20 0.20971 0.767883 
37000 18 2.89145 18 0.17998 0.741741 
38000 20 2.99848 20 0.242199 0.810399 
39000 22 3.16086 22 0.28625 0.874461 
40000 21 3.10112 21 0.28232 0.867854 
41000 24 3.23601 24 0.292261 0.90204 
42000 23 3.32207 23 0.296017 0.925596 
43000 25 3.08287 25 0.289648 0.894571 
44000 23 3.296 23 0.282894 0.907785 
45000 21 3.1676 21 0.293691 0.889687 
46000 20 3.21871 20 0.266303 0.871589 
47000 21 3.05973 21 0.254741 0.834818 
48000 22 3.06255 22 0.348426 0.933065 
49000 20 3.1567 20 0.382817 0.972134 
50000 22 3.14629 22 0.394026 0.96524 
51000 26 3.27812 26 0.453039 1.07527 
52000 22 3.22875 22 0.354952 0.953749 
53000 26 3.13564 26 0.396549 0.976724 
54000 26 3.12498 26 0.331336 0.918989 
55000 25 3.24836 25 0.370519 0.972709 
56000 27 3.25659 27 0.435594 1.07182 
57000 26 3.37781 26 0.386926 1.0408 
58000 24 3.32642 24 0.444561 1.07124 
59000 26 3.24844 26 0.367435 0.9842 
60000 22 3.2133 22 0.323623 0.943391 
61000 24 3.30274 24 0.343706 0.979598 
62000 23 3.18469 23 0.355364 0.978167 
63000 22 3.36561 22 0.414303 1.0474 
64000 28 3.48504 28 0.453405 1.1218 
65000 30 3.51094 30 0.395946 1.03189 
66000 26 3.41103 26 0.430711 1.0813 
67000 23 3.33484 23 0.402693 1.04338 
68000 24 3.16471 24 0.410684 1.02155 
69000 25 3.28681 25 0.458392 1.10859 
70000 25 3.228 25 0.3608 0.985636 
71000 23 3.18776 23 0.394706 1.03878 
72000 24 3.22299 24 0.366047 0.992244 
73000 21 3.18773 21 0.325271 0.936512 
74000 23 3.18738 23 0.329862 0.914392 
75000 24 3.18839 24 0.382904 0.970124 
76000 23 3.20552 23 0.376182 0.989655 
77000 20 3.09067 20 0.354844 0.929905 
78000 19 3.03399 19 0.333791 0.903189 
79000 23 3.13979 23 0.367065 0.948291 
80000 23 3.25305 23 0.293594 0.879632 
81000 23 3.26927 23 0.31167 0.919276 
82000 25 3.25862 25 0.351846 0.938523 
83000 21 3.18012 21 0.305757 0.884229 
84000 24 3.16556 24 0.321102 0.917552 
85000 22 3.09996 22 0.34878 0.923276 
86000 24 3.18597 24 0.343726 0.924447 
87000 25 3.14718 25 0.320029 0.888251 
88000 25 3.02537 25 0.332978 0.899741 
89000 20 3.03767 20 0.36029 0.927894 
90000 22 3.06514 22 0.330078 0.897156 
91000 23 3.03255 23 0.315524 0.872738 
92000 22 3.06846 22 0.347965 0.933352 
93000 27 3.18762 27 0.339137 0.924138 
94000 21 3.04043 21 0.334274 0.916691 
95000 21 3.10119 21 0.372475 0.977593 
96000 20 3.16431 20 0.340132 0.969549 
97000 21 3.23308 21 0.352772 0.962942 
98000 19 3.08044 19 0.313703 0.928182 
99000 22 3.23721 22 0.335911 0.958345 
100000 22 3.07992 22 0.278303 0.871301 
