# Fri Mar 21 04:30:14 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0695462 2 0 0.00833573 
3000 2 0.0445458 2 0 0.00488646 
4000 2 0.219153 2 0 0.0350575 
5000 2 0.348968 2 0 0.0655172 
6000 3 0.36601 3 0 0.066954 
7000 4 0.450427 4 0 0.0833333 
8000 5 0.894436 5 0.0494253 0.208908 
9000 6 1.30233 6 0.0876437 0.341092 
10000 5 1.86237 5 0.0974138 0.538506 
11000 5 1.75574 5 0.112356 0.512356 
12000 6 1.9536 6 0.121839 0.586782 
13000 8 1.8374 8 0.0977988 0.511207 
14000 11 2.3906 11 0.184483 0.724138 
15000 15 2.75451 15 0.347728 0.937644 
16000 17 2.96196 17 0.302397 0.886494 
17000 19 2.91241 19 0.313339 0.854598 
18000 17 2.82208 17 0.3237 0.858908 
19000 15 2.91647 15 0.277874 0.833908 
20000 16 2.79049 16 0.237948 0.75546 
21000 18 2.89992 18 0.242796 0.827874 
22000 17 2.96191 17 0.204988 0.76954 
23000 16 2.96874 16 0.174697 0.765805 
24000 15 2.83525 15 0.195164 0.774138 
25000 16 2.81957 16 0.197734 0.767816 
26000 14 2.70031 14 0.175 0.73046 
27000 14 2.6636 14 0.214072 0.781546 
28000 15 2.59144 15 0.215685 0.751437 
29000 13 2.74186 13 0.20983 0.774648 
30000 14 2.60722 14 0.150905 0.695602 
31000 13 2.6417 13 0.158046 0.699713 
32000 14 2.76576 14 0.147989 0.716092 
33000 13 2.69455 13 0.140558 0.690141 
34000 17 2.80564 17 0.198444 0.735632 
35000 16 2.97085 16 0.321061 0.910057 
36000 17 2.90399 17 0.325302 0.936207 
37000 18 2.7905 18 0.251723 0.82265 
38000 15 2.79132 15 0.250821 0.795977 
39000 16 2.84367 16 0.263838 0.828161 
40000 18 2.94863 18 0.320649 0.942529 
41000 16 2.95516 16 0.268784 0.855747 
42000 21 3.05065 21 0.266372 0.879598 
43000 19 3.15536 19 0.341684 0.997701 
44000 17 3.06265 17 0.350797 0.944828 
45000 20 3.05814 20 0.412607 1.01207 
46000 26 3.31513 26 0.431579 1.07356 
47000 25 3.41027 25 0.444782 1.10345 
48000 23 3.51469 23 0.454134 1.13966 
49000 23 3.42786 23 0.437147 1.10086 
50000 24 3.32768 24 0.406539 1.01753 
51000 27 3.5 27 0.464063 1.10747 
52000 25 3.51861 25 0.389409 1.00575 
53000 25 3.28715 25 0.403991 1.02213 
54000 24 3.2988 24 0.448403 1.10316 
55000 26 3.4238 26 0.448685 1.09598 
56000 25 3.33904 25 0.371907 0.976437 
57000 27 3.36037 27 0.39165 1.00259 
58000 24 3.42433 24 0.436356 1.11724 
59000 25 3.58039 25 0.518346 1.24138 
60000 28 3.7621 28 0.577426 1.37259 
61000 25 3.63362 25 0.542137 1.28448 
62000 28 3.57803 28 0.523197 1.24713 
63000 24 3.47573 24 0.472946 1.16585 
64000 26 3.50502 26 0.439598 1.12471 
65000 31 3.38728 31 0.421991 1.07818 
66000 25 3.20943 25 0.424983 1.01351 
67000 26 3.32386 26 0.498756 1.12414 
68000 24 3.27475 24 0.47764 1.06609 
69000 24 3.13388 24 0.324395 0.874425 
70000 23 3.15546 23 0.451182 1.03793 
71000 22 3.1529 22 0.378653 0.949713 
72000 23 3.01951 23 0.34958 0.879023 
73000 21 3.13181 21 0.33281 0.873276 
74000 24 3.06883 24 0.3704 0.911494 
75000 22 2.85668 22 0.452735 0.972989 
76000 22 2.96388 22 0.364695 0.866954 
77000 23 2.95211 23 0.4048 0.913793 
78000 24 2.96219 24 0.334587 0.832759 
79000 22 2.94974 22 0.375387 0.887069 
80000 19 2.83011 19 0.333908 0.81092 
81000 20 2.82642 20 0.333718 0.808046 
82000 19 2.88467 19 0.333621 0.833908 
83000 19 2.91315 19 0.36591 0.86088 
84000 21 2.82404 21 0.320332 0.799713 
85000 23 2.94311 23 0.307005 0.796264 
86000 21 2.79288 21 0.317026 0.79569 
87000 23 2.91769 23 0.370362 0.86092 
88000 23 2.86704 23 0.336502 0.813506 
89000 23 2.80108 23 0.290296 0.763218 
90000 19 2.68011 19 0.316667 0.768678 
91000 23 2.77368 23 0.290881 0.750287 
92000 21 2.97903 21 0.329598 0.838506 
93000 24 2.91203 24 0.337288 0.838793 
94000 24 2.77097 24 0.330205 0.810057 
95000 21 3.07467 21 0.343268 0.888793 
96000 23 3.0941 23 0.387769 0.921839 
97000 19 2.86286 19 0.379885 0.885057 
98000 19 2.87074 19 0.315805 0.821264 
99000 20 3.0128 20 0.314775 0.850862 
100000 23 3.22368 23 0.314473 0.883046 
