# Thu Mar 13 15:19:39 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0100164 2 0 0.000861821 
3000 3 0.163309 3 0 0.0232692 
4000 2 0.379082 2 0 0.0735632 
5000 4 0.770273 4 0 0.143966 
6000 4 1.05061 4 0 0.212295 
7000 5 1.42638 5 0.000861821 0.346165 
8000 7 1.85936 7 0.000574713 0.477874 
9000 5 1.87202 5 0 0.465096 
10000 7 2.04381 7 0.0186782 0.506609 
11000 8 2.20491 8 0.0551566 0.571675 
12000 9 2.6714 9 0.2043 0.882505 
13000 8 2.27817 8 0.126113 0.650675 
14000 7 2.18174 7 0.0669348 0.575697 
15000 8 2.19306 8 0.121804 0.61218 
16000 15 2.24128 15 0.117782 0.585464 
17000 11 2.31055 11 0.132797 0.629991 
18000 11 2.21128 11 0.129273 0.598391 
19000 13 2.26759 13 0.121804 0.603275 
20000 11 2.18879 11 0.133582 0.624533 
21000 12 2.37351 12 0.136742 0.619937 
22000 14 2.5125 14 0.166906 0.665613 
23000 12 2.4304 12 0.128699 0.600977 
24000 12 2.50528 12 0.125826 0.64177 
25000 11 2.44194 11 0.115701 0.617351 
26000 11 2.33573 11 0.121804 0.599253 
27000 13 2.28566 13 0.0986325 0.575409 
28000 12 2.33581 12 0.0964536 0.591497 
29000 14 2.4446 14 0.134233 0.623097 
30000 12 2.4347 12 0.0841712 0.61218 
31000 11 2.44583 11 0.0992127 0.618213 
32000 14 2.50877 14 0.112779 0.625108 
33000 14 2.34333 14 0.120368 0.586613 
34000 13 2.44597 13 0.117387 0.614766 
35000 12 2.38516 12 0.18929 0.671072 
36000 13 2.15422 13 0.120124 0.52975 
37000 13 2.2059 13 0.132484 0.583166 
38000 11 2.32088 11 0.12755 0.591209 
39000 15 2.469 15 0.146814 0.6185 
40000 12 2.49445 12 0.162022 0.637173 
41000 15 2.85424 15 0.191997 0.737432 
42000 14 2.9283 14 0.287599 0.863545 
43000 15 2.80648 15 0.253663 0.793163 
44000 14 2.73759 14 0.232012 0.759126 
45000 13 2.75519 13 0.235852 0.77133 
46000 14 2.71746 14 0.257659 0.792529 
47000 18 2.84469 18 0.390638 0.955185 
48000 19 2.82389 19 0.394487 0.97472 
49000 17 2.643 17 0.39353 0.980465 
50000 18 2.64281 18 0.384834 0.931342 
51000 21 2.76659 21 0.372692 0.924447 
52000 20 2.73487 20 0.355932 0.885665 
53000 19 2.82309 19 0.331481 0.879632 
54000 19 2.77442 19 0.405173 0.986782 
55000 17 2.67727 17 0.362655 0.92416 
56000 17 2.71955 17 0.345689 0.892272 
57000 18 2.88893 18 0.381459 0.975007 
58000 15 2.65672 15 0.421044 1.00259 
59000 18 2.8584 18 0.357163 0.926149 
60000 21 2.68586 21 0.412199 0.982471 
61000 20 2.72392 20 0.378917 0.942545 
62000 20 2.80421 20 0.373083 0.931916 
63000 19 2.79433 19 0.40903 0.972134 
64000 19 2.92045 19 0.395832 0.953736 
65000 19 2.56226 19 0.326832 0.827636 
66000 19 2.59811 19 0.404545 0.939385 
67000 19 2.78209 19 0.436904 0.995116 
68000 19 2.74417 19 0.463514 1.02787 
69000 22 2.65625 22 0.456735 1.0181 
70000 18 2.64275 18 0.404605 0.951451 
71000 22 2.7653 22 0.456897 1.03707 
72000 21 2.71266 21 0.38154 0.905487 
73000 20 2.66221 20 0.345168 0.881069 
74000 21 2.57596 21 0.389062 0.906923 
75000 21 2.71314 21 0.40484 0.933065 
76000 23 2.78936 23 0.419675 0.942258 
77000 26 2.82912 26 0.428008 0.975007 
78000 20 2.794 20 0.378524 0.900316 
79000 24 2.8102 24 0.400724 0.912094 
80000 24 2.86214 24 0.369387 0.901149 
81000 23 2.78243 23 0.359556 0.862396 
82000 27 2.76185 27 0.388807 0.9052 
83000 23 2.81887 23 0.409975 0.953749 
84000 23 2.88164 23 0.406278 0.948291 
85000 23 2.71098 23 0.402081 0.929905 
86000 25 2.81998 25 0.383457 0.920425 
87000 21 2.63927 21 0.408576 0.942258 
88000 28 2.97786 28 0.513392 1.11577 
89000 25 3.19036 25 0.47536 1.07902 
90000 26 3.31042 26 0.479908 1.09796 
91000 26 3.12618 26 0.468741 1.06119 
92000 26 3.23901 26 0.467538 1.07268 
93000 26 3.20486 26 0.512197 1.12069 
94000 29 3.3545 29 0.49686 1.13161 
95000 28 3.29625 28 0.416955 1.01896 
96000 26 3.22955 26 0.432229 1.03792 
97000 26 3.11716 26 0.389607 0.940534 
98000 23 3.07858 23 0.416129 0.989084 
99000 27 3.05981 27 0.430743 1.02384 
100000 25 3.15697 25 0.382118 0.962644 
